Word,Meaning
کښېکښل,"compress, compact, reduce, cut down"
کښېمنډل,"compress, compact, reduce, cut down"
کيمنډل,"compress, compact, reduce, cut down, press, squeeze, push, urge, crush, quicken, hustle, massage, rub or knead muscles and joints with hands to stimulate circulation or relaxation, give a massage"
نيت درلودل,"comproject, intend, screen"
ټينکول,"concentrate, focus, compress, condense, mass, tighten, clamp, jam, constrict, crush, pinch, strain, strike"
مشروطه,constitutional
ټوکل,"contuse, bruise"
مکېز ګره,"coquette, flirt"
کړوپول,"crook, inflect, bow down, bend"
کوپول,"crook, inflect, bow down, bend, slant"
ميدول,"crush, run over something, mash, grind, pound, squeeze, sweep, run over, slash, break, overwhelm, flatten, squash, grin, crack, batter, smash, tread, overwrite, mill"
چخپيتول,"crush, run over something, mash, grind, pound, squeeze, sweep, run over, slash, break, overwhelm, flatten, squash, grin, crack, batter, smash, tread, overwrite, trample on, trip on, stamp, strike the floor or ground forcefully with one's foot"
کلمول,"cut, slice, sever, chop, resolve, determine, arbitrate, take a decision, prune, cut back, lop, shear off"
ډيلول,"delay, postpone, make late, put off, be retired, put back, stay, protract, set back, retard, hold, detain, restrain, keep, retain, stop, blow, carry, catch up, reserve, book, memorize, withhold"
هغه,"démonsthat, it, the one, he, him, she, her, he, ititherself"
عيب نيول,"denigrate, run down, disparage, dispraise, belittle, decry, depreciate, detract, slur, snap, criticize, censure, find fault, review, stricture, take apart"
اوجاړول,"destroy, demolish, kill, wreck, ruin, blast, crack, smash, blight, desolate, eradicate, immolate, overthrow, devastate, lay waste, ravage, wreak havoc"
کنودل,"dig, bore, excavate, hollow"
کيندل,"dig, bore, excavate, hollow, engrave, carve, scratch, brand, incise, inscribe"
سهول,"digest, stomach, put up with (Informal), put up with, tolerate, allow, suffer, bear"
کرغېړنتوب,"dirtiness, nastiness, meanness, dirt, filth, nuisance, sordidness, grubbiness, atrocity, contamination, defilement, taint, blemish, sullying"
پنا کېدل,"disappear, vanish, fade out, pass out of sight, pass away, wear off, clear out, recede"
شندل,"disperse, spread, scatter, break up, distribute, disband, squander, strew, spill, sprinkle, spray, shed"
پېژندل,"distinguish, perceive, set aside, single out, honor, differentiate, know, separate, detect, discern"
غوپه کول,"dive, plunge, sink, thrust, immerse"
مشتقول,"divert, deflect, derive, sidetrack, be adrift, shunt, drift"
شک لرل,"doubt, question, impeach"
څکل,"drink away, drink, quaff, bib, ingrain, absorb, imbibe, drain, blot"
ځان تېرول,"duck, parade, fray, shirk, shrink, evade, back down, elude, flinch, ooze away, fend off, balk"
خوړل,"eat, consume food, feed, have a meal, consume, eat up, use, drink"
غوټول,"enlarge, widen, extend, aggrandize, grow, get fatter, exaggerate, magnify, plump out, swell"
قهرول,"enrage, infuriate"
ارږل,"eructate, (Informal) belch, burp"
زور ور کول,"exacerbate, inflame"
کيش، کيش,excl
اشکي,"exclbravo, attaboy, well done! (cheer of encouragement)"
وا، وا,"exclbravo, attaboy, well done! (cheer of encouragement)"
بړبړ,"exclexcitement, exaltation"
تچې,"exclgoat, goatee, beard,"
نعوذ بالله,"exclGod forbid, Heaven forbid!"
ښه چارې,exclGood luck!
مخه ښه,"exclgood-bye, bye, bye bye, so long, cheerio, pip pip"
اوښۍ,"exclha (expression of surprise, joy, puzzlement, suspicion, triumph, etc)"
حيف,"exclharm, damage, shame, pity, hurt, decay, blighter, havoc"
هش,"exclharm, damage, shame, pity, hurt, decay, blighter, havoc"
پېټ,"exclnever, ever, not at all"
اش,"exclno, not, non"
يه,"exclno, not, nonno, not, non"
واه,"excloh, wow! (cry of surprise, interest, etc)"
ای,"exclouch, ow! (cry of pain)"
واخ,"exclouch, ow! (cry of pain)"
اله,exclpoof
آرام سئ,"exclrest, pause, repose, stand off, breather, lie"
هى، هى,"exclunfortunately, alas, unhappily"
هی،هی,"exclunfortunately, alas, unhappily"
په سترګو !,exclwith pleasure
ستومانه,"exhausted, worn out, spent, sold out, weary, tried out, drained, exhaustive, heavy, overwrought, las, woe, jaded, tired"
وښکل,"extract, mine, quarry, remove from, pull out, abstract, draw, excerpt, elicit, read out, express, frame, lever, extirpate, root out, pluck up, remove, winkle out, winkle, lift-off, take off, take, brush out, carry away, kidnap, abduct, strip, move, pick off, pull off, steal, grab away, bleach out, snatchweed out, weed, pull"
ووښکل,"extract, mine, quarry, remove from, pull out, abstract, draw, excerpt, elicit, read out, express, frame, lever, withdraw, pull, revoke, reprint, check out 2, design, sketch, draft, define, line, style, trace over"
کومڼول,"fade, wither, rot, corrupt, go bad, taint, decay"
خواره,"fallow poor fellow, poor person, beggar, wretch, poor, destitute, pauper, miserable, needy, moneyless, lean, small, pitiable, penurious, poverty stricken, wretched, unhappy, mean, beggarly, godforsaken, unhappy person, miserable person"
موندل,"find, discover, get, hit, puzzle out, work, locate, detect, pick up, spot"
ويشتل,"fire, shoot a gun, print, pull, draw, elicit, extract, extricate, retrieve, send up, launch, shoot, issue, eject, send, emit, evolve, fling, throw, initiate, put up, bring out, throw away, cast, let fly, sling, slip, throwing, launching, sending out, drive, conduct, lead, handle, herd, behave"
کب نيول,"fish, catch, hook, land, peach, peach tree"
ښه,"fit for, well, right, so, good, favorable, lovely, kind, nice, open hearted, beneficial, dainty, reliable, voucher, warrant, bond, decent, alright, all rightrightly, kindly, very, nicely, greatly, O all rightpossessionwelfare, well being, goldkindness, goodness, gentleness, loving kindness, benignity, kind"
څرک وهل,follow in someone's tracks
خوشکېدل,"fray, get worked up, lather, flame up, lose one's temper, madden, flare up, fly into a rage, be beside oneself, temper, flash, go mad, grow angry, get in one's hair"
بوږنول,"frighten, scare, stare"
هغې,"fshe, it, her, herself"
غوول,"fuck (Slang), have sexual intercourse (vulgar), commit adultery, shag (Slang), kiss, kissing, osculation (Vulgar Slang), fornicate, engage in fornication, engage in sexual intercourse (especially between two unmarried people)"
غاښ چيچل,"gnash, grind the teeth together, flame up, lose one's temper, madden, flare up, fly into a rage, be beside oneself, temper, flash, go mad, grow angry, get in one's hair"
وتل,"go out, exit, leave, break out, quit (Computers)"
سلام اچول,"greet, salute, wave, bow, nod, hail, commend"
سينه ټپول,"guarantee, secure, assure, ensure, insure, warrant, indemnify, underwrite, avouch, preserve, back, vouch for"
نيمه,"half, partially,"
زين کول,"harness, saddle, place a seat on the back of an animal, load with a burden or obligation"
درلودل,"have, possess, own, hold, get, stock, asset"
د دې,"his, her, its, sound, noise, tone, ring, public company, company with at least seven stockholders that has the authority to recruit public funds (if funds have already been recruited the company must present a yearly balance to the registrar of companies), public limited company"
نيول,"hold, keep, have, sustain, convene, fulfil, mind, catch, capture, get, seize, snare, trick, catch at, lay hold of, take, get hold of, grab, gripgrasp, understand, apprehend, perceive, attach, recapture, snatch, master, do, be thoroughly knowledgeable about, keep busy, occupy, take over, live, fill, overruntake overpossess, jump"
قدر ورکول,"honor, dignify, grace, fete, redeem, pamper, cherish, cosset, coddle"
ښکر په ښکر کېدل,"icompmeet, encounter, assemble"
تصويرول,"illustrate, exemplify, draw, design, sketch, draft, define, line, style, trace over"
تيارسئ,imperattention
دروم,"impérforward march!, let's go, go on, walking, perambulation, march, running, going, stair, motion, operation"
کيڼ ګرز,"imperleft handed, left, gawk, gawky, graceless, clumsy, ungainly, unhappy, gauche"
بويه,impermustquince
ښی ګرز!,"impérright,"
ښيګېرس (ښیګرځ),"impérright, privilege"
جوپ,"impershut upinterjsilencer, muffler, silent, quiet, noiseless, soundless, discreet, still"
درېش,imperstop
پښه پر ځاي,"impertrampling, stamping"
کښېيستل,"implicate, imply, concern, connote, entangle, predicate, dip, involve, bind, commit, engage, secure, pledge, retain, insert, run"
توريدول,"import, introduce, matter"
طبع کول,"imprint, impress, print, print out, inscribe, publish, transmit, issue, appear, put out, insert in a newspaper, publicize, make public"
کيڼګېرس,"imрérleft handed, left, gawk, gawky, graceless, clumsy, ungainly, unhappy, gauche"
يوڅه,"indéfa little, a bit, somewhat, slightly, rather, bite"
بې اعتنا,"indifferent, unconcerned, apathetic, uninterested, careless, unmindful, cold-hearted, thick-skinned, insensible, insouciant, listless, regardless, unheeding, unmoved, apathetic person"
يو څوک,"indifsomebody, someone, anybody, anyone"
يوچا,"indsomebody, someone, anybody, anyone"
پاږول,"infect, taint"
الګه,"infertile, sterile, unproductive, barren, unfruitful"
شنډه,"infertile, sterile, unproductive, barren, unfruitful"
وچه,"infertile, sterile, unproductive, barren, unfruitful"
سارا ښکل,"inhale, aspirate, breathe, breathe in, yearn"
اني,"instantaneous, instant, snapshot, quick photograph taken with a hand-held camera, instantaneously, immediately"
دغوى,"Instrument Landing System, ILS, radio system in an airport that directs a pilot in landing an aircraft in conditions of limited-visibility, they, those, them"
هغوى,"Instrument Landing System, ILS, radio system in an airport that directs a pilot in landing an aircraft in conditions of limited-visibility, they, those, them, such, these, whosuchthese, who"
اشه,"intergee up, giddy up"
آيا,interrois it
څوک,"interrwho, whom, that, which"
پانګول,"invest, expend money or effort for future benefits, empower, install"
سروغل,"irritate, aggravate, annoy, vex, grate, irk, give up, weary, importune, bother, disturb, push, molest, pester"
بومول,"irritate, annoy, pique, anger, gall, nettle, chafe, ruffle, provoke, induce, arouse, produce, occasion, procure, bring about, raise, mock, jeer, mimic, imitate, scorn, ridicule"
له پوسته وتل,isimplego berserk
جوسرول,"join, link, plumb in, bind, tie up, connect"
تصرفول,"keep busy, occupy, take over, hold, live, fill, overrun"
وژل,"kill, murder, slay, destroy, assassinate"
چومل,"kiss, hug, enfold, pet, embrace, caress, take up, cuddle"
اودل,"knit, weave by joining loops of yarn or thread, stitch together, weave, loom, construct, plait, braid, wreathe, twine"
ټنډول,"knock up, inflate, blow up, distend, bloat, enlarge"
چړپول,"lap, plash, swash"
خندل,"laugh, laughter, have fun, chortle, rib, joke"
څملاستل,"lie down, bed down, lie, retire, set, shake down"
په څنګول,"loc vmove apart, put aside, separate, alienate, discard, exclude, peel off, preclude, eliminate, remove, thrust"
په هګۍ کې چوڼېدلی,"loc/adjmingenious, clever, inventive, resourceful, neat, smart, mischievous, malignant, cunning, crafty, deep, knowing, sharp, astute, artful, wise man, devil, evil, fox"
په باره کې,"loc/conjas regards, concerning, respecting, touching, regarding, as far asabout, re"
په تړاو,"loc/conjas regards, concerning, respecting, touching, regarding, as far asabout, re"
خدای خبر,"loc/exclGod knows, only God knows, goodness knows"
له ښې وتلی,"locadjmuseless, pointless, inutile, needless, unnecessary, superfluous, vain, unavailing, barren, nonoperable, not workable, not useful, unserviceable"
ځای پر ځای ولاړ,"locadjstagnant, sluggish, dull, slack, deadpan, expressionless"
جنسي مقاربت,"loccoitus, coition, copulation, sexual intercourse,"
دا په دا,"locconjbecause, for"
خير دئ!,"locexlnever mind, so much for that"
جړوبړ حالت,"locimbroglio, misunderstanding"
کيڼڅرخ,"locimрérleft handed,"
ښيڅرخ,"locimрérright, privilege"
خدای دې نه کړي!,"locinterjGod forbid, Heaven forbid!"
ناسم پوهاوی,"locmisunderstanding, misapprehension"
د ساري په توګه,"locnfor example, for instance, well"
زنا (له محرم سره),"locnincest, sexual relations between individuals who are closely related"
السلام عليکم,"locnmgood morning, good day!, hello, how do you do?, salutation"
مخې ته واته,"locnmsimplewelcome, greeting, reception, fosterling, desk, receipt, landing, admission, function"
په تل کې کېناسته,"locnsedimentation, accumulation of deposits"
قسم کول,"locnvswear, cuss, take the oath"
واده (د) شپه,locnwedding night
هواخوري ور کول,"locsimрlepromenade, parade about, walk about for the sake of making a display"
کتل,"look, watch, see, view, look at, sight, gaze, concern, observe, examen, notice, comment, remark, adhere, keep, respect, obey, research, search, look for, look into, pursue, quest, retrieve, lira, coin and monetary unit of Italy, coin and monetary unit of Turkey, read, view written letters and convert them into words which have meaning, learn, interpret, scan, await, hold the line, hang on, hang about, meet, stay, stick around, look forward to, expect, abide"
ارول,"lose, waste, drop, cast, forfeit, squander"
تلفول,"lose, waste, drop, cast, forfeit, squander, dissipate, fritter, run through, slattern, throw away, give away, trifle"
آرند,m
تومبسکی,m
شتمنتوب,"maffluence, richness, luxuriousness, wealth, opulence, riches"
ايستل,"make an eduction, eject, bring out, drive out, take out, bundle off, move out, turn out, educe, fetch, march, shell off, spring, extradite, hand over to another nation or judicial authority (i a fugitive, criminal, etc), extract, mine, quarry, remove from, pull out, abstract, draw, excerpt, elicit, read out, express, frame, lever, remove, lift-off, take off, take, brush out, carry away, kidnap, abduct, strip, move, pick off, pull off, steal, grab away, bleach out, snatch, weed out, weed, pull"
تريخول,make bitter
کرغېړنول,"make dirty, mess up, soil, stain, smear, begrime, besmear, defile, foul, grime, spot, taint, blemish, contaminate, defame, befoul, desecrate, infectsully, dirty, soot"
رېودل,"make hay, reap, mow, scythe, pick up, nip, whip, pick, bag, sneak, pinch"
خندول,"make someone laugh, set off laughing, tickle"
کول,"make, build, draw up, play, take, do, work, cook, prepare, perform, handle, transact, pick, pluck, gather, stealpoison, toxin, venom, banesomersault, forward or backward roll performed by the body"
غولانځه لرونکې,"mammal, member of the class Mammalia (class of warm-blooded vertebrate animals which secrete milk to feed their young and have a covering of hair on their bodies)"
هرچا,"mapiece, each, each and every, everybody, everyone, anybody, anyone, whoever, whosoever"
ځرځه,mazarine
تتوالی,mdimming
بګوړی,"melephant, type of large land mammal with a long trunk and ivory tusks, pachyderm"
ياوه ګويي,"mfdelirium, ravings, wandering, rambling, raving, divagation"
خدمتګاره,"mfhousemaid, maid, servant, maidservant"
کوهستان,mhighland
پيوره,"milch cow, cow that gives milk"
پیوره,"milch cow, cow that gives milk,"
سوېشل,"milk, draw milk from the udder of a cow or another animal"
قيمه,"minced, ground, fine cut, chopped, mince"
ياغي والی,"minsurrection, revolt, waywardness, rebellion, uprising, mutiny, commotion, sceneinsurgence, rising"
چمنزار,"mmeadow, prairie, grassland"
ښکارندوی,"mmembodiment, incarnation, incorporation, representative, agent, delegate, envoy, deputy, exponent"
اکثره,most
باډګول,"mrope, string, cord, bowstring, lash, rein"
کندلوښی,"msugar bowl, sugar basin, sugar"
ترخون,"mtarragon, leaves of this plant used for flavoring"
اوکراين,"mUkraine, country located in southern Europe to the north of the Black Sea and belonging to the Commonwealth of Independent States (formerly part of the Soviet Union)"
زما,"my, belonging to me, my,"
خاکسري,n
شطرنج,n m
تنګ نظره,"narrow minded, hidebound, thick witted, obtuse, parochial, narrow, restricted"
توقیفخانه,"nfprison, jail, penitentiary, location where convicted criminals and people awaiting trial are confined"
خسر,nm
زرب,"nm1: intensity, vehemence, acuteness, poignancy 2: pump, machine used to move liquids by suction, one instance of moving liquid by suction, pomp, luxury, ceremony, shoe, protective covering for the foot, dogs, shoes (Slang)"
څک,"nmdrop, bead, nip, drip, splash, blob, gout, disease characterized by the inflammation of the joints (mainly of the feet and hands)due, right, straight, righteous, upstanding, upright, law, title, duty, feetasting"
تخمير,"nmfermentation, fermenting, unrest, ferment"
هېڅ کوم,"no one, none, neither, no, any, no person"
هېچا,"nobody, no one, none, anyone, anybody, person, human being, individual human"
هېڅوک,"nobody, no one, none, anyone, anybody, person, human being, individual human"
هېڅ يو,"nobody, no one, none, anyone, anybody, person, human being, individual human, neither, no, any, no person"
څېره کول,"note down, take notes, write in, list, put down, set down, mark down, mark, post, inscribe, send in"
شمېره وهل,"number, count, assign a number, equal in amount"
تاونۍ,"nymphomaniac, one who has uncontrollable sexual desire (Psychology), nymphomaniacal, affected by excessive and uncontrollable sexual desires (Psychology)"
خطا ايستل,"ompdeceive, cheat, fool, beguile, delude, lure, betray, mislead, intrigue, impose, dupe, mock, sell, abuse, misusecompel, take liberties, presume, overindulge, overstrain, give the lie to, swindletrick, defraud, crook"
پرانيستل,"open, undo, start, begin, put up, turn on, inaugurate, initiate, strike up"
حکم کول,"order, instruct, bid, prescribe, decree, direct, enjoin, ordain, preordain, rule, govern"
