Word,Meaning
abbreviator,kb. orang yg melakukan peringkasan suatu karya tulis.
abc,kb. 1 abjad. That child knows his ABC's   Anak itu tahu abjad.             2 ( American Broadcasting Company) Perusahaan Siaran  Amerika.
abdicate,kkt. 1 turun takhta. 2 melepaskan . to a. o's responsibility melepaskan tanggung jawab nya. --kki. turun takhta. The king abdicated Raja  itu turun  takhta.
abdicated,kkt. turun-tahta. diturun-tahtakan
abdicating,kkt. turun tahta
abdication,kb. penurunan tahta
abdomen,"ks. perut, daerah perut."
abdominal,ks. yang berhubungan dengan perut  a. operation pembedahan perut.
abduct,"kkt. menculik, mengalap, melarikan (dengan paksa). The stranger abducted the woman. Orang yang tak dikenal itu menculik perempuan itu."
abducted,kkt. menculik. diculik
abducting,kkt. menculik
abduction,kb. penculikan. A. of  a child is a crime punishable by death Penculikan anak adalah kejahatan yang dapat dihukum mati.
abductor,kb. penculik.
abeam,kk. (ditengah) rusuk.
abear,kkt. mempertahankan
abed,di tempat tidur
abegging,"ks.,kk. tidak diinginkan.Scholarships often go a.  Beasiswa-beasiswa sering tak dimanfaatkan."
aberrant,ks. yang menyimpang dari kebiasaan  a. behavior tingkah laku yang menyimpang dari kebiasaan
aberration,"kb. penyimpangan, penyelewengan, keluar-kebiasaan, sikap/tindakan yang berlainan."
abet,kkt. (abetted) bersekongkol dengan. He abetted his companion in the theft Ia bersekongkol dengan temannya dalam pencurian itu.
abetment,kb.. penghasutan.
abettor,"kb. kaki tangan,  penolong dalam kejahatan."
abeyance,"kb. penundaan. in a. terkatung--       katung, ditangguhkan. The matter was held in a. until the committee  presented its report Masalah itu untuk sementara ditangguhkan pembahasannya. menunggu sampai panitia  menyampaikan laporannya."
abhominable,lih. ABOMINABLE
abhor,kkt. (abhorred) benci akan. tidak menyukai. I a. his wickedness  Saya benci akan kejahatannya. Nature     abhors a vacuum Alam tidak menyukai kehampaan.
abhorred,"kb. benci, kebencian, kejijikan, kemualan.  his a. of corruption kebenciannya akan kecurangan."
abhorrence,"benci, kemuakan, kebencian"
abhorrent,"ks. benci, jijik. The murder was a. to him Pembunuhan itu menjijikkan baginya."
abhorring,kkt. membenci
abide,"--kki. 1 ada. Hope still abides Harapan masih ada. 2 tinggal, diam. to a. in the forest tinggal/berdiam di hutan."
abided,kkt. mempercayai. dipercayai
abiding,"ks. kekal, tak kunjung hilang. he has an a. interest in money  Ia mempunyai perhatian yang tak kunjung hilang  terhadap uang."
ability,"kb. ( j.-ties) 1 kecakapan, bakat, kemampuan. 2 kemampuan. 3 ketangkasan. 4 kesanggupan."
abject,"ks. hina (papa), hina dina, rendah. a. poverty kemiskinan yang hina papa."
abjection,"kehinaan, penghinaan"
abjectly,kk. dengan hina
abjuration,kb. penyangkalan
abjure,"bersumpah, mengharamkan"
abjured,kkt. menyangkal. disangkal
abjuring,kkt. menyangkal
ablation,kb. ablasi
ablative,"ks. ablatif, kasus kelima."
ablaze,ks. 1 terbakar berkobar-kobar. The building was a. Gedung itu sedang terbakar berkobar-kobar. 2 terang benderang.  The street was a. with lights Jalan itu terang benderang.
able,"ks. 1 dapat, bisa, sanggup, mampu. 2 cakap, trampil. 3 berwewenang.4 yang menunjukkan kecakapan."
abloom,berbunga
ablution,"kb. pembersihan, pencucian. ritual a. wudu"
ably,dgn cakap
abnegation,pengingkaran diri
abnormal,"ks. 1 abnormal, aneh. a. behavior tingkahlaku yang tidak normal. a. psychology psikologi abnormal. 2 luar biasa, abnormal."
abnormality,kb. (j. -ties) 1 kelainan. a. of the thumb kelainan dari ibu jari. 2 ketidaknormalan.
abnormally,kk. dengan tidak normal
aboard,"kk. 1 di (atas, dalam). 2 naik"
abode,kb. 1 tempat kediaman. This is my humble a. Inilah gubuk saya. 2  lih. ABIDE.
abolish,"kkt. menghapuskan, mengakhiri, meniadakan. to a. slavery menghapuskan perbudakan."
abolished,kkt. menghapuskan. dihapuskan
abolishing,kkt. menghapuskan
abolishment,kb. penghapusan. a. of secret organizations penghapusan dari organisasi rahasia.
abolition,"kb. penghapusan, pembasmian, abolisi. a. of slavery penghapusan dari perbudakan."
abolitionist,"kb. anggota gerakan penghapusan s.s.t., seorang yang ingin menghapuskan s.s.t."
abomb,kb. bom atom
abominable,"ks. buruk sekali (of food, style)."
abominably,kk. secara tak menyenangkan
abominate,"menjijikkan, membencikan"
abominated,kkt. membenci. dibenci
abomination,kb.s.s.t.yang (sangat) dibenci. Exams are an a. Ujian adalah s.s.t. yang dibenci
aboriginal,"kb. orang asli. He's an a. Dia orang asli. --ks. asli, pribumi, a. inhabitant  penduduk asli."
aborigine,"kb. orang asli, orang pribumi (biasanya sangat bersahaja)."
aborigines,penduduk asli
abort,"kkt. menggagalkan, menggugurkan. kki. gagal, gugur."
aborted,kkt. menggugurkan. digugurkan
aborting,kkt. menggugurkan
abortion,"kb.1 (micarriage) pengguguran kandungan, keluron, abortus, keguguran.2. kegagalan."
abortionist,"kb.tukang menggugurkan kandungan aborteur, aborteuse."
abortive,"ks.gagal, seman. a. attempt percobaan yang gagal."
abound,kki. to a. in berlimpah-limpah          .to a. with penuh dgn.                  The ship abounds with rats Kapal itu penuh dengan tikus.
about,kk. 1 kira-kira.2 hampir.3 baru saja mau.4 dimana-mana.5 disana-sini    .6 kesana-sini.
above,"kb. yang diatas. --ks. tersebut diatas --kk. (di) atas. --kd. 1 diatas. 2 bebas dari. 3 lebih tinggi dari. 4  sukar, sulit  above-average ks. lebih dari biasa."
aboveboard,"ks. tulus hati, ikhlas, jujur. His actions are a. Perbuatan-perbuatannya adalah tulus hati. The  management of that business so far has proved a. Pimpinan perusahaan itu sampai sekarang ternyata jujur."
aboveground,"ks., kk. diatas (permukaan) tanah. a. grave mound tumpukan kuburan diatas tanah. Some snakes live a. Beberapa macam ular hidup diatas permukaan tanah."
abovementioned,ks  yang tersebut diatas.
abracadabra,"kb. 1 omong kosong, bukan-bukan. 2 ucapan pendek yang dipakai sebelum menyihir s.s.t. atau mengerjakan sunglap; sim-sala-bim."
abrade,kk. mengelupas akibat gesekan atau erosi
abraded,kkt. mengelupas. di/terkelupas
abrasion,"kb. luka lecet, kegores ringan."
abrasive,"kb. 1 penggosok, alat pengempelas, ampelas. 2 penggosok, obat asah. ks. kasar, kesat."
abrasives,kb. abrasif
abreast,"kk., ks.berbaris dua-dua.                 to be a. of/with mengikuti"
abridge,"kkt. 1 memendekkan, memperpendek, menyingkat, mempersingkat. 2 membatasi, mengurangi. 3 mengikhtisarkan."
abridged,disingkat
abridgement,"singkatan, pelanggaran, penyingkatan, pemendekan"
abridging,kkt. memudahkan
abridgment,kb. pemudahan
abroad,"kk. 1 luar negeri.2 dgn luas.             3 tersiar,tersebar.4 meninggalkan rumah."
abrogate,"kkt. mencabut, membatalkan."
abrogated,kkt. membatalkan. dibatalkan
abrogating,kkt. membatalkan
abrogation,"kb. pencabutan, pembatalan, penghapusan. a. of a treaty pencabutan perjanjian."
abrupt,"ks.1 kasar. 2 tiba-tiba,tak tersangka, mendadak.3 curam, terjal."
abruptly,kk. 1 dgn kasar. 2 dgn tiba-tiba.
abruptness,"kb. kekasaran, kekurangajaran       2 kecuraman, keterjalan."
abs,"1 tak hadir, mangkir. 2 mutlak. 3 abstrak."
abscess,"kb. abses. barah. bisul bernanah, bengkak bernanah.kki.menjadi abses, membisul."
abscessed,"ks. kena abses, bengkak bernanah."
abscissa,kb. absis.
abscission,kb. kegiatan memotong sesuatu
abscond,kk. melarikan diri dari penangkapan aparat
absconded,kkt. melarikan diri
absconding,kkt. melarikan diri
absence,"kb. 1 kemangkiran.2 ketidak hadiran.3 ketiadaan, ketidakadaan, kekurangan."
absent,"ks.absen, mangkir,tak hadir.kkt. meninggalkan.absent-minded ks.     1 lupa-lupa,  linglung,  mengelamun. 2 pelupa,pelalai."
absent minded,linglung
absentee,kb. s.s.o. yg tak ada atau tak hadir di tempatnya.
absenteeism,"kb. ketidakhadiran, kemangkiran."
absently,kk. dengan absen
absentminded,linglung
absentmindedness,kb. kelinglungan
absinthe,kb. absinth
absolute,"kb. absolutes j. hal-hal yg mutlak  (spt kebenaran, keadilan dsb).-ks.   1 penuh, sepenuhnya. 2 mutlak.       3 nyata.4 pasti,tentu,positip             . 5 absolut 6.sebetulnya,sesungguhnya."
absolutely,"kk. 1 sama sekali, betul, benar.        2 memang."
absoluteness,kb. kekuasaan yang tak terbatas
absolution,kb. 1 absolusi.2 pengampunan pengampunan/permaafan dosa.
absolutism,absolutisme
absolutist,kb. penganut kemutlakan
absolve,"kkt. membebaskan, memerdekakan. He was absolved from his promise  Ia dibebaskan dari janjinya"
absolved,kkt. mengampuni. diampuni
absolving,kkt. mengampuni
absorb,"kkt.1 mengisap, menyerap.              2 menahan, menyangga                   3 menangkap,mengerti.                    4 mengabsorbir, menampung.          5 memikat,mengasyikkan.                6 mengisap, menyedot, menghirup, membuat menyerap."
absorbed,"ks. asyik,terpikat."
absorbent,ks.pengisap.a. cotton kapas pengisap/pembalut.
absorber,kb. peredam
absorbing,ks.1 sangat menarik.                         2 mengasyikkan.
absorption,"kb. 1 pengisapan. penyerapan, absorpsi.2  penggabungan perusahaan kecil kedalam perusahaan yg lebih besar.               3 kekhusyukan,keasyikan."
absorptive,ks.yg berh.dgn absorpsi. a. capacity daya absorpsi.
absorptivity,kb. keterserapan
abstain,"kki. 1 berpantang.2 menjauhkan diri, tak memberi suara."
abstained,kkt. berpantang
abstainer,kb. pemantang. He's an a . Ia pemantang alkohol.
abstaining,kkt. berpantang
abstemious,ks. bebas dari minuman keras.
abstemiousness,kb. keadaan berpantang
abstention,kb.1 abstensi.2 suara blangko.
abstinence,"kb. pertarakan, pantang, pemantangan, penahanan nafsu"
abstract,"ks. 1 abstrak. 2 mujarad. -kkt.          1 meringkaskan, mengintisarikan, mengikhtisarkan. 2 memisahkan."
abstracted,tdk memperhatikan
abstracting,kkt. meringkas
abstraction,"kb. 1 abstraksi, keniskalan.              2 pemisahan, pemindahan."
abstruse,"ks. mus(y)kil, sulit dimengerti, mendalam. Physics is an a. subject Ilmu alam adalah mata pelajaran yang muskil."
abstruseness,"kb. kedalaman, kemuskilan."
absurd,"ks. 1 (impossible, unreasonable, out of the question) mustahil, tak masuk akal. 2 (ridiculous, laughable)  menggelikan, menertawakan."
absurdity,"kb. (yj -ties) kemustahilan, keadaan yang bukan-bukan."
absurdly,kk. bukan main.
abundance,"kb. kelimpahan, keadaan berlimpah-limpah. an a. food bahan makanan yang berlimpah-limpah.."
abundant,"ks. berlebih-lebih, berlimpah-limpah."
abundantly,"kk. berlimpah-limpah, berlimpah-ruah."
abuse,"kb. 1 penyalahgunaan, salah-pakai. 2 perlakuan kejam, siksaan.             3 makian.  -kkt. 1 (misuse) menyalahgunakan. 2 (mistreat) memperlakukan dengan kasar/kejam/keji. 3 (scold, insult) memaki-maki, mencacimaki.             4 mengkhianati."
abused,kkt. menyalah-gunakan. disalah-gunakan
abusing,kkt. menyalah-gunakan
abusive,"ks. kasar, kejam, menghina."
abusively,#NAME?
abut,"kki. (abutted) berbatas kepada, berbatasan. The two yards a. upon e.o. Dua halaman itu berbatasan satu sama lain."
abutment,kb. pangkal jembatan
abuzz,dipenuhi oleh
abysmal,ks. bukan kepalang. His ignorance is a. Kejahilannya bukan main.
abyss,kb. jurang ngarai yang dalam sekali.
abyssinian,kb. abysinia
ac,kb. arus bolak-balik
acacia,akasia
academic,"kb. akademikus, sarjana.ks.             1 akademis.2 menurut teori,"
academical,kb. akademis
academically,kk. secara akademis
academician,"kb. akademikus, sarjana.  academicians j. kaum akademisi."
academy,kb.(j.mies) 1 akademi.2 sekolah menengah                                (biasanya swasta/partikelir).
acc.,"1 rekening.2 (according) menurut.    3  (accusative) kasus keempat, akuativ."
accede,"kki. 1 mengabulkan, menyetujui      .2 naik.3 ikut serta."
acceded,kkt. mengabulkan. dikabulkan
acceding,kkt. dalam proses mengabulkan
accelerate,"kkt. mempercepat,melajukan.-kki. mempercepatkan jalannya."
accelerated,ks. yg di percepat.
accelerating,kkt. mempercepat
acceleration,"kb. 1 percepatan, perlajuan (mobil, pertumbuhan ekonomi). 2 akselerasi"
accelerator,"kb. pedal gas, akselerator, alat pemercepat"
accent,"kb. 1 logat, aksen,2 tekanan.3 titik berat, tekanan.- kkt.memberi tekanan pada, menekankan."
accented,kkt. menekankan. ditekankan
accentual,ks. beraksen. Much poetry is a. Kebanyakan puisi beraksen.
accentuate,"kkt. 1 menonjolkan.2 menekankan (pd), mengutamakan, mementingkan.to a.safety measures menekankan (pd) tindakan-tindakan keselamatan."
accentuated,kkt. menekankan. ditekankan
accentuating,aksentuasi
accentuation,"kb.1 penekanan, tekanan.                2 penitikberatan."
accept,"kkt. 1 menerima (baik)                       2 menyetujui,mengabulkan.-kki. menerima."
acceptability,kb. hal dapat diterima.
acceptable,"ks.1 dpt diterima,2 pantas cocok."
acceptance,"kb.1 penerimaan.2 sambutan, dukungan."
acceptation,kb. penerimaan secara umum
accepted,"diterima, menerima."
accepting,kkt. menerima. diterimanya
acceptor,"penerima, akseptor"
access,kb. jalan masuk.There is a to their yard Ada jalan masuk ke halaman mereka.
accessary,"sekongkol, membantu berbuat jahat"
accessed,kkt. mengakses. diakses
accessibility,"kb. hal dapat masuk, hal mudah dicapai."
accessible,"ks. dapat diperoleh.2 dapat menerima, dpt dicapai.3 dpt diambil  4 mudah didatangi,5 dpt didatangi."
accessing,kkt. mengakses
accession,kb. penaikkan.2 tambahan.              3 pencapaian.
accessories,asesori
accessory,"kb. (j -ries) 1 barang tambahan, alat ekstra.2 Law : kaki tangan."
accidence,ilmu bentuk kata saraf
accident,"kb.kecelakaan.kebetulan. accident-prone ks. mudah tertimpa kecelakaan,sering tertimpa bencana."
accidental,ks. kebetulan.an a. meeting suatu pertemuan yg secara kebetulan.
accidentally,kk. 1 (dgn) tdk sengaja.   2 (secara) kebetulan.
accidentprone,ks. selalu mengalami kecelakaan
acclaim,kb. tepuk tangan sorak.-kkt.            1 menyambut dengan gembira.        2 menyatakan. 3 menyoraki.
acclaimed,kkt. bertepuk-tangan. disambut tepuk tangan
acclaiming,kkt. bertepuk-tangan
acclamation,"kb. 1 aklamasi,suara bulat.               2 sambutan gembira,sambutan dgn (ber) tepuk tangan."
acclimate,kkt. menyesuaikan diri kpd suatu iklim.
acclimated,kkt. menyesuaikan dengan iklim. disesuaikan dengan
acclimatization,kb. penyesuaian diri
acclimatize,#NAME?
acclimatized,kkt. menyesuaikan pada iklim. dibiasakan
acclivity,kb. [tanda kurung besar/lereng curam]
accolade,"kb. penghargaan, penghormatan, pujian."
accommodate,"kkt.1 memuat, menampung.             2 memberi akomodasi/penginapan. 3 menolong.4 menyesuaikan/ mencocokan diri.5 mendamaikan."
accommodated,kkt. mengakomodasi. diakomodasikan
accommodating,"ks. peramah, baik hati, suka menolong."
accommodation,"kb. 1 pertolongan, bantuan.             2 penyesuaian diri.3 penggunaan."
accommodations,"j. akomodasi, penginapan."
accomodation,"pertolongan, penyesuaian diri"
accompanied,kkt. menemani. ditemani
accompanies,kkt. menemani
accompaniment,"akompanimen, penyertaan, iringan"
accompanist,kb. pengiring.
accompany,"kkt a.(ed) 1 menemani, menyertai.    2 mengiringi."
accompanying,"ks. yg mengiringi,yg mendampingi, yg menemani."
accomplice,"kb. kaki tangan,antek."
accomplish,"kkt.1 menyelesaikan, menyempurnakan.2 menyelesaikan, mengerjakan."
accomplished,"ks. ulung, pandai."
accomplishing,kkt. memenuhi
accomplishment,"kb.1 prestasi.2.kepandaian kecakapan.3 penyelesaian, pencapaian."
accopaniment,kb. 1 iringan (bunyi-bunyian).            2 menyertai.
accord,"kb.1 persetujuan.2 keserasian.-kkt. memberi, menyampaikan. kki. cocok, sesuai,selaras,seia-sekata."
accordance,"kb. in a. with 1 sesuai dgn, menurut.2 berkenaan dgn, sesuai dgn,memenuhi."
accorded,kkt. menyetujui. disetujui
according,menurut
accordingly,"kk.1 sesuai dgn itu. 2 jadi, karena itu, maka."
accordion,"kb. akordeon, harmonika tangan."
accordionist,kb. pemain akordion.
accost,"kkt.1 menyapa, menegur                  2 mendekati,mendatangi."
accosted,kkt. menyapa. disapa
accosting,kkt. menyapa
account,"kb. 1 laporan, cerita.2 catatan, rekening.3 uang,rekening.               4 tanggungan,rekening, nama.        5 harga, nilai.6 bagi/karena seorang.7 perhitungan.8 (charge) Saya boleh berhutang di toko ini."
accountability,"kb. keadaan untuk dipertanggung-jawabkan, keadaan dpt dimintai pertanggung-jawab."
accountable,ks. bertanggung-jawab. He is a. for the child's unhappiness Ia bertanggung-jawab atas kesusahan anak itu.
accountancy,"kb. akuntansi, pembukuan."
accountant,kb. akuntan.
accounted,kkt. membukukan. dibukukan
accounterments,kb. j. perlengkapan-perlengkapan prajurit.
accounting,kb 1 akuntansi.  2 laporan.
accounts,kkt. memegang buku
accoutrement,aksesoris baju atau peralatan
accoutrements,kb. perlengkapan prajurit
accredit,"kkt. 1 memberi kuasa resmi kpd seorang wakil, mengangkat seorang wakil.2 mengakui (sesudah memenuhi syarat-syarat resmi)."
accreditation,kb. 1 pengakuan. a. of a school pengakuan sekolah.                        2 pengangkatan.a. of our ambassador to Finland  pengangkatan duta besar kita untuk Finlandia.
accredited,"ks. yg diakui keahliannya, yang berijazah."
accrediting,kkt. dalam proses mengakui
accretion,"kb. (per)tambahan, (per)tumbuhan. The last part of the epict is a later a. Bagian terakhir syair kepahlawanan itu adalah tambahan belakangan."
accruals,kb. pos akanan
accrue,"kki. bertambah, tumbuh. Interest will a. with savings Bunga akan bertambah dengan bertambahnya uang simpanan."
accrued,kkt. mengakui. diakui
accruing,kkt. bertambah
acct,rekening di bank
acct.,"rekening, uang di bank."
acculturate,kkt. menyesuaikan diri (kepada adat kebudayaan baru  atau kebiasaan asing).
acculturation,"kb. akulturasi, penyesuaian diri."
accumulate,"kkt. mengumpulkan, menghimpun (wealth). --kki. bertumpuk sedikit demi sedikit, mengumpul. dust accumulates on the table Debu bertumpuk sedikit demi sedikit diatas meja."
accumulated,kkt. mengumpulkan. ter/dikumpulkan
accumulating,kkt. mengumpulkan
accumulation,"kb. 1 pengumpulan, penghimpunan, penimbunan. 2 timbunan. a. of dust timbunan debu."
accumulative,akumulatif
accumulator,aki
accuracy,"kb. 1 ketelitian, keseksamaan. 2 a. of a report  ketelitian suatu laporan. 3 kecermatan, ketepatan. The a. of his shooting was amazing Ketepatan penembakannya mengherankan."
accurate,"ks. 1 teliti, cermat, seksama. an a. bookkeeper seoang pemegang buku yang teliti. 2 tepat. That's not a.statement Pernyataan itu tidak tepat.--accurately kk. dengan teliti/seksama/tepat."
accurately,"dengan teliti, dengan cermat"
accurateness,"kb.ketelitian, keseksamaan."
accursed,"ks. terkutuk, keparat. a. devil syaitan terkutuk. a. child anak keparat."
accurst,"terkutuk, celaka"
accus.,akusatip.
accusation,"kb. tuduhan, penuduhan, (pen) dakwaan, dakwa. What is the a. against him? Apa tuduhan terhadap dia ?"
accusative,"kb. akusatip, penderita, kasus keempat. a. case kasus keempat."
accuse,kkt. 1 menuduh. 2 menyalahkan.
accused,"kb. terdakwa, tertuduh. --ks. yang terdakwa. the a. man orang laki-laki yang terdakwa."
accuser,"kb. pendakwa, penuduh."
accusing,penggugatan
accustom,"kkt. membiasakan,  menyesuaikan."
accustomed,ks. 1 biasa. 2 membiasakan diri.
accustoming,kkt. membiasakan
ace,"kb. 1 Bridge: kartu as..2 ahli, jempolan, jago. --ks. ulung. ..--kkt. to a. o's opponent mengalahkan lawannya dgn pukulan service yg mematikan."
acerbate,kk. mengganggu
acerbic,ks. kecut
acerbity,kb. (j. -ties) 1 rasa  masam. 2 kemarahan. The a. of his remark astounded me Ucapannya yg pedas itu mengejutkan (bagi) saya.
acetate,"kb. asetat, cuka asam (garam), garam cuka."
acetic,"ks. yang bersifat asetat. a. acid cuka, asam asetat."
acetone,kb. aseton
acetous,ks. asam
acetylene,"kb. asetilen, gas karbid. a. torch lampu assetilen, tangkai las asetilen, api karbid."
ache,kb. 1 sakit. 2 rindu. 3 ingin sekali.
ached,kkt. rindu akan
achievable,terjangkau
achieve,kkt. mencapai. to a. success mencapai sukses.
achieved,terjangkau
achievement,prestasi
achiever,kkt. peraih kesuksesan
achievers,kb. pemenang
achieving,kkt. menuju keberhasilan
achilles,"kb. Achilles. A. heel kelemahan, sifat yg lemah. A  tendon urat keting"
aching,"ks. sakit, sakit-sakitan. a. back punggung yang sakit."
achromatic,tak berwarna
achy,ks. sakit. I feel a. saya merasa sakit (tidak enak badan). Saya sakit.
acid,"kb. 1 asam, hamud.--ks. 1 asam, masam. 2 tajam. She has an a. tongue Lidahnya tajam. an a. remark pernyataan yang tajam."
acidic,keasam-asaman
acidification,"kb. asidifikasi, pengasaman"
acidified,kkt. mengasamkan. diasamkan
acidify,kkt. mengasamkan
acidifying,kkt. mengasamkan
acidity,kb. (j. -ties) 1 kadar asam/masam.    2 keasaman. a. of a lemon keasaman jeruk . 3 ketajaman.
acidly,kk. dengan kecut
acidulous,ks. mengandung asam
acknowledge,kkt. 1 mengakui. 2 menyatakan.      3 menjawab.
acknowledged,kkt. mengakui. diakui
acknowledgement,"pengakuan, surat tanda terima, penghargaan"
acknowledging,kkt. mengetahui
acknowledgment,"kb. 1 pengakuan. 2 penghargaan.   3 balasan, sambutan. 4 surat tanda terima."
acknowledgments,j. pernyataan-pernyataan tanda terima kasih.
acls,(American Council of Learned Societies) Dewan Perkumpulan Kesarjanaan Amerika.
acme,"kb. puncak. the a, of success puncak kesuksesan/kejayaan."
acne,kb. jerawat.
acolyte,kb. pembantu pendeta pada upacara misa.
acorn,kb. buah atau biji pohon ek.
acoustic,"ks. akustik. a. phonetics fonetika akustik. a. tile genteng menyerap bunyi, genteng akustik."
acoustical,ks.= ACOUSTIC.
acoustics,"kb. ilmu suara, ilmu bunyi akustik."
acquaint,"kkt. 1 memperkenalkan                    2 mempelajari, mengetahui."
acquaintance,"kb. 1 kenalan. We are acquaintances Kami kenalan. Kami talah berkenalan. 2 pengetahuan, tahu. I have some a. with chemistry Saya mengetahui sedikit tentang kimia."
acquaintanceship,kb. 1 perkenalan. an a. of long standing perkenalan yang lama. 2 pengetahuan. an a. whith several languages pengetahuan dengan beberapa bahasa.
acquainted,kenal terhadap
acquainting,kkt. memperkenalkan
acquiesce,mengizinkan
acquiescence,kb. persetujuan tanpa protes/dgn diam-diam. Our a. in their plan made us guilty too Persetujuan kita tanpa protes terhadap rencana mereka membuat kita ikut bersalah.
acquiescent,ks. yang menyetujui diam-diam. She has an a. nature Dia adalah seorang yang menyetujui  diam-diam.
acquire,"kkt. 1 memperoleh, mendapatkan.   2 belajar."
acquired,ks. yang diperoleh.
acquirement,"kb. kecakapan, kepandaian yang diperoleh. His language acquirements are astounding Kecakapan bahasanya mengagumkan."
acquiring,pembungaan
acquisce,"khi. menyetujui tanpa bantahan, setuju dgn  bersikap diam. We were forced to a. in their plan Kita terpaksa menyetujui rencana mereka  tanpa protes."
acquisition,"kb. 1 kemahiran. 2 tambahan, pendapatan. 3 tambahan buku-buku. 4 perolehan, penerimaan"
acquisitive,"ks. 1 tamak, serakah. He is very a. Ia tamak sekali. 2 keras/gigih untuk memperoleh s.s.t."
acquisitiveness,kb. sifat suka memperoleh
acquit,kkt. (acquitted) membebaskan.        2 bertingkahlaku.
acquited,kkt. membebaskan/ bertingkah-laku. dibebaskan
acquittal,kb. 1 pembebasan. 2 pelunasan.    a. of a debt pelunasan utang.
acquittance,kb. kwitansi
acquitted,membebaskan
acre,kb. ukuran tanah                      (=4840 yar persegi: 0.4646 ha).
acreage,kb. luas ukuran atau jumlah luas tanah dalam acre.
acrid,"ks. 1 tajam.a.odor bau tajam.           2 pedas, sengit, tajam. a. remarks ucapan-ucapan yang pedas.            3 menjengkelkan, mendongkolkankan.a. manner kelakuan yang mendongkolkan."
acrimonious,"ks. sengit, tajam. a. debate percekcokan sengit."
acrimony,kb. (j. -nies) kesengitan. ketajaman.
acrobat,"kb. akrobat, penambul."
acrobatic,"kb. acrobatics j. bermain senam, kemahiran bertambul. --ks. akrobatis."
acrobatics,ks. akrobatik
acronym,"kb. akronim,singkatan yang dibentuk dari huruf-huruf kata uraian. RADAR is an a. RADAR adalah akronim."
acrophobe,kb. penggamang.
acrophobia,"kb. gamang, (rasa) takut akan jatuh dari tempat yang tinggi"
across,"kk. jarak lintas. right a. persis , tepat, melewati. to get a. menjelaskan. to put a. membentangkan, menguraikan,  mengutarakan.            --across-the-board ks. untuk semua.an a.-the-board raise kenaikan untuk semua."
acrostic,kb. sanjak atau susunan kata-kata yang seluruh huruf-awal atau huruf-akhir tiap-tiap barisnya merupakan sebuah  kata atau nama  diri.
act,"kb. 1 perbuatan, fi'il, paal. 2 tindakan 3 babak. 4 undang-undang, keputusan, penetapan. 5 main-main, pura-pura."
acted,kkt. bertindak. ditindak
acting,kkt. bertindak. akting
actinic,kb. aktinisma
