Word,Meaning
iraqis,irakianë
islam,feja islamike
israeli,izraelian
israelis,izraelitët
istanbul,Stamboll
jack knife,thikë xhepi
japan,Japonia
jerusalem,Jerusalem
jessica,Xhesika
jesus,Jesus
jordan,Jordania
june,qershor
jupiter,Jupiter
kant,Emmanuel Kant (1724-1804) Filozof gjerman i cili u përpoq të bashkonte racionalizmin me empirizmin
korea,Koreja
kuwait,Kuvait
lebanon,Libani
libya,Libia
lifestyle,mënyrë jetese
london,Londra
macedonia,Maqedonia
march,Mars
may i be,Qofsha
may i have,Paça
may he be,Qoftë
may he have,Pastë
may she be,Qoftë
may she have,Pastë
may they be,Qofshin
may they have,Paçin
may we be,Qofshim
may we have,Paçim
may you be,"Qofsh, Qofshi"
may you have,"Paç, Paçi"
middle east,Lindja e Masme
ministry,Ministria
montenegro,Mali i Zi
morgan,emër personi
morocco,Maroku
morris,emër personi
morton,emër personi
moscow,Moska
mr,zotëri
mrs,zonjë
my watch,Ora ime
normandy,Normandi (rajon në Francën veriore)
olympics,Lojrat Olimpike
pacific,Paqësor
pacific ocean,Oqeani Paqësor
pact,"Pakt, The Stability Pact = Pakti i Stabilitetit"
pakistan,Pakistan
pakistanis,pakistanezë
persia,Persia
persian gulf,Gjiri Persik
phenomenology,Fenomenologji
philippines,Filipinet
president,Presidenti
prime minister,Kryeminister
red cross,Kryqi i Kuq
renaissance,Rilindje
romania,Rumania
sta.,"(Station) stacion, pikë referimi, shenjë, vendqëndrim"
saudi arabia,Arabia Saudite
scrubbing,"duke kërkuar, duke pastruar"
senate,Senati
shamanism,besim fetar që karakterizohet nga aftësia e Shaman-së për të komunikuar me botën shpirtërore
she had,Ajo kishte
she had been,Ajo kishte qenë
she had had,Ajo kishte pasur
she has,Ajo ka
she has been,Ajo ka qenë
she has had,Ajo ka pasur
she is,Ajo është
she was,Ajo ishte
she will be,Ajo do të jetë
she will have been,Ajo do të ketë qenë
she will have had,Ajo do të ketë pasur
she would be,Ajo do të ishte
she would have,Ajo do të kishte
she would have been,Ajo do të kishte qenë
she would have had,Ajo do të kishte pasur
siam,emri i vjeter i Tailandës
southeastern,Juglindore
spain,Spanja
spanish,mb. spanjoll; e. spanjoll; gjuhë spanjolle
sparta,Sparta
thank you,Faleminderit
they are,"Ata janë, Ato janë"
they had,"Ata kishin, Ato kishin"
they had been,"Ata kishin qenë, Ato kishin qenë"
they had had,"Ata kishin pasur, Ato kishin pasur"
they have,"Ata kanë, Ato kanë"
they have been,"Ata kanë qenë, Ato kanë qenë"
they have had,"Ata kanë pasur, Ato kanë pasur"
they were,"Ata ishin, Ato ishin Ata qenë, Ato qenë"
they will be,"Ata do të jenë, Ato do të jenë"
they will have,"Ata do të kenë, Ato do të kenë"
they will have had,"Ata do të kenë pasur, Ato do të kenë pasur"
they would be,"Ata do të ishin, Ato do të ishin"
they would have,"Ata do të kishin, Ato do të kishin"
they would have been,"Ata do të kishin qenë, Ato do të kishin qenë"
they would have had,"Ata do të kishin pasur, Ato do të kishin pasur"
tirana,Tiranë
turkey,Turqia
uk,"United Kindom, Great Britan, England"
united nations,Kombet e Bashkuara
very well,Shumë mirë
vienna,Kryeqyteti i Austrisë
we are,Ne jemi
we had,Ne kishim
we had been,Ne kishim qenë
we had had,Ne kishim pasur
we have,Ne kemi
we have been,Ne kemi qenë
we have had,Ne kemi pasur
we shall be,Ne do të jemi
we shall have,Ne do të kemi
we shall have had,Ne do të kemi pasur
we should be,Ne do të ishim
we should have been,Ne do të kishim qenë
we should have had,Ne do të kishim pasur
we were,Ne ishim Ne qemë
we would have,Ne do të kishim
white house,Shtëpia e Bardhë
"yes,  i do",Po
you are,"Ti je, Ju jeni"
you had,"Ti kishe, Ju kishit"
you had been,"Ti kishe qenë, Ju kishit qenë"
you had had,"Ti kishe pasur, Ju kishit pasur"
you have,"Ti ke, Ju keni"
you have been,Ti ke qenë Ju keni qenë
you have had,"Ti ke pasur, Ju keni pasur"
you were,"Ti she, Ju ishit"
you will be,"Ti do të jesh, Ju do të jeni"
you will have,"Ti do të kesh, Ju do të keni"
you will have been,"Ti do të kesh qenë, Ju do të keni qenë"
you will have had,"Ti do të kesh pasur, Ju do të keni pasur"
you would be,"Ti do të ishe, Ju do të ishit"
you would have,"Ti do të kishe, Ju do të kishit"
you would have been,"Ti do të kishe qenë, Ju do të kishit qenë"
you would have had,"Ti do të kishe pasur, Ju do të kishit pasur"
a,I. shkronja e parë e alfabetit anglez; from A to Z = nga fillimi deri në fund; plotësisht; II. nyje e pashquar: a book = një liber
a bit,pak
a little bit,pak
abandon,braktis
abandoned,braktisur
abandoning,duke braktisur
abandons,braktis
abase,degradon
abash,degradon
abate,zvogëlon
abated,"zvogëluar, zvogëlova, zvogëloi"
abatement,zvogëlim
abatements,zvogëlime
abates,zvogëlon
abbe,"prift, njeri i fesë"
abbess,"prift, anëtar i një urdhëri fetar"
abbey,manastiri
abbeys,manastirët
abbot,superior në manastir
abbots,superiorët e manastiit
abbreviate,shkurtoj
abbreviated,"i shkurtuar, i shkurtër"
abbreviation,shkurtim
abbreviations,shkurtime
abc,abs abetare
abc powers,"Argjentina, Brasili dhe Kili (Vendet kryesore të Amerikës Latine)"
abdicate,f. heq dorë(nga froni); heq mandatin; braktis
abdication,e. dorëheqje nga froni; abdikim
abdomen,"e. bark, zgavra e barkut"
abdominal,mb. barku; i barkut
abduct,f. marr me forcë; rrëmbej
abduction,e. rrëmbim; grabitje
abductor,n. rrëmbyes; grabitës
abed,në krevat
abel,abel
abels,abelët
aberration,"shmangje, devijim"
abet,f. nxit; ndihmoj; përkrah (për diçka të keqe)
abetment,e. nxitje; ndihmë
abetter,e. nxitës; bashkëfajtor
abetting,nxitje; ndihmë
abettor,e. nxitës; bashkëfajtor
abeyance,"pezullim, pritje"
abhorred,urreja
abhorrence,urrejtje
abhorring,duke urrejtur
abhors,urrej
abide,i bindem
abide by,qëndroj i patundur; mbaj fjalën
abider,e. zbatues i ligjit; zbatues i rregullave
abides,i bindet
abiding,duke ju bindur
abidingly,"adv. në mënyrë konstante, të përherëshme"
abilities,aftesitë
ability,aftësi
abject,pa shpresë
abjection,e. mizerje; mjerim; degradim; përbuzje
abjectly,në mënyr të pa shpresë
abjects,përbuz
abjuration,e. heqje dorë; tërheqje; mohim
abjure,f. heq dorë; mohoj
abjured,f. heq dorë; mohoj
ablaze,në flakë; në zjarr
able,i aftë
able bodied,mb. i shëndoshë; i fortë; i aftë për punë
abler,më i aftë
ablest,më i afti
ably,me mjeshtëri; me zotësi
abnegate,v. mohoj; heq dorë
abnegation,e. vetëmohim; mohim
abnormal,mb. anormal; i parregulltë
abnormality,anormalitet; parregullsi
abnormally,adv. në mënyrë anormale
aboard,hipur në; mbi;
abode,e. banesë; shtëpi; vend banimi
aboded,banuar
abodements,banimet
abolish,"anulloj, shkatërroj"
abolishable,mb. i anullueshëm; i rivokueshëm
abolishment,e. anullim; heqje; asgjësim
abolition,e. heqje; anullim; asgjësim
abominable,i tmerrshëm
abominably,në mënyrë të tmershme
abomination,paturpësi
abominations,paturpësira
aboriginal,"primitive, e mëparshme"
abort,dështoj
aborted,dështoi
abortion,e. dështim
abortive,dështues
abortives,dështues
aborts,dështon
aboulia,sëmundje mendore
abound,"ka me shumicë, bollëk"
abounding,"ka me shumicë, bollëk"
abounds,"ka me shumicë, bollëk"
about,"rreth, afërsisht, pothuajse"
above,"lart, mbi"
above all,në radhë të parë.
above criticism,jashtë kritike
abracadabra,fjalë magjike; formulë magjike
abrade,f. gërvish; gërryej; prish; lëmoj
abrader,mb. abraziv; gërryerës
abrasion,e. gërvishje; lëmim
abrasive,mb. abraziv; gërryerës; lëmues
abrasively,në mënyrë gërryerëse
abreast,krah për krah
abridge,shkurtoj
abridged,shkurtuar
abridgement,shkurtim
abridgment,shkurtim
abroach,hap rubinetin ose e mbyll
abroad,jashtë shtetit
abrogate,"mohoj, hedh poshtë"
abrogated,"anulluar, braktisur, hequr"
abrupt,"i papritur, i vrazhdë"
abruption,prishje e shpejtë
abruptly,"në mënyrë të papritur, vrazhdë"
absence,mungesë
absent,mungon
absolute,absolute
absolutely,absolutisht
absolution,falje
absolved,fal
absolver,falës
absolves,fal
absorbent,material absorb
abstain,shmang
abstaining,duke shmangur
abstains,shmang
abstemious,kursimtar
abstentions,abstenime
abstinence,shmangje
abstract,abstrakt
abstracted,e thjeshtëzuar
abstractedness,preokupim
abstracting,duke abstraguar
abstraction,abstraksion
abstractions,abstraksione
abstractly,abstrakisht
abstracto,abstrakt
abstracts,abstraksione
abstruse,i paqartë
abstruser,më i paqartë
absurd,absurd
absurdities,absurditete
absurdity,absurditet
absyrtus,absurd
abundance,e. bollëk; pasuri
abundant,i pasur; me bollëk
abundantly,me bollëk
abuse,abuzoj
abused,abuzuar
abuser,abuzues
abuses,abuzon
abusing,duke abuzuar
abusive,shpërdorues
abut,bashkoj
abutment,"kufi, mbeshtetës"
abuts,bashkon
abutting,duke bashkuar
aby,të ndreqësh një gabim
abysm,çarje e madhe
abyss,çarje e madhe
abysses,çarje të mëdha
acad,AutoCAD
academe,akademia
academes,akademitë
academic,akademik
academical,akademik
academics,akademik
academy,akademi
accede,pranoj
accelerate,përshpejtoj
accelerated,përshpejtuar
accelerating,duke përshpejtuar
acceleration,përshpejtim
accent,"aksent, theks"
accents,"aksente, thekse"
accept,f. pranoj; jam dakort
acceptable,i/e pranueshëm
acceptance,pranim
acceptation,aprovim
accepted,pranuar
accepting,duke pranuar
accepts,pranon
access,hyrje; afrim;
accessary,"shtesë, ndihmë"
accessed,hyra; u afrova;
accesses,hyrje; afrim;
accessibility,"hapje, pranim"
accessible,i pranueshëm
accessing,duke hyrë
accession,hyrje; afrim; mbrritje
accessions,arritjet; hyrjet
accidence,teori e probabilitetit
accidens,teori e propabilitetit
accident,aksident
accidental,aksidental
accidentally,aksidentalisht
accidents,aksidente
accite,citoj
accites,citon
acclaim,"vlerësim, duartrokitje"
acclaimed,brohoritur
acclamation,duartrokas
acclamations,duartrokitjet
acclimatization,klimatizimi
accommodate,rregulloj
accommodated,rregulluar
accommodation,rregullim
accommodations,rregullimet
accompanied,"shoqëruar, bashkuar"
accompanies,shoqëron
accompaniment,shoqërim
accompany,shoqërim
accompanying,duke shoqëruar
accomplice,kryej
accomplices,kryen
accomplish,"plotësoj, arrij, përfundoj, ekzekutoj"
accomplished,kryej
accomplishes,kryen
accomplishing,duke kryer
accomplishment,kryerje
accompt,marrëveshje
accord,marrëveshje
accordance,në përputhje me
accordant,i përshtatshëm
accorded,dhashë
according,në përputhje me
accordingly,në përputhje me
accordion,fizarmonikë
accords,marrëveshje
accost,afrim
accosted,afrohem
accosting,duke ju afruar
account,llogari
accountable,i pranueshëm
accountant,llogaritar
accounted,jap llogari
accounting,"llogari, transaksione financiare, duke dhënë llogari"
accounts,jep llogari
accoutred,vesha
accoutrement,pajisje
accoutrements,pajisjet
accredit,njoh
accredited,njoha
accrue,akumuloj
accrued,akumulova
accruing,duke akumuluar
accumulate,akumuloj
accumulated,akumulova
accumulating,"duke mbledhur, duke akumuluar"
accumulation,akumulim
accuracy,saktësi
accurate,i saktë
accurately,me saktësi
accursed,keqbërës djallëzor
accurst,keqbërës djallëzor
accusation,e. akuzë
accusations,"akuza, akuzat"
accusative,akuzues kallzore(rasa)
accusativo,akuzues kallzore(rasa)
accusatory,akuzues
accuse,akuzë
accused,akuzuar
accuser,akuzues
accusers,akuzuesit
accuses,akuzon
accusing,duke akuzuar
accustom,"përshtatem, familjarizohem"
accustomed,"përshtas, familjarizoi"
ace,ekspert; kampion; as
aces,ekspertët; asët
ache,dhimbje
acheron,lumi Acheron
aches,dhimbjet
achieve,arrij
achieved,arritur; arrita
achievement,arritje
achievements,arritjet
achiever,arrites
achieves,arrin
achieving,duke arritur
achilles,Akili
aching,me dhëmbje
acids,acidet
acknowledge,"njohje, dije"
acknowledged,"njoha, dija"
acknowledgement,njohuri; arritje
acknowledgements,njohuritë; arritjet
acknowledges,njeh
acknowledging,duke njohur
acknowledgment,njohuri; arritje
acknown,i/e njohur
aconitum,lloj bime
acorn,frut nga pema e lisit
acquaint,njoh
acquaintance,"njohje, prezantim"
acquaintances,"njohje, prezantim"
acquainted,"njoha, prezantova"
acquaints,"njeh, prezanton"
acquiesce,pranoj
acquire,blej
acquired,"blerë, bleva"
acquires,blen
acquisition,blerje
acquisitions,blerjet
acquit,deklaroj të pafajshëm
acquittance,falje
acquittances,faljet
acquitted,deklaroj të pafajshëm
acre,"njësi matese e sipërfaqes 1 acre = 4,840 sq. yard"
acres,"njësi matese e sipërfaqes 1 acre = 4,840 sq. yard"
across,përmes
act,"1. vepër, akt 2. veproj, luaj"
acted,"veprova, vepruar, veproi,"
acting,duke vepruar
action,veprim
actions,veprime
activate,aktivizoj
activated,aktivizuar
activating,duke aktivizuar
active,aktiv
active steps,masa energjike
actively,aktivisht
activist,"aktivist, anëtar"
activists,aktivistët
activities,activitetet
activity,veprim
actor,aktor
actors,aktorë
acts,veprimet
actual,aktual
actualities,aktualitetet
actuality,aktualiteti
actualization,aktualizimi
actualizations,aktualizimet
actualize,aktualizoj
actualized,"aktualizuar, aktualizova"
actualizing,duke aktualizuar
actually,aktualisht
actuate,aktivizoj
actuated,"aktivizuar, aktivizova"
actuates,aktivizon
actum,ekstrem
acture,veprim
acute,rëndë
acutely,ekstremisht
acuteness,mprehtësi; ekstremitet
ad,"njoftim, reklamë"
adage,"proverb, fjalë e urtë"
adam,emër personi
adamant,"i fortë, i vendosur, mëndjemadh"
adapt,përshtas
adaptation,përshtatje
adapted,adaptuar
add,shtesë
added,"shtoi, shtuar"
adder,nepërkë
adders,nepërkat
addict,person i kushtuar zakoneve të caktuara
addicted,1. i kushtuar 2. perkushtuar
addiction,"devocion, përkushtim"
adding,duke shtuar
addison,mbiemër
addition,shtesë
additional,shtesë
additionally,për më tepër
additions,shtesa
addle,turbulloj
address,adresë
addressed,shënova adresën
addresses,adresat
addressing,duke ju adresuar
adds,shtesat
adduce,ofertë paraprake
adduced,ofruar
adduces,ofron
adequacy,përshtatshmëri
adequate,e përshtatshme
adequately,në mënyrë të përshtatshme
adequateness,përshtatshmëri
adhere,merr pjesë
adherence,pjesëmarrje
adherents,pasuesit
adheres,merr pjesë
adhering,duke marr pjesë
adhesion,pjesëmarrje
adieu,lamtumirë
adieus,lamtumirë
adjacent,pranë
adjective,mbiemër
adjectives,mbiemra
adjoin,takoj; bashkoj
adjoined,takoj; bashkoj
adjoining,duke takuar; duke bashkuar
adjourn,"shtyj, vonoj"
adjourned,"shtyrë, vonuar, lëvizur"
adjudged,gjykoj
adjunct,shtesë ndihmuese
adjure,"komandoj, rregulloj"
adjust,rregulloj; kontrolloj; përshtas; pajtoj; bashkërendit.
adjusted,rregulluar
adjusting,duke rregulluar
adjustment,rregullim
adjustments,rregullimet
administer,"administroj, drejtoj, qeveris; jap administer first aid = jap ndihmën e parë"
administered,administruar
administering,duke administruar
administers,administron
administration,1. administratë; 2. administrim; qeverisje
administrator,administrator
administrators,administratorët
admirable,e admirueshme
admirably,në mënyrë të admirueshme
admiral,admiral
admiration,admirim
admire,admiroj
admired,admiruar
admirer,admirues
admirers,admiruesat
admires,admiron
admiring,duke admiruar
admiringly,me admirim
admissibility,pranueshmëri
admissible,pranueshmëri
admission,pranim
admit,pranoj
admits,pranon
admittance,pranim
admitted,pranuar
admittedly,i pranueshëm
admitting,duke pranuar
admixture,përzierja
admixtures,përzierjet
admonish,paralajmëroj
admonished,"paralajmëruar, paralajmërova"
admonishing,duke paralajmëruar
admonishment,paralajmërim
admonishments,paralajmërime
admonition,paralajmërim
ado,aktivitet
adobe,tullë
adon,rregulloj
adonis,1. i pashëm 2. lloj luleje
adopt,adaptoj
adopted,adaptuar
adopting,duke adaptuar
adoption,adaptim
adopts,adapton
adoration,admirim
adorations,admirime
adore,adhuroj
adored,adhuruar
adorer,adhurues
adores,adhuron
adoring,duke adhuruar
adorn,zbukuroj
adorned,zbukuruar
adorning,duke dekoruar
adornings,zbukurime
adornment,zbukurime
adorns,zbukuroj
adrian,emër personi
adriana,emër personi
adriano,emër personi
adriatic,Adriatik
adrift,i paqëllimtë
adroitly,me aftësi
adulation,shtirje; kompliment i pasinqertë
adult,i/e rritur
adulterate,korruptoj
adulterates,korrupton
adulterers,shkelës së besnikërisë bashkëshortore
adulteress,shkelëse e besnikërisë bashkëshortore
adulteries,shkelje të besnikërisë bashkëshortore
adulterous,pabesi bashkëshortore
adultery,pabesi bashkëshortore
adults,të rriturit
adunata,mbledhje
advance,f. përparoj; gradohem; sulmoj advanced guard = pararojë e. përparim; sukses; hua. in advance = përpara
advanced,përparuar; përparova
advancement,përparim
advancements,përparime
advances,përparon
advancing,duke përparuar
advantage,përfitim; avantazh
advantaged,përfituar
advantageous,fitimprurëse
advantages,avantazhe
advantaging,duke ndihmuar
adventure,aventurë
adventured,aventuruar
adventurer,aventurier
adventures,aventura
adventuring,duke bërë aventura
adventurous,aventuriere
adventurously,në mënyrë aventuriere
adversaries,kundërshtarë
adversary,kundërshtar
adverse,kundërshtare; armiqësore
adversely,në mënyrë kundërshtare
adversities,kundërshtimet; armiqësitë
adversity,kundërshtimet; armiqësitë
advertise,publikoj
advertised,publikuar; publikova
advertisement,"reklamë, lajmërim"
advertisers,"publikuesit, reklamuesit"
advertising,duke bërë reklamë
advice,këshillë
advisable,e dëshirueshme
advise,këshilloj
advised,kshilluar
advisedly,në mënyrë të këshillueshme
advisement,konsideratë
adviser,këshilltar
advisers,këshilltarët
advises,këshillon
advising,duke këshilluar
advisor,"këshilltar, Legal Advisor = Këshilltari Ligjor"
advisors,këshilltarët
advisory,"udhëzues, travel advisory = udhëzues i udhëtimeve"
advocacy,mbrojtje
advocate,e. avokat; mbrojtës; pasues; f. mbroj; mbështes; përkrah
advocated,mbrojtur; mbrojta
advocates,"mbështet, mbron"
advocation,mbrojtje
aerial,ajror
aeroplane,aeroplan; by aeroplane = me aeroplan
aery,fole shqiponje
aesthetic,"estetik, i/e bukur"
aesthetical,"estetik, i/e bukur"
aesthetically,estetikisht
aesthetics,estetika
aether,eter
aetna,Etna (vulkan në Itali)
afar,larg
afear,shpërfytyroj
afeard,frikësohem
afeared,frikësohem
affability,mirësi; xhentilesë
affable,miqësor
affair,çështje; problem; punë.
affaire,intimitet; çështje; problem; punë.
affairs,intimitet; çështje
affect,pasojë; influencë
affectation,intimitet; ndjenjë
affectations,intimitete; ndjenja
affected,influencuar; infektuar
affectedly,artificialisht; në mënyrë jo të sinqertë
affecting,duke influencuar
affection,ndjenjë
affectionate,i/e dashuruar
affectionately,me zëmër; me dashuri; me ndjenja
affectioned,i prekur
affections,ndjenja
affects,"pasoja, influencon"
affiance,i/e fejuar-i(a)
affianced,i/e fejuar-i(a)
affidavit,deklaratë besimi
affiliate,"bashkoj, bashkangjis"
affiliated,"bashkuar, lidhur"
affined,i lidhur me
affinity,afërsi
affirm,pohoj
affirmation,pohim
affirmations,pohime
affirmative,pohuese
affirmatively,në mënyrë pohuese
affirmatives,pohuese
affirmed,pohuar; pohova
affirming,duke pohuar
affirms,pohon
affix,bashkoj; bashkangjis
affixed,bashkuar; bashkangjitur
afflict,dëmtoj
afflicted,dëmtuar
affliction,dëmtim
afflictions,dëmtime
afflicts,dëmton
affluent,i pasur
afford,siguroj; jap
affordable,i arritshëm (financiarisht)
afforded,siguruar; dhënë
affords,siguron; jep
affray,lëviz
affright,frikësoj
affrighted,frikësuar
affrights,frikëson
affront,akuzoj; sulmoj
affronted,sulmuar; sulmova
afield,larg
afire,në flakë
afloat,qëndron në sipërfaqe
afoot,në këmbë; në proçes zhvillimi
afore,përpara
aforehand,pjesëmarrje
aforesaid,e thënë më përpara
afraid,i/e frikësuar
afresh,i/e ri(e); përsëri
african,afrikan
after,"pas, mbas, më vonë"
aftermath,e. rezultat; pasojë; konseguencë
afternoon,mbasdite
afterthought,mendim i dytë
afterward,në fund të fundit
afterwards,në fund të fundit
again,përsëri
against,kundër
agate,gurë i fortë
agazed,sheh me kërshëri
age,moshë
aged,vjetërohem(plakem)
ageing,duke u vjetëruar(plakur)
agencies,agjensitë
agency,agjensi
agenda,rendi i ditës
agendum,"axhenda, rendi i ditës"
agent,agjent
agents,agjentë
ages,"vjetërohet, plaket"
aggravate,keqësoj
aggravated,acaruar
aggregate,e. kombinim f. kombinoj
aggregated,kombinuar; kombinova
aggregates,kombinon
aggregation,kombinim
aggression,agresion
aggressions,agresionet
aggressive,agresiv
aggressor,agresor
aggrieved,keqardhje
aghast,shokuar; alarmuar
agile,shpejt; gati
agility,gjallëri
aging,"plakje, duke u moshuar"
agitated,ekzaltuar
agitation,agjitacion
agitations,agjitacione
agnise,pohoj; pranoj
ago,më parë
agonies,agoni
agonised,në gjëndje agonie
agonizing,"duke agonuar, duke vuajtur"
agony,agoni
agood,shumë
agree,"pëlqej, pajtohem, jam dakord"
agreeable,e pranueshme
agreeably,në mënyrë të pranueshme
agreed,pranuar
agreeing,duke pranuar
agreement,marrëveshje
agreements,marrëveshjet
agrees,është dakord
agricultural,bujqësor
aground,në tokë
ague,ftoh
agues,ftoh
ah,ah
aha,aha; mirë
ahead,përpara
aid,ndihmë
aide,"adjutant, ndihmës"
aided,ndihmuar
aides,ndihmësit
aiding,duke ndihmuar
aidless,pa ndihmë
aids,SIDA
aierie,fole e zogjve grabitqar
ailing,që vuan
ailment,"sëmundje, dhimbje"
ails,shkakton dhimbje
aim,qëllim
aimed,ka qëllim
aiming,duke patur qëllim
aims,ka qëllim
air,ajër
air strike,sulm ajror
airbases,bazat ajrore
airborne,"i/e ajrit, ajror-e"
aircraft,aeroplan
aired,ajrosur
airfield,aeroport
airfields,fushat e aviacionit
airgun,pushkë me ajër
airless,pa ajër
airline,kompani ajrore
airport,aeroport
airspace,hapësirë ajrore
airstrike,sulm ajror
airy,ajror; sipërfaqësor
akimbo,me duar në mes
akin,i lidhur; i ngjashëm
alabaster,lloj guri
alacrity,gadishmëri
alarm,alarm
alarm-clock,orë me zile
alarmed,alarmuar
alarming,duke u alarmuar
alarms,alarmon
alarum,frike; alarm (arkaike)
alas,pasthirmë që shpreh shqetësim
alban,alban
albeit,megjithëse
albion,emër i vjetër romak për Britaninë
albums,albumet; albume
alchemist,alkimist
alchemy,alkimi
alder,lloj peme
alderman,zyrtar; anëtar i trupit legjislativ
aldermen,zyrtarë; anëtarë të trupit legjislativ
ale,birrë e fortë
alehouse,banak për pijet alkolike
alert,gadishmëri; paralajmërim
alerts,paralajmëron
ales,birrë e fortë
alexandrian,banor i Aleksandrisë
algebra,algjebra
algorithm,algoritëm; metodë llogaritjeje
algorithms,algoritëm; metodë llogaritjeje
ali,Ali
alias,pseudonim; shkurtim i emrit
aliases,pseudonimet
alibi,alibi
alien,i huaj
alienate,"konfiskoj, ndaj"
alienated,ndarë
alienating,"duke tjetërsuar, duke konfiskuar"
alight,"zbres(nga autobuzi, kali etj.); demostroj"
alighted,zbriti; demostroi
alignment,drejtoj në një rrjesht
alike,i/e ngjashëm
alimentary,ushqimor
alive,i gjallë
alkalis,substancë bazike
all,të gjithë
allay,qëtësoj
allayed,qetësuar
allaying,duke qetësuar
allayment,qetësim; shërim
allayments,qetësime; shërime
allays,qetson
allegation,akuzë e pabazuar
allegations,akuza të pabazuara
allege,f. shpall; vlerësoj; dyshoj
alleged,supozuar
allegedly,"gjoja, dukshëm, në sipërfaqe"
alleges,argumenton; vlerëson
allegiance,devotshmëri; detyrë
allegiances,"devocion, detyrë"
allegiant,besnik; i devotshëm
alleging,duke argumentuar; duke aluduar
alleviate,lehtësoj
alleviated,zbus; qetësoj
alley,rrugicë; shteg
alleys,rrugica; shtigje
alleyways,rrugicat
alliance,aleancë; pakt; traktat; lidhje
alliances,aleancat
allied,i/e bashkuar
allies,aleatët
alligator,krokodil
