Word,Meaning
أبدى إستعداده,{v.} offer
أبدى بتباه,{v.} sport
أبدى رأيا,"{v.} have a voice in, pronounce, remark"
أبدى للعيان,"{v.} disclose, visualize, display, unbosom, unfurl"
أبدى مشاركة وجدانية,{v.} sympathize
أبدى ملاحظة,"{v.} demonstrate, observe"
أبدى موافقته,"{v.} o.k., O.K., okay, okey"
أبدي,"{adj.} everlasting, eternal, perpetual, endless, timeless, unending, undying, incessant, indestructible"
أبدية,"{n.} eternity, perpetuity"
أبر,{v.} pollinate
أبرئ,"{v.} acquit, clear, exonerate"
أبرئ شخصا ما,{v.} purge
أبرئه,{v.} benefit
أبرز,{adj.} supreme
أبرشي,"{adj.} parochial, diocesan, parishional"
أبرشية,"{n.} diocese, see, parish, eparchy, archdiocese, province, congregation, charge"
أبريل,{n.} April
أبطأ,"{v.} slow down, slacken, ease up, go slow"
أبطأ السرعة,{v.} decelerate
أبطأ العمل,nothing to be done
أبطل,"{v.} cancel, annul, abolish, nullify, extinguish, defeat, void, revoke, rescind, repeal, abrogate, annihilate, avoid, frustrate, override, quash, vacate, undo, rule out, call off, supersede, reverse, counteract, countermand, vitiate, upset, circumvent"
أبطل إحداهما مفعول الأخر,{v.} neutralize
أبطل الضغط,{v.} decompress
أبطل المركزية,{v.} decentralize
أبطل تأثير,{n.} deprogram
أبطل مفعولية,{v.} invalidate
أبعاد,"{n.} distance, interval"
أبعد,"{adj.} farther, ulterior, outmost, ultimate"
أبعد,"{adv.} far, out of the way"
أبعد,"{n.} alien, bounce"
أبعد,"{v.} distance, take away, throw out, deport, drive away, drive out, hold off, stave off, send, exclude, estrange, alienate, preclude, relegate, transport, send packing, supplant, oust, warn off"
أبعد خفية,{v.} spirit away
أبعد عن,{prep.} excluding
أبعد عن التجنيد,{v.} unsolder
أبعد عن الوطن,{v.} banish
أبعد مؤقتا,{v.} rusticate
أبعد ما يكون,{adj.} farthest
أبعد من البلاد,{v.} proscribe
أبعد من الخيال,{adv.} beyond hope
أبعد من المقاييس,{adv.} beyond measure
أبعده,{adv.} out of the way
أبعده عن السباق,{v.} nobble
أبغض,"{v.} hate, detest, loathe"
أبقع,{adj.} piebald
أبقع ملطخ ببقع,{adj.} foxed
أبقع ملطخ ببقع سمراء مصفرة,{adj.} foxy
أبقه طائفا,{v.} buoy
أبقى,"{v.} hold, leave over, brief"
أبقى الأمر سرا,{v.} keep in dark
أبكم,"{adj.} dumb, mute, deaf mute, speechless, voiceless"
أبكم,{v.} deafen
أبلغ,"{v.} notify, report, convey, announce, communicate, denounce"
أبلغ عن,{v.} inform
أبلغ عن كذبا,{v.} inform against
أبله,"{adj.} brainless, fool, stupid, idiotic, imbecile, silly, fatuous, dense, dim witted [sl.], feeble-minded, goofy [sl.], half witted [sl.], wood headed [sl.], asinine [sl.], cuckoo [sl.], gaga, gawky, mad, lemon [sl.], screwed [sl.], sheepish, sodden"
أبله,"{n.} junkie, ass [sl.], pillock, softy [sl.], dullard [sl.], coot [sl.], stick in the mud [sl.], patsy, daw [sl.], sod [sl.]"
أبلى,"{v.} wear, wear down, outwear, frazzle, molder, moulder, scuff"
أبلى أساس كذا,{v.} undermine
أبلى الملابس,{v.} wear
أبلى بالحك,"{v.} chafe, fray"
أبلى بالضرب,{v.} batter
أبلى بلاء حسن,{v.} distinguish
أبلى ثوبا,{v.} shred
أبلى حذاؤه,{v.} scuff
أبلى نفسه,{v.} ask for trouble
أبن,{v.} eulogize
أبن البلد,{n.} native
أبن مقرض حيوان يستخدم لتصيد القوارض,{n.} ferret
أبناء,{n.} people
أبناء الأبرشية,{n.} parish
أبناء الحي,{n.} quarter
أبناء العصور الوسطى,{n.} antiquity
أبناء المهنة الواحدة,{n.} brotherhood
أبناء دم واحد,{n.} blood relation
أبناء معمدين,{n.} godchildren
أبنة الأخ أو الأخت,{n.} niece
أبنة ملك أسباني أو برتغالي,{n.} infanta
أبنوس,{n.} ebony
أبهة,"{n.} pomp, splendor, panoply, pageantry, pride, state, splendour"
أبهة فارغة,"{n.} pageant, pagehood"
أبهى,"{adj.} pompous, portentous"
أبو أبريص,{n.} gecko
أبو الحن,{n.} robin
أبو الحناء طائر,{n.} redbreast
أبو الشص سمك بحري,{n.} angler
أبو الهول,{n.} sphinx
أبو اليسر طائر,{n.} pratincole
أبو خطاف,{n.} kite
أبو ذقن,{n.} mullet
أبو زريق طائر,{n.} jay
أبو سعن طائر,{n.} marabou
أبو سعن طائر من اللقالق,{n.} adjutant
أبو شوكة سمك شائك,{n.} stickleback
أبو طيط طائر مائي,{n.} lapwing
أبو قلنسوة طائر,{n.} blackcap
أبو كريفاوي,{adj.} apocryphal
أبو كعب مرض,{n.} mumps
أبواب,{n.} door
أبواب أوتوماتيكية,{n.} automatic doors
أبواب مغلقة,{n.} in camera
أبوة,"{n.} paternity, parenthood"
أبولو,{n.} Apollo
أبونا,{n.} Our Father
أبوي,"{adj.} paternal, spearing, fatherly, parental"
أبوي,"{n.} pater, paternalist"
أبويا,{adv.} paternally
أبوية,{n.} paternalism
أبى,"{v.} refuse, reject"
أبى المسير,{v.} jib
أبي,{adj.} proud
أبيس العجل المقدس عند الفراعن,{n.} apis
أبيض,"{adj.} white, blank, candid"
أبيض الحنجرة,{n.} white throat
أبيض بدون اراقة دماء,{adj.} bloodless
أبيض فاتح,{n.} off-white
أبيض كالثلج,{adj.} Snow White
أبيقوري,{adj.} epicurean
أبيقوري,"{n.} epicure, epicurean"
أتاح الفرصة,{v.} permit
أتباع,{n.} audience
أتباع البابا,{n.} papistry
أتخم,"{v.} cloy, cram"
أترع,"{v.} brim, choke, swamp"
أترك ذلك,let it go at that
أتطلع إلى رؤيتك مرة ثانية.,I'm looking forward to seeing you again.
أتعاب,{n.} pains
أتعاب أدبية,{n.} royalty
أتقن الصنع,{v.} tool
أتلف,"{v.} blend, harmonize"
أتم,"{v.} accomplish, fulfill, fulfil, realize, achieve, consummate, perfect, round off, cap, compass, negotiate"
أتم مدة خدمة معينة,{v.} serve
أتمانع في التقاط صورة لي,would you mind taking a picture of me
أتمت جعله أوتوماتيكيا,{v.} automate
أتمن,{v.} trust
أتمنه على أسراره,{v.} confide
أتمنى,{v.} entrust
أتمنى أن تتحسن صحتك قريبا.,I hope you'll get better soon.
أتمنى لك أعواما مديدة من السعادة.,I wish you many years of happiness.
أتمنى لك أمسية سعيدة,{interj.} have a nice evening
أتمنى لك رحلة جميلة,{interj.} have a nice trip
أتمنى لك رحلة سعيدة,{interj.} have a nice trip
أتمنى لك عطلة نهاية أسبوع سعيدة,{interj.} have a nice weekend
أتمنى لك نهارا سعيدا,{interj.} have a nice day
أتمنى لك وقتا طيبا,{interj.} have a good time
أتهام مضاد,{n.} expostulation
أتوبيس,{n.} bus
أتوبيس أو قطار يتوقف في جميع المحطات,{n.} local
أتوجد أجرة إضافية,any extra fee
أتوسل إليك أن تقول,I beg to say
أتوسل اليك أن تفعل ذلك,I beg of you to do that
أتوقراطي,{adj.} autocratic
أتون,{n.} kiln
أتون صهر المعادن,{adj.} blast furnace
أتى,"{v.} came, come, derive"
أتى ب,{v.} fetch
أتى على,{v.} demolish
أتى معا,{v.} come away
أتى من,{v.} hail from
أتير عالج بالإتير,{v.} etherize
أثاب,{v.} remunerate
أثاث,{n.} furniture
أثار,"{n.} chafe, bias"
أثار,"{v.} aggravate, excite, arouse, exacerbate, engage, irritate, move, stimulate, rouse, kindle, awaken, work, evoke, ferment, flurry, impassion, infuriate, bestir oneself, inspire, instigate, switch on, turn on, urge, foment, fret, fuss, heat, inflame"
أثار أعصابه,"{v.} grate on the nerves, unnerve"
أثار أعمال الشغب,{v.} riot
أثار إشمئزاز,{v.} turn one's stomach
أثار إعتراضات تافهة,{v.} cavil
أثار إعجاب السامعين,{v.} wow
أثار إنتباه,{v.} interest
أثار الأعصاب,{v.} rattle
أثار الاستياء,"{v.} displease, dissatisfy"
أثار الاشمئزاز,{v.} disgust
أثار التقوى,{n.} awe-inspiring
أثار الحقد,{v.} pique
أثار الحماس,{v.} carry away
أثار الحمية,{v.} whoop it up
أثار الخلاف,{v.} foment
أثار الرأي العام,{v.} agitate
أثار الشجار,raise cain
أثار الشفقة,"{v.} stir, touch"
أثار الشهية,make one's mouth water
أثار الضحك,{v.} raise a laugh
أثار القرف,"{v.} cause disgust, disgust"
أثار القشعريرة,"{v.} give the chills, give the willies"
أثار الكراهيه في,{v.} arouse hate
أثار المشاعر,"{v.} shake, shake up, work up"
أثار بقوة,{v.} electrify
أثار جدلا,{v.} prime
أثار سخطه,{v.} dissatisfy
أثار ضجة,raise cain
أثار عاصفة,{v.} tempest
أثار عتيقة,{n.} antiquities
أثار فضيحة,make the fur fly
أثار قضية,{v.} raise
أثار هرجا ومرجا,{v.} make a fuss
أثث,{v.} furnish
أثر,"{n.} effect, odor, impress, touch, trace, trail, mark, vestige, work, tag, trait, streak, echo, repercussion, lead, hint, odour, scent, soupcon, tinge, tint"
أثر,"{v.} count, impress, influence, operate, prefer, sink, give rise to"
أثر أدبي,"{n.} hackwork, work"
أثر أدبي أو موسيقي ساخر,{n.} parody
أثر أقدام,{n.} track
أثر البثرة أو الجدري,{v.} pockmark
أثر الجرح,"{n.} scar, cicatrix, seam"
أثر الحيوان,{n.} spoor
أثر الدفع,{n.} impulse
أثر الدولاب في الأرض اللينة,{n.} rut
أثر السفينة في الماء,{n.} wake
أثر الصقيع,{n.} frostbite
أثر القدم,"{n.} footstep, footprint, footmark"
أثر باق,{n.} monument
أثر تأثيرا بليغا,{v.} turn up trumps
أثر سير السفينة,"{n.} track, slip"
أثر ضئيل,"{n.} tincture, twang, sparkle, whisper"
أثر ضربة بالعصا,{n.} stripe
أثر على,"{v.} impinge, sway, swing"
أثر فني أو أدبي,{n.} study
أثر فني تجريدي,{n.} abstract
أثر فني يشبه الملحمة,{n.} epic
أثر في,"{v.} affect, impact, influence, inspire, involve, manipulate, overawe, prepossess, react, touch"
أثر في الحواس أو المشاعر,{v.} penetrate
أثر قديم,"{n.} antique, relic"
أثر مقدس,{n.} relic
أثر منقح,{n.} recension
أثري,"{adj.} archeological, vestigial, antiquarian, archaeological"
أثري غير متطور,{adj.} rudimentary
أثرياء أو شركات عظيمة الثراء,{n.} moneybags
أثقل,"{v.} weigh down, burden, overburden, charge, surcharge, encumber, cumber, clog, lie, soak"
أثقل مما ينبغي,{adj.} overweight
أثم,"{adj.} sinful, sinful person"
أثم,"{v.} sin, err, transgress, trespass"
أثمر,"{v.} fructify, fruit, yield"
أثناء,"{prep.} during, pending"
أثناء الفعالية,{adv.} in action
أثناء الليلة الفائتة,{adv.} overnight
أثناء عمله,{prep.} in pursuance of
أثنتا عشرة,{n.} twelve
أثنولوجي,{adj.} ethnographic
أثواب تحتانية,{n.} undergarments
أثير,"{adj.} favourite, beloved, darling, fond, favorite"
أثيري,"{adj.} aerial, ethereal"
أثيم,{adj.} flagrant
أثيوبيا,{n.} Ethiopia
أجاب,"{v.} answer, respond, reply, return, rejoin"
أجاب بقلة إحترام,{v.} talk back
أجاب متمتما,{v.} stammer
أجاز,"{v.} allow, permit, sanction, legalise, legalize, indorse, legitimate, legitimize, licence, warrant, clear, endorse, vouchsafe, accredit, license, patent, steamroller"
أجبر أو يثبت بجبيرة,{v.} splint
أجبر العظم,{v.} set
أجبر الكسر,{v.} reset
أجبر على الطاعة,{v.} coerce
أجبر على عمل شىء,{v.} be obliged to do
أجبره على العمل,{v.} force his hand
أجج,"{v.} kindle, inflame, rekindle, revive"
أجحف,{v.} prejudice
أجد أنها غالية بعض الشيء.,I find it a little expensive.
أجداد,"{n.} grandparents, predecessors, antecedents"
أجدر,{adj.} superior
أجدر بالتفضيل,{adj.} preferable
أجر,"{n.} hire, charter"
أجر,"{v.} let, lodge, rent, room, farm out"
أجر الصيانة,{n.} upkeep
أجر بأقل من القيمة,{v.} underlet
أجر حقير,{adj.} beggarly wage
أجر من الباطن,"{v.} sublease, sublet"
أجر منزلا,{v.} lease
أجراف شاهقة شديدة التحدر,{n.} palisade
أجرب,"{adj.} mangy, scabby"
أجرة,"{n.} fare, rent, pay, wage, wages"
أجرة,{interj.} taxi
أجرة إضافية,{n.} overpayment
أجرة البريد,{n.} postage
أجرة الحمال,{n.} porterage
أجرة الحمل,{n.} carriage
أجرة الشحن,{n.} freightage
أجرة النقل,"{n.} transportation, portage"
أجرة عبور النهر,{n.} ferriage
أجرد,"{adj.} bald, bleak, empty"
أجزاء,"{n.} parts, accessories"
أجزاء حديدية,{n.} ironwork
أجزاء سرية,{n.} secret parts
أجزاء متحركة في آلة,{n.} movement
أجزاء مصنوعة من الخشب,{n.} woodwork
أجش,"{adj.} hoarse, husky, harsh, raucous, gruff, gravelly, cracked, rusty, throaty, rough, coarse"
أجش,{v.} coarsen
أجش الصوت,{adj.} hoarse
أجشى بالقوة,{v.} belch out
أجعد,{adj.} fuzzy
أجل,"{adv.} yes, rather"
أجل,{interj.} yep
أجل,"{v.} delay, hold over, prorogue, put off, glorify, honor, shelve, dignify, postpone, remit, procrastinate, esteem, value, carry over, regard, look up to, put back, refer back, honour, stall, table, suspend, set aside, adjourn, defer, continue"
أجل أو مدة,{n.} term
أجل بالمواربة,{v.} stall
أجل عن,{v.} beggar
أجل عن الوصف,{adj.} unutterable
أجل نستطيع تصليحها.,Yes%ÃÌá äÓÊØíÚ ÊÕáíÍåÇ. (we can fix it.)
أجلسه,{v.} install
أجمة,"{n.} thicket, brush, brushwood, bush, clump, brake"
أجمة سرخس,{n.} bracken
أجمة صغيرة,{n.} tuft
أجمل التمنيات.,Best wishes.
أجنبي,"{adj.} foreign, strange, outlandish, oversea"
أجنبي,"{n.} alien, foreigner, barbarian, stranger"
أجنحة,{n.} wings
أجنحة الدجاج,{n.} chicken wings
أجهزة,"{n.} rig, stock"
أجهزة عسكرية,{n.} materials
أجهض,{adj.} aborted
أجور,{n.} wages
أجوف,"{adj.} hollow, blank"
أجيال المستقبل,{n.} posterity
أجير,"{n.} employee, footman, wage-earner, worker"
أجير بمزرعة,{n.} farmhand
أحادي,"{adj.} monocular, monosyllabic, single, elementary"
أحادي,{pref.} uni
أحادي الجنس,{adj.} unisexual
أحادي الخلية,{adj.} unicellular
أحادي القاعدة,{adj.} monobasic
أحادية الزوجة,{n.} monogyny
أحادية السطح,{n.} monoplane
أحاديث ماجنة,{n.} foulness
أحاسيس,{n.} susceptibility
أحاط,"{v.} beset, bound, edge, ring, border on, rim, begird, hill, sphere, circuit, encircle, frame, girdle"
أحاط بالشىء,{v.} flank
أحاطه بأسوار,{v.} immure
أحاطه بهالة,{v.} consecrate
أحال,{v.} refer
أحب أن أرى سجادة يدوية الصنع.,I would like to see a hand woven rug.
أحب أن أفعل ذلك,I would like to do smth.
أحب الحصول على باقة من الورد الأحمر.,I would like a bouquet of red roses.
أحب الحصول على تذكار من البلدة.,I would like to have a souvenir of the town.
أحب الحصول على زجاجة نبيذ.,I would like a bottle of wine.
أحب الحصول على علبة شكولاته.,I would like a box of chocolates.
أحب السباحة.,I like swimming.
أحب ذلك.,I'd love to.
أحبط,{n.} check
أحبط,"{v.} check, frustrate, foil, defeat, balk, discomfit, forestall, block, nullify, ruin, scuttle, scotch, disconcert, disappoint, damp, anticipate, torpedo"
أحبولة,"{n.} snare, noose"
أحبولي مربك,{adj.} captious
أحتاج إلى الاتصال بأصدقائي.,I need to call my friends.
أحتاج إلى الاتصال بأقاربي.,I need to call my relatives.
أحتاج إلى الاتصال بالسفارة.,I need to call the embassy.
أحتاج إلى الاتصال بمحامي.,I need to call my lawyer.
أحتاج إلى بطارية جديدة.,I need a new battery.
أحتاج إلى بطاقة الذاكرة الرقمية المؤمنة لهذه الكاميرا.,I need a SD card for this camera.
أحتاج إلى بطاقة الذاكرة المدمجة لهذه الكاميرا.,I need a flash card for this camera.
أحتاج إلى بطاقة الوسائط المتعددة لهذه الكاميرا.,I need an MMC card for this camera.
أحتاج إلى بطاقة الوسيط الذكي لهذه الكاميرا.,I need a smart media card for this camera.
أحتاج إلى بنزين.,I need gas.
أحتاج إلى ديزل.,I need diesel.
أحتاج إلى سير مروحة جديد.,I need a new fan belt.
أحتاج إلى شمعات إشعال جديدة.,I need new spark plugs.
أحتاج إلى طابع.,I need a stamp.
أحتاج إلى عادي.,I need regular.
أحتاج إلى قسيمة إيداع.,I need a deposit slip.
أحتاج إلى قسيمة سحب.,I need a withdrawal slip.
أحتاج إلى قلم.,I need a pen.
أحتاج إلى مترجم فوري.,I need an interpreter.
أحتاج إلى محام يتحدث الإنجليزية.,I need an English speaking lawyer.
أحتاج إلى مظروف.,I need an envelope.
أحتاج إلى ممتاز.,I need super.
أحتاج إلى ورق للكتابة.,I need a piece of writing paper.
أحتاج إلى وقود خال من الرصاص.,I need unleaded.
أحتاج إليها عند الساعة السابعة.,I need it by 7 o'clock.
أحتاج استشارة طبية.,I need a medical consultation.
أحتاج لتنظيف هذه بالبخار.,I need this to be dry cleaned.
أحتاج لرؤية طبيب أسنان.,I need to see a dentist.
أحتاج لعمل أشعة سينية.,I need to have some X rays taken.
أحتاج لغسل هذه.,I need this to be washed.
أحتاج لكي هذه.,I need this to be ironed.
أحتاجها الليلة.,I need them tonight.
أحتاجها بعد غد.,I need them the day after tomorrow.
أحتاجها غدا.,I need them tomorrow.
أحجار نصف كريمة,{n.} semiprecious stones
أحجية,"{n.} riddle, puzzle, puzzlement, enigma, mystery, mystique"
أحجية الصورة المقطوعة,{n.} jigsaw puzzle
أحد آلهة جبل أولمبوس,{n.} Olympian
أحد أبناء الأبرشية,{n.} parishioner
أحد أبناء البلاد الأصليين,{n.} autochthon
أحد أبناء البنغال,{n.} Bengali
أحد أبناء الولايات المتحدة الأمريكية,{n.} yank
أحد أبناء بريطانيا,{n.} britisher
أحد أبناء بلجيكا,{n.} Belgian
أحد أبناء نيو إنجلند بالولايات المتحدة الأمريكية,{n.} yank
أحد أتباع مذهب الكالفين,{n.} calvinist
أحد أمراء الجرمان,{n.} elector
أحد إتجاهات البوصلة,{n.} rhumb
أحد الآلام الأحد الخامس من الصوم الكبير,{n.} passion sunday
أحد الأ ئمة الإ ثنى عشر,{n.} imam
أحد الأرقام العربية,{n.} cipher
أحد الإقطاعيين,{n.} feudalist
أحد الرؤوس نفسها,{n.} brussels sprout
أحد السيرين,{n.} trace
أحد السيرين لعربة الخيل,{n.} trace horse
أحد السيرين يشد بهما الحيوان,{n.} tug
أحد المقاعد الخشبية الطويلة,{n.} pew
أحد المندفعين نحو كاليفورنيا طلبا للذهب,{n.} forty niner
أحد توائم ثلاثة,{n.} triplet
أحد حكام الجمهورية الفرنسية,{n.} consul
أحد ذراعي النظارة,{n.} bow
أحد رجال الحاشية الملكية,{n.} courtier
أحد رجال القبيلة,{n.} tribesman
أحد رهبان دير ممنوع من الكلام,{n.} Trappist
أحد طرفي الهلال,{n.} horn
أحد طرفي نقيض,{n.} pole
أحد عشر,{n.} eleven
أحد غلافي الكتاب,{n.} lid
أحد فصي ذنب الحوت,{n.} fluke
أحد قرني الهلال,{n.} cusp
أحد لاعبين للدفاع,{n.} guard
أحد مؤلفى الأناجيل الأربعة,{n.} evangelist
أحداث,"{n.} events, proceedings, news, calamities"
أحداث مثيرة,{n.} melodrama
أحداثي,{adj.} juvenile
أحدب,"{adj.} gibbose, humpbacked, stooping, hunchbacked"
أحدب الظهر,{adj.} gibbose
أحدث,"{v.} crop, create, effect, generate, induce, inspire, make, proceed, progress, provoke, send forth, supervene, bring forth, give rise to, engender, hatch, brew, bring, mother, enact, breed, wreck"
أحدث سنا,{adj.} junior
