Word,Meaning
abject,"{adj} بائس حقير, حقير, متذلل, خسيس"
abjection,{n} دناءة
abjectness,"{n} الذل, خسة"
abjure,{v} تنكر
ablactation,"{n} الفصل عن الإرضاع, فطام"
ablation,{n} إستئصال بالجراحة
ablaze,"{adj} مشتعل, ملتهب, متقد"
able,"{adj} قادر, مؤهل, بارع"
able bodied,"{adj} قوي البنية, متين, قوي"
able person,{n} القادر
abloom,{adj} متفتح
abluent,{n} مطهر
ablution,{n} وضوء
ablutions,{n} الوضوء
ably,{adv} ببراعة
abnegate,{v} تخلى تنازل
abnegation,"{n} نكران تنازل, تنسك"
abnormal,{adj} شاذ مختل العقل
abnormality,{n} شذوذ
aboard,{adv} على متن سفينة
abode,{n} مسكن
abolish,"{v} ألغى بطل, أبطل, ألغى"
abolishment,{n} إلغاء
abolition,"{n} إلغاء, إبطال"
abolitionism,{n} الإلغائية الإبطالية
abominable,"{adj} كريه, بغيض, ملعون, لعين, مقيت, فظيع, شائن"
abominate,"{v} مقت, كره"
abomination,"{n} مقت شديد, عمل بغيض"
aboriginal,{n} متأصل
aboriginal,"{adj} بدائي, متعلق بسكان البلاد الاصليين"
aborigine,{n} متأصل
aborned,{adj} منمق
abort,"{v} تجهض المرأة, جهض, توقف عن النمو, وضع حدا له قبل الأوان, خفق في, ألغى"
aborted,{adj} أجهض
aborted fetus,جنين مجهض
abortion,"{n} إجهاض إسقاط, جهيض"
abortionist,{n} المجهض
abortive,{adj} ناقص النمو مخفق
abortively,{adv} بفشل
abound,"{v} زخر, عزز"
about,"{adv} حوالي, تقريبا, على مقربة, نحو, بحوالي"
about,"{prep} حول, في المتناول, على وشك أن, عن, بشأن"
about face,تغيير كامل و مفاجئ
about to,{prep} على وشك
about turn,بالدور
above,"{adv} فوق, آنفا, أعلى"
above,{prep} اسمى من
above all,بادئ الأمر
above ground,على قيد الحياة
above mentioned,{adj} مذكور آنفا
aboveboard,"{adv} جهارا, علانية, من غير مواربة"
abracadabra,{n} تعويذة
abrade,"{v} كشط, حك, برى"
abranchial,{adj} لا خيشومي
abranchiate,{adj} لا خيشومي
abrasion,"{n} كشط, تآكل, حك, خدش, منطقة من الجلد بها سحج, منطقة من الغشاء المخاطى بها سحج, السحجة, سحج"
abrasive,"{n} كاشط, مادة كاشطة"
abrasive,"{adj} حاك, كاشط, وقح"
abreaction,{n} إزالة العقد بطريقة التحليل النفس
abreast,"{adv} جنبا إلى جنب, من جانب واحد"
abridge,"{v} اختصر, حرم, قصر, لخص"
abridged,"{adj} مختصر, موجز"
abridgement,"{n} اختصار, ملخص, موجز"
abroad,"{adv} خارج البلاد, في الخارج, خارج حدود بلد ما, فوق مساحة واسعة, في كل ألإتجاهات"
abrogate,"{v} أبطل, ألغى قانون, فسخ"
abrogation,"{n} غير متوقع, إلغاء, إبطال, إنقطاع مفاجئ"
abrupt,"{adj} مفاجئ, فظ, حاد, غير مترابط, شديد الأنحدار"
abruption,"{n} انقطاع, توقف مفاجئ"
abruptness,"{n} فجاءة, مباغتة, عدم ترابط, شدة تحدر"
abscess,"{n} خراج, خراجة"
abscessed,{adj} مصاب بخراج
abscissa,{n} الإحداثي السيني
abscission,"{n} إنقطاع مفاجئ, إنفصال الأزهار"
abscond,"{v} فر, هرب, استخفى, فر سرا"
absconder,{n} هارب
absence,"{n} غياب, فقدان, انعدام, شرود, ذهول"
absent,{v} تغيب عن
absent,"{adj} غائب, مفقود, ذاهل, لا وجود له, متخلف"
absent minded,شارد الذهن
absent minded person,{n} المذهول
absent mindedness,"الذهول, شرود الذهن"
absent oneself,"{v} تغيب, غاب"
absentee,"{n} الغائب, متغيب, مالك"
absenteeism,"{n} التسمم الأفسنتيني, حالة مرضية ناشئة عن الأفراط في الأفسنتين"
absinth,{n} الأفسنتين
absinthe,"{n} الأفسنتين شراب مسكر, عشبة معمرة تستعمل في الطب للهضم و الإدرار"
absolute,{n} مستبد
absolute,"{adj} مطلق, استبدادي, كامل, غير نسبي, ثابت (لا ريب فيه), أساسي, غير مقيد بدستور, صرف, مطبق, مجرد, حاسم, صمم"
absolutely,"{adv} بكل ما في الكلمة من معنى, كليا, إطلاقا, قطعا, على نحو جازم, مئة بالمئة, من غير ريب"
absoluteness,{n} الحقيقة المطلقة
absolution,"{n} غفران, تبرئة, حل من واجب"
absolutism,"{n} حكم دكتاتوري مطلق, نظرية سياسية"
absolutist,"{n} الطاغية أو الطاغي, المؤيد للإستبداد, المؤيد للحكم المطلق"
absolve,"{v} غفر, عفا"
absorb,"{v} امتص, استوعب, تشرب, استغرق"
absorbed in,مستغرق>
absorbent,"{adj} ممتص, ماص"
absorbent,{n} شىء ممتص
absorber,{n} منهمك
absorbing,"{adj} ممتع جدا, مستغرق للإنتباه, مستحوذ عليه"
absorption,"{n} امتصاص, استيعاب, تشريب, استغراق, انهماك, مص"
absorptive,"{adj} ممتص, ماص"
absorptivity,{n} الممتصية كون الشئ ممتص
abstain,"{v} امتنع, زهد"
abstain from,"كف عن, امتنع"
abstainer,"{n} ممتنع, ممسك, الممسك عن المسكرات خاصة"
abstemious,"{adj} غير مسرف في الأكل والشرب, معتدل"
abstention,"{n} إمساك, إمتناع عن, تقشف, امتناع"
abstention from voting,إمتناع عن التصويت
abstergent,{n} مطهر
abstinence,"{n} عدم الاسراف في الطعام والشراب, تقشف"
abstinent,{adj} تقشف
abstract,"{n} خلاصة, فكرة تجريدية, أثر فني تجريدي"
abstract,"{v} أزال, لخص"
abstract,"{adj} تجريدي, ملخص, مجرد, عويص, نظري, غير تطبيقي"
abstracted,{adj} ذاهل شارد الذهن
abstractedness,{n} ذهول
abstraction,"{n} إزالة, فكرة غامضة, فكرة تجريدية, تعبير تجريدي, لوحة فنية تجريدية"
abstruse,"{adj} غامض, مبهم, عويص, عميق"
absurd,"{adj} غريب, لا معقول, سخيف, مناف للعقل"
absurdity,"{n} سخافة, لا معقول, شىء سخيف"
absurdly,{adv} على نحو سخيف
abulia,{n} فقدان الإرادة
abundance,"{n} وفرة, غزارة, فيض, عدد وافر, كثرة, جزالة"
abundant,"{adj} وافر, غزير, كثير"
abundantly,{adv} بسعة
abuse,"{n} شر, إساءة إستعمال, شتيمة, مسبة, سباب, إيذاء جسدي, تعسف, مساوئ, مفاسد, تعسفات"
abuse,{v} ظلم
abusive,"{adj} متعسف, بذيء, مؤذ جسديا, فاسد"
abut,"{v} تاخم, إرتكز على, ناكب, جعله متاخما, جعله مرتكزا على"
abutment,"{n} متاخم, ملتقى شيئين, دعامة"
abysmal,"{adj} سحيق, لا قعر له"
abyss,"{n} هاوية, جهنم, اللاتكون في ما قبل الخليقة, معظم الماء"
abyssal,"{adj} أعماقى متعلق بأعماق المحيط, لا يسبر غوره"
acacia,"{n} أقاقيا نبات, سنط صمغ الشجر, صمغ عربى"
academic,"{adj} نظري, جامعي, أكاديمي, غير عملي, مصطلحي, تقليدي"
academic year,سنة دراسية
academical uniform,{n} اللباس الجامعى
academy,"{n} أكادمية أفلاطون, الأكاديمية, جامعة, معهد للتدريس, مجمع, معهد"
acanthus,"{n} شوك, بادئة"
acarpous,{adj} شائك
accede,"{v} وافق, قبل, انضم, تبوأ منصبا, إنضم إلى حزب"
accede to the throne,جلس على كرسي العرش
accelerant,{adj} متعجل
accelerate,"{v} سرع, عجل, عاجل, تسارع"
accelerated,"{adj} مستعجل, معجل, مسرع"
acceleration,"{n} تسارع, تعجيل, تسريع, عجلة"
accelerator,"{n} دواسة الوقود, المعاجل, مسرع, عصب عضلة, مادة تزيد في سرعة التعادل, تسرع في أداء عمل ما"
accent,"{n} لهجة, نبرة, العلامة النطقية, توكيد"
accent,{v} نبر
accentual,{adj} يؤكد
accentuate,"{v} برز, شكل, وضح, وضع, أكد"
accentuation,{n} التأكيد
accept,"{v} سلم, وافق, فهم, أقر, رضى, صدق, لبي, قبل"
accept smb.'s authority,{v} امتثال
accept smb.'s duty,{v} أطاع التعليمات
acceptability,{n} المقبولية
acceptable,"{adj} مقبول, متعارف, موافق, ملائم"
acceptance,"{n} قبول, استحسان, مقبول, تسليم"
accepted,"{adj} مقبول, مسلم بصحته, مقبول عليه, مسلم به"
accepting,{adj} قابل
acceptor,{n} القابل
access,"{n} مدخل, وصول, طريقة الوصول الى, حرية الوصول الى, الاذن بالدخول إلى, دنو, اهتياج, اقتراب, نوبة مرض, منفذ"
access denied,غير مسموح بالدخول
accessary,{n} مساعد ثانوي
accessibility,"{n} إمكانية الوصول, الموصلية, سهولة المنال"
accessible,"{adj} ممكن الوصول إليه, سهل الحصول عليه, سهل المنال, قابل, منفتح"
accession,"{n} إرتقاء العرش, تسلم منصب, نماء, تعاظم, إضافة, اقتراب, موافقة"
accessorial,{adj} إضافي ثانوي
accessories,"{n} لوازم, أجزاء, إكسسوارات"
accessory,"{n} أدوات زينة, شىء ثانوي, شىء كمالي, ملحق"
accessory,{adj} مساعد
accessory after the fact,"البحث عن الحقيقة, من يخفى مجرما وهو يعلم أنه مجرم="
accidence,{n} حادث مفاجئ
accident,"{n} حادث, حادثة, نكبة, صدفة, مصادفة, عرض صفة غير جوهرية"
accidental,"{adj} مصادفة, غير مقصود, عرضي, غير جوهري, اتفاقي"
accidental,"{n} عرض صفة غير جوهرية, علامة التحويل الموسيقي"
accidentally,"{adv} بالصدفة, من غير قصد, بالاتفاق, صدع"
acclaim,{n} صفراوي
acclaim,"{v} هتف, هتاف, هلل, نادى به"
acclamation,"{n} التصويت, هتاف, تهليل, ابتهاج"
acclimate,"{v} تأقلم, تبلد"
acclimation,"{n} تأقلم, أقلمة"
acclimatization,{n} أقلمة
acclimatize,{v} أقلم
acclimatized,{adj} متأقلم
acclivity,{n} حدب
acclivous,{adj} متصعد
accolade,"{n} وسام شرف, منح رتبة فارس, معانقة, احتضان"
accommodate,"{v} كيف, لاءم, وفق بين, سوى, اتسع, أوى, جهز, أدى خدمة, زود, استضاف, أقرض"
accommodation,"{n} تجهيز, توفيق, مكان المبيت, تكييف, وسائل الراحة و التسلية, كل ما يؤمن الراحة, من يقف في جميع المحطات تقريبا, تسوية الخلافات, كمبيالة إسعاف, كمبيالة صورية, تكيف العين"
accommodation ladder,السلم المدلاة
accompaniment,"{n} مرافقة, مصاحبة, شىء ملازم, مسايرة, الدور المصاحب دور ثانوي فيالعزف و الغناء, المتمم شئ ثانوي يضاف بغية التكميل"
accompanist,"{n} عازف مرافق, المغني المصاحب"
accompany,"{v} رافق, صاح, لازم, أدى دورا مصاحبا في الغناء"
accompanying,{adj} مصاحب
accompanying,"{n} صديقة مرافقة, الصديق المرافق"
accomplice,"{n} مساعد, شريك في جريمة"
accomplish,"{v} نجز, أتم, كمل, اجتاز, بلغ, قضى"
accomplished,"{adj} بارع, ضلل, منجز, متمم"
accomplishment,"{n} إكمال, بلوغ, إتمام, إنجاز, منجز"
accord,"{n} اتفاق, انسجام, ائتلاف, رفاء, طوعا من غير إكراه, مطابقة, وفاق"
accord,"{v} وافق, لاءم بين, منح"
accordance,"{n} انسجام, مطابقة"
accordant,"{adj} ملائم, منسجم مع"
according to,"وفق, وفقا لكذا, بحسب"
accordingly,"{adv} حسب ما, وفقا لذلك, وعلي ذلك, ومن ثم, و إذن"
accordion,"{n} أكورديون, للطى مثل الاكورديون"
accost,"{v} بادر بالكلام, خاطب, دنا منه"
accouchement,{n} ولادة
accoucheur,{n} طبيب مولد
accoucheuse,{n} مولدة قابلة
account,"{n} حساب في المصرف, قيمة, أهمية, محاسبة, ربح, تقرير, بيان بالأسباب, سبب, تفسير لسلوك المرء, اعتبار, قصة, حساب, رصيد"
account,"{v} قدم بياناعن, علل, اعتبر, تسبب في مقتل شخص"
account book,دفتر الحسابات
account for,"{v} قطعا, فسر"
accountability,{n} مسئولية
accountable,"{adj} مسؤول, عرضة للمحاسبة, ممكن تفسيره أو تعليله"
accountancy,"{n} علم المحاسبة, المحاسبة"
accountant,"{n} المسؤول, محاسب, المعرض للمحاسبة"
accredit,"{v} فوض, أجاز"
accrete,"{v} نما ملتحما مع غيره, لحم"
accretion,"{n} نمو, ازدياد, تعاظم, إضافة خارجية, التنمي الإلتحامي"
accrue,{v} أصبح حقا
accumulate,"{v} كوم, تكدس, جمع, ركم, تراكم, كدس"
accumulated,"{adj} مكدس, متراكم"
accumulation,"{n} تراكم, تكديس, تجميع, شىء متراكم, تراكمي"
accumulative,{adj} تراكمي
accumulator,{n} المركم بطارية مختزنة
accuracy,"{n} دقة, صبغ, ضبط"
accurate,"{adj} دقيق, مضبوط, صحيح, متقن"
accurately,"{adv} بدقة, على نحو صحيح, على نحو مضبوط"
accursed,"{adj} ملعون, لعين, بغيض, كريه"
accusation,"{n} اتهام, تهمة, تهمة موجهة"
accusative,{n} حالة النصب
accusative,{adj} حالة المفعول به
accusatory,{adj} اتهامي
accuse,"{v} اتهم, وجه تهمة"
accuse falsely,"اتهام كاذب, إتهمه ظلما"
accuse of,{v} قذف
accused,"{adj} متهم, المدعى عليه"
accused,{n} المتهم
accustom,"{v} ألف, عود"
accustomed,"{adj} معتاد, متعود, مألوف"
ace,"{n} واحد فى زهر النرد أو ورق اللعب أو حجر الدومينو, طيار يسقط خمس طائرات عدوة على الأقل, ذرة كمية قليلة جدا"
acephalous,"{adj} بلا زعيم, عديم الرأس"
acerb,{adj} لاذع
acerbity,{n} فظاظة
acetate,{n} خلات
acetic,{adj} خلى
acetification,{n} تخليل
acetify,{v} خلل
acetylene,{n} الأستيلين غاز عديم اللون
ache,"{v} ألم, وجع, اكتأب, ابتأس, تاق"
ache,"{n} ألم, وجع, ألم متواصل خفيف, الم"
achievable,{adj} ممكن إنجازه
achieve,"{v} نجح, حقق, نجز, أحرز, بلغ هدفا, أتم, اكتسب, فاز"
achieve renown,{v} جعله شهيرا
achieved,{adj} منجز
achievement,"{n} إنجاز, مأثرة, منجز عظيم"
achilles' heel,موقع غير منيع
aching,"{adj} موجع, مؤلم"
achromatic,"{adj} أكروماتي كاسر للضوء من غير أن يحلله, متعامى عن, مصاب بعمى الألوان"
achromatism,{n} الأكروماتية اللالونية
acid,"{adj} حامض, لاذع, حاد, قارص"
acid proof,غير قابل للحمض
acidic,{adj} محمض
acidification,"{n} تحميض, تحمض"
acidify,"{v} حول الى حامض, حمض, تحمض"
acidity,{n} حموضة
acidize,{v} حمضي
acidulate,"{v} استحمض, حمض قليلا"
acidulated,{adj} حمض
acidulent,{adj} حامض
acidulous,"{adj} حامض قليلا, حامض"
aciniform,{adj} إبري الشكل
acknowledge,"{v} اعترف, عبر عن شكره ل, سلم يصحة شيئ"
acknowledgement,"{n} اعتراف, شكر, إشعار بإستلام, تسليم (بصحة الشىء)"
aclinic,{adj} اللاانحراف
acme,"{n} ذروة, قمة, أوج"
acne,"{n} حب الشباب, عد, بثرة"
acolyte,"{n} قندلفت, مساعد للكاهن"
aconite,"{n} البيش, الأقونيطن نبات سام"
acorn,"{n} شجرة البلوط, جوزة البلوط"
acoustic,"{adj} صوتي, سمعي"
acquaint,"{v} طلع, خبر, عرف"
acquaintance,"{n} معرفة, معرفة شخصية, معلومات, اطلاع"
acquainted,"{adj} ملم بكذا, مطلع"
acquainted with,{adj} مطلع على
acquiesce,"{v} رضخ, أذعن"
acquiescence,"{n} رضوخ, إذعان"
acquiescent,"{adj} ميال للقبول, مذعن"
acquire,"{v} اكتسب, حصل, أحرز, نال, كسب"
acquired,{adj} مكتسب
acquired right,{n} الحق المكتسب
acquiring,{n} كسب
acquisition,"{n} اكتساب, اقتناع, كسب, شىء مكتسب"
acquisitive,"{adj} اكتسابي, مولع بالإكتساب"
acquit,"{v} سدد دين, أبرئ, حل من إلتزام, حل"
acquit oneself well,تصرف حسن
acquittal,"{n} تبرئة, إعفاء"
acre,"{n} فدان, قطعة من الأرض"
acreage,"{n} المساحة الأكرية, أكرات"
acrid,"{adj} جارح, حريف, حاد, لاذع, قارص, مر"
acridity,"{n} حرافة, حدة ( الطعم )"
acrimonious,"{adj} حاد, لاذع, قارص"
acrimony,"{n} حدة, لذع"
acrobat,"{n} بهلوان, ألعاب رياضية للعرض, حيلة بارعة, البهلوان"
acrobatic,"{adj} بهلواني في السيرك, ألاعيب البهلوان"
acrobatics,"{n} ألعاب بهلوانية, حيل بارعة, بهلوانيات"
acronym,"{n} أوائل حروف الكلمات, اللفظة الأوائلية"
acrophobia,{n} هلع المرتفعات
acropolis,{n} الجزء الأعلى المحصن من مدينة إغريقية
across,"{adv} من جانب آخر, عبر, على"
across,"{prep} فوق, نحو"
across the road,قطع الطريق
acrostic,"{n} قصيدة ذات ترتيب خاص, سلسلة كلمات متساوية الطول"
acrylic,{n} أكريليك
act,"{n} فعل, عمل, فعلي بالفعل, عقد, صنيع, صك, قانون, مرسوم"
act,"{v} نفذ, مثل, أدى دور, أصلح للتمثيل, خدم, حدث أثرا"
act out,{v} ممثل
act up,ساء السلوك
acting,"{adj} عبر, مؤثر"
acting as if,{adj} مدع
actinic,"{adj} صالح للتمثيل, معد للإستخدام في التمثيل"
actinium,{n} الأكتينيوم عنصر إشعاعي النشاط
action,"{n} عمل, احداث الرواية, الأداء, نائب, سلوك, تصرف, دعوى قضائية ب, تأثير, نشاط, معركة, تشكل الأثر الأدبي, مبادرة"
action movie,فيلم حركة
actionable,{adj} موجب لإقامة دعوى
activate,"{v} فعل, شغل, نشط, أعد, جهز, زود وحدة عسكرية"
activating,{adj} منشط
active,"{adj} نشيط, فعلي, عامل, دائر, قائم فعلا, فعال, عملي, نفذ, جاهد, نشط, ناشط, بهمة دائمة, مفعم بالحيوية, حي"
activity,"{n} حركة, فعالية, نشاط, حيوية, ضرب من ضروب النشاط"
actor,"{n} ممثل في المسرح, الفاعل, رشيق"
actress,"{n} ممثلة, الممثلة المسرحية"
actual,"{adj} حقيقي, فعلي, حالي, واقعي"
actuality,"{n} حقيقة, الفعلية كون الشئ فعليا"
actualize,{v} حقق أمرا
actually,"{adv} في الحقيقة, حاليا, حقا, في الواقع, فعلا"
actuary,{n} الخبير بشؤون التأمين
actuate,"{v} شغل المحرك, حرك, دفع, شغل ماكينة, حث"
actuator,{n} المشغل الميكانيكي
acuity,"{n} حدة, فطنة"
acumen,"{n} فطنة, مستدق الطرف, شم"
acuminate,{adj} مستدق الطرف
acupuncture,"{n} العلاج بالوخز, وخز الإبر"
acupuncturist,{n} اخصائي العلاج بالوخز
acute,"{adj} فطين, ذكي, عصيب, حاد, مبرح, شديد, خطير, فطن, ثاقب, قوي"
acute angle,زاوية حادة
acute triangle,{n} مثلث حاد الزوايا
acuteness,"{n} خطورة, حدة, فطنة"
ad,{n} إعلان
ad hoc,"{adj} لغرض ما بالذات, دبق"
ad lib,"{adv} بلا قيد وشرط, من غير تمهيد, مرتجل"
ad nauseam,{adv} حتى الغثيان
adage,"{n} خاص, قول مأثور"
adam,{n} آدم الانسان الأول
adam's apple,"تفاحة آدم, الحرقدة, عقدة الحنجرة"
adamant,"{adj} عنيد, صلب, ماسي الصلابة, متعنت, متصلب"
adamant,"{n} الأدمنت حجر صلب, لمعان"
adapt,"{v} تكيف, تأقلم, هيأ, مثل, لاءم"
adaptability,"{n} كيف, المتكيفية, تكيف, التهايئية"
adaptable,"{adj} قابل للتكيف, متكيف, متهايئ"
adaptation,"{n} تأقلم, تكيف, تهيئ, شىء مكيف أو معدل, كتاب معدل"
adapted,"{adj} متأقلم, ملائم, تكيف"
adapter,"{n} مكيف, الوصية, المهايئة, أداة للربط بين جزئين لأغراض لم يجعل لها في الأصل, محول"
adaptor,"{n} محول, مكيف, الوصية, المهايئة, أداة للربط بين جزئين لأغراض لم يجعل لها في الأصل"
add,"{v} معدل, أضاف, ضم, جمع"
add fat,{v} زاد
add fuel to the fire,"زاد الطين بلة, صب الزيت على النار"
add to,{v} تشوش
add up to,أضاف
addax,{n} المهاة (بقرة وحش كبير)
addendum,"{n} إضافة, ملحق لكتاب, طرف سن الترس, ملحق"
adder,"{n} أفعى, الجامع, المضيف, ضام"
addict,"{v} دسم, أغرى"
addicted,"{adj} مدمن مخدرات, مدمن أمرا, مدمن"
addiction,"{n} معاقرة, إدمان"
adding machine,الة الجمعPUadd·ing ma·chine || '&#0230;d<charset c=T>026A;</charset><charset c=T>014B;</charset>
addition,"{n} إضافة, زيادة, مد, ملحق, شىء مضاف"
additional,"{adj} إضافي, جمعي"
additional prayer,{n} ملحق كتاب صلاة
additive,{adj} جمعي
addle,{v} دمن
addle brained,مشوش العقل
addle headed,{n} فاسد الرأس
address,"{n} عنوان, خطاب رسمي, براعة, خطبة, حزق, عنوان الشخص, خطاب"
address,"{v} عالج, خاطب, جمع, عنون"
addressee,"{n} المرسل اليه, مخاطب"
adduce,"{v} قدم الدليل, أورد, دلى"
adduction,"{n} إيراد دليل, تقريب نحو المحور"
adenoid,{n} الزائدة الأنفية
adenoids,"{n} لحمية, نسيج لنفاوي متضخم"
adept,{adj} ماهر
adept,{n} ماهر
adeptness,{n} مهارة
adequacy,"{n} تلاؤم, كفاية, كفى, كاف, كفاءة"
adequate,"{adj} نكب, كفؤ, صالح, كاف, واف بالمراد, مقبول, مناسب"
adhere,"{v} التصق, التحم, تقيد ( بـ ), خلص الولاء, التزم, اعتصم"
adherence,"{n} مشايعة, التصاق, التزام, إخلاص, موالاة"
adherence to,{n} ملائم
adherent,"{n} مشايع, نصير, لزج"
adherent,"{adj} وفي, مراعاة, سريع الإلتصاق, تابع"
adhesion,"{n} التصاق, التحام, الالتصاق"
adhesive,{n} مادة سريعة التماسك
adhesive,"{adj} لاصق, لزج, مخلص, سريع الإلتصاق"
adhesive bandage,"الضمادة اللاصقة, شريط لاصق"
adhesive plaster,"لاصق الضمادة, لزقة ضمادة"
adipose,{adj} دهني
adipose,"{n} الدهن المخزون في الأنسجة الدهنية, الدهن الحيواني"
adit,{n} مدخل وبخاصة سرب إلى منجم
adjacency,"{n} محاذاة, متاخم, شىء متاخم"
adjacent,"{adj} قريب, متاخم, متجاور"
adjectival,"{adj} وصفي, نعتي"
adjective,"{n} نعت, وصف, محتاج إلى مادة مثبتة, صفة نعت أو لغة"
adjective,"{adj} نعتي, محتاج إلى مادة مثبتة, إجرائي متعلق بالإجراءات, وصفي"
adjoin,"{v} جاور, حاذى, ضليع"
adjoining,"{adj} مجاور, محاذ"
adjourn,"{v} أجل, أرجأ الجلسة, فض, نفض"
adjournment,"{n} تأجيل, انفضاض, فض, فض البرلمان, فض الإجتماع"
adjudge,"{v} حكم قضائيا, قضى بكذا, كسب القضية, اعتبر, فصل"
adjudgment,{n} تحكيم قضائي
adjudicate,"{v} حاكم, علم, قاضى, قضى بين الناس, فصل ( في )"
adjudication,"{n} تحكيم, قرار حكم, حكم قضائي, إصدار حكم قضائي"
adjunct,{n} مساعد بروفسور
adjunct,"{adj} الملحق, المساعد"
adjuration,"{n} استحلاف, مناشدة"
adjure,"{v} استحلف, ناشد"
adjust,"{v} سوى, نظم, عدل, ضبط, تكيف, تأقلم, حدد, كيف, لاءم, قوم"
adjustable,"{adj} قابل للتعديل, متكيف, توافق, قابل للتغيير"
adjuster,"{n} العادل, أداة ضبط, مصحح"
adjustment,"{n} تعديل, تسوية, توافق, أداة ضبط, تنظيم, توضيب"
adjutancy,{n} وظيفة ضابط مساعد
adjutant,"{n} ضابط مساعد أول, المعاون, أبو سعن طائر من اللقالق"
administer,"{v} حكم, أدار, أعطى دواء, دبر, أقام العدل, منح الأسرار, حلف, عاقب, صفى أملاك متوفي, أدار أملاك قاصر"
administration,"{n} إدارة, حكم, قسم"
