639-1,639-2,639-2/B,639-3,639-5,Language name(s) from ISO 639-2,Scope,Type,Native name(s),Other name(s),Scripts
ce,che,,che,,Chechen,Individual,Living,Нохчийн мотт; نَاخچیین موٓتت; ნახჩიე მუოთთ,,Cyrl
,chg,,chg,,Chagatai,Individual,Extinct,جغتای,,
,chk,,chk,,Chuukese,Individual,Living,,,Latn
,chm,,chm,,Mari,Macrolanguage,Living,марий йылме,,Cyrl
,chn,,chn,,Chinook jargon,Individual,Living,chinuk wawa; wawa; chinook lelang; lelang,,Latn
,cho,,cho,,Choctaw,Individual,Living,Chahta',,Latn
,chp,,chp,,Chipewyan; Dene Suline,Individual,Living,ᑌᓀᓱᒼᕄᓀ (Dënesųłiné),,Cans Latn
,chr,,chr,,Cherokee,Individual,Living,ᏣᎳᎩ ᎦᏬᏂᎯᏍᏗ Tsalagi gawonihisdi,,Cher
cu,chu,,chu,,Church Slavic; Old Slavonic; Church Slavonic; Old Bulgarian; Old Church Slavonic,Individual,Ancient,Славе́нскїй ѧ҆зы́къ,,Cyrl
cv,chv,,chv,,Chuvash,Individual,Living,Чӑвашла,,Cyrl
,chy,,chy,,Cheyenne,Individual,Living,Tsėhésenėstsestȯtse,,Latn
,cmc,,,cmc,Chamic languages,Collective,,,,
,cnr,,cnr,,Montenegrin,Individual,Living,crnogorski / црногорски,,
,cop,,cop,,Coptic,Individual,Extinct,ϯⲙⲉⲑⲣⲉⲙⲛ̀ⲭⲏⲙⲓ; ⲧⲙⲛ̄ⲧⲣⲙ̄ⲛ̄ⲕⲏⲙⲉ,,Arab Copt Grek
kw,cor,,cor,,Cornish,Individual,Living,Kernowek,,Latn
co,cos,,cos,,Corsican,Individual,Living,Corsu; Lingua corsa,,Latn
,cpe,,,cpe,"Creoles and pidgins, English based",Collective,,,,
,cpf,,,cpf,"Creoles and pidgins, French-based",Collective,,,,
,cpp,,,cpp,"Creoles and pidgins, Portuguese-based",Collective,,,,
cr,cre,,cre,,Cree,Macrolanguage,Living,,,Cans Latn
,crh,,crh,,Crimean Tatar; Crimean Turkish,Individual,Living,Къырымтатарджа; Къырымтатар тили; Ҡырымтатарҗа; Ҡырымтатар тили,,Cyrl
,crp,,,crp,Creoles and pidgins,Collective,,,,
,csb,,csb,,Kashubian,Individual,Living,Kaszëbsczi jãzëk,Cassubian,Latn
,cus,,,cus,Cushitic languages,Collective,,,,
cy,cym,wel,cym,,Welsh,Individual,Living,Cymraeg; y Gymraeg,,Latn
,dak,,dak,,Dakota,Individual,Living,Dakhótiyapi; Dakȟótiyapi,,Latn
da,dan,,dan,,Danish,Individual,Living,dansk,,Latn
,dar,,dar,,Dargwa,Individual,Living,дарган мез,,Cyrl
,day,,,day,Land Dayak languages,Collective,,,,
,del,,del,,Delaware,Macrolanguage,Living,,,Latn
,den,,den,,Slave (Athapascan),Macrolanguage,Living,Dene K'e,Slavey,Cans Latn
,dgr,,dgr,,Dogrib,Individual,Living,,,Latn
,din,,din,,Dinka,Macrolanguage,Living,Thuɔŋjäŋ,,Latn
dv,div,,div,,Divehi; Dhivehi; Maldivian,Individual,Living,ދިވެހި; ދިވެހިބަސް Divehi,,Thaa
,doi,,doi,,Dogri,Macrolanguage,Living,𑠖𑠵𑠌𑠤𑠮; डोगरी; ڈوگرى,,Arab Deva Takr
,dra,,,dra,Dravidian languages,Collective,,,,
,dsb,,dsb,,Lower Sorbian,Individual,Living,Dolnoserbski; Dolnoserbšćina,,Latn
,dua,,dua,,Duala,Individual,Living,,,Latn
,dum,,dum,,"Dutch, Middle (ca. 1050-1350)",Individual,Historical,,,Latn
,dyu,,dyu,,Dyula,Individual,Living,Julakan,Jula,Latn
dz,dzo,,dzo,,Dzongkha,Individual,Living,རྫོང་ཁ་ Ĵoŋkha,,Tibt
,efi,,efi,,Efik,Individual,Living,,,Latn
,egy,,egy,,Egyptian (Ancient),Individual,Ancient,,,Egyp
,eka,,eka,,Ekajuk,Individual,Living,,Kajuk,Latn
el,ell,gre,ell,,"Greek, Modern (1453-)",Individual,Living,Νέα Ελληνικά Néa Ellêniká,,Grek
,elx,,elx,,Elamite,Individual,Ancient,,,
en,eng,,eng,,English,Individual,Living,English,,Dsrt Latn Shaw
,enm,,enm,,"English, Middle (1100-1500)",Individual,Historical,,,Latn
eo,epo,,epo,,Esperanto,Individual,Constructed,Esperanto,,Latn
et,est,,est,,Estonian,Macrolanguage,Living,eesti keel,,Latn
eu,eus,baq,eus,,Basque,Individual,Living,euskara,,Latn
ee,ewe,,ewe,,Ewe,Individual,Living,Èʋegbe,,Latn
,ewo,,ewo,,Ewondo,Individual,Living,,Kolo,Latn
,fan,,fan,,Fang,Individual,Living,,,Latn
fo,fao,,fao,,Faroese,Individual,Living,føroyskt,,Latn
fa,fas,per,fas,,Persian,Macrolanguage,Living,فارسی Fārsiy,Farsi,Arab
,fat,,fat,,Fanti,Individual,Living,Mfantse; Fante; Fanti,Fante,
fj,fij,,fij,,Fijian,Individual,Living,Na Vosa Vakaviti,,Latn
,fil,,fil,,Filipino; Pilipino,Individual,Living,Wikang Filipino,,Latn Tglg
fi,fin,,fin,,Finnish,Individual,Living,suomen kieli,,Latn
,fiu,,,fiu,Finno-Ugrian languages,Collective,,,Finno-Ugric languages,
,fon,,fon,,Fon,Individual,Living,Fon gbè,,Latn
fr,fra,fre,fra,,French,Individual,Living,français,,Dupl Latn
,frm,,frm,,"French, Middle (ca. 1400-1600)",Individual,Historical,françois; franceis,,Latn
,fro,,fro,,"French, Old (842-ca. 1400)",Individual,Historical,Franceis; François; Romanz,,Latn
,frr,,frr,,Northern Frisian,Individual,Living,Frasch; Fresk; Freesk; Friisk,North Frisian,Latn
,frs,,frs,,Eastern Frisian,Individual,Living,Seeltersk,Saterland Frisian,Latn
fy,fry,,fry,,Western Frisian,Individual,Living,Frysk,West Frisian,Latn
ff,ful,,ful,,Fulah,Macrolanguage,Living,Fulfulde; Pulaar; Pular,Fula,Adlm Latn
,fur,,fur,,Friulian,Individual,Living,Furlan,,Latn
,gaa,,gaa,,Ga,Individual,Living,Gã,,Latn
,gay,,gay,,Gayo,Individual,Living,Basa Gayo,,Latn
,gba,,gba,,Gbaya,Macrolanguage,Living,,,Latn
,gem,,,gem,Germanic languages,Collective,,,,
de,deu,ger,deu,,German,Individual,Living,Deutsch,,Latn Runr
,gez,,gez,,Geez,Individual,Ancient,ግዕዝ,Ge'ez,Ethi
,gil,,gil,,Gilbertese,Individual,Living,Taetae ni Kiribati,,Latn
gd,gla,,gla,,Gaelic; Scottish Gaelic,Individual,Living,Gàidhlig,,Latn
ga,gle,,gle,,Irish,Individual,Living,Gaeilge,,Latn
gl,glg,,glg,,Galician,Individual,Living,galego,,Latn
gv,glv,,glv,,Manx,Individual,Living,Gaelg; Gailck,,Latn
,gmh,,gmh,,"German, Middle High (ca. 1050-1500)",Individual,Historical,Diutsch,,Latn
,goh,,goh,,"German, Old High (ca. 750-1050)",Individual,Historical,Diutisk,,Latn
,gon,,gon,,Gondi,Macrolanguage,Living,,,Deva Telu
,gor,,gor,,Gorontalo,Individual,Living,Bahasa Hulontalo,,Latn
,got,,got,,Gothic,Individual,Ancient,,,Goth
,grb,,grb,,Grebo,Macrolanguage,Living,,,Latn
,grc,,grc,,"Greek, Ancient (to 1453)",Individual,Historical,Ἑλληνική,,Cprt Grek Linb
gn,grn,,grn,,Guarani,Macrolanguage,Living,Avañe'ẽ,,Latn
,gsw,,gsw,,Swiss German; Alemannic; Alsatian,Individual,Living,Schwiizerdütsch,,Latn
gu,guj,,guj,,Gujarati,Individual,Living,ગુજરાતી Gujarātī,,Gujr
,gwi,,gwi,,Gwich'in,Individual,Living,Dinjii Zhu’ Ginjik,,Latn
,hai,,hai,,Haida,Macrolanguage,Living,X̱aat Kíl; X̱aadas Kíl; X̱aayda Kil; Xaad kil,,Latn
ht,hat,,hat,,Haitian; Haitian Creole,Individual,Living,kreyòl ayisyen,,Latn
ha,hau,,hau,,Hausa,Individual,Living,Harshen Hausa; هَرْشَن,,Arab Latn
,haw,,haw,,Hawaiian,Individual,Living,ʻŌlelo Hawaiʻi,,Latn
he,heb,,heb,,Hebrew,Individual,Living,עברית 'Ivriyþ,,Hebr
hz,her,,her,,Herero,Individual,Living,Otjiherero,,Latn
,hil,,hil,,Hiligaynon,Individual,Living,Ilonggo,,Latn
,him,,,,Himachali languages; Pahari languages,Collective,,,,
hi,hin,,hin,,Hindi,Individual,Living,हिन्दी Hindī,,Deva Latn Mahj
,hit,,hit,,Hittite,Individual,Ancient,𒉈𒅆𒇷,,Xsux
,hmn,,hmn,,Hmong; Mong,Macrolanguage,Living,lus Hmoob; lug Moob; lol Hmongb,,Hmng Latn
ho,hmo,,hmo,,Hiri Motu,Individual,Living,,,Latn
hr,hrv,,hrv,,Croatian,Individual,Living,hrvatski,,Latn
,hsb,,hsb,,Upper Sorbian,Individual,Living,hornjoserbšćina,,Latn
hu,hun,,hun,,Hungarian,Individual,Living,magyar nyelv,,Latn
,hup,,hup,,Hupa,Individual,Living,Na:tinixwe Mixine:whe',,Latn
hy,hye,arm,hye,,Armenian,Individual,Living,Հայերէն Hayerèn; Հայերեն Hayeren,,Armn
,iba,,iba,,Iban,Individual,Living,Jaku Iban,,Latn
ig,ibo,,ibo,,Igbo,Individual,Living,Asụsụ Igbo,,Latn
io,ido,,ido,,Ido,Individual,Constructed,,,
ii,iii,,iii,,Sichuan Yi; Nuosu,Individual,Living,ꆈꌠꉙ Nuosuhxop,,Latn Yiii
,ijo,,,ijo,Ijo languages,Collective,,Ịjọ,Ijaw languages,
iu,iku,,iku,,Inuktitut,Macrolanguage,Living,ᐃᓄᒃᑎᑐᑦ Inuktitut,,Cans Latn
ie,ile,,ile,,Interlingue; Occidental,Individual,Constructed,,,
,ilo,,ilo,,Iloko,Individual,Living,Pagsasao nga Ilokano; Ilokano,Ilocano,Latn
ia,ina,,ina,,Interlingua (International Auxiliary Language Association),Individual,Constructed,,,Latn
,inc,,,inc,Indic languages,Collective,,,Indo-Aryan languages,
id,ind,,ind,,Indonesian,Individual,Living,bahasa Indonesia,,Arab Latn
,ine,,,ine,Indo-European languages,Collective,,,,
,inh,,inh,,Ingush,Individual,Living,ГӀалгӀай мотт,,Arab Cyrl Latn
ik,ipk,,ipk,,Inupiaq,Macrolanguage,Living,Iñupiaq,,Latn
,ira,,,ira,Iranian languages,Collective,,,,
,iro,,,iro,Iroquoian languages,Collective,,,,
is,isl,ice,isl,,Icelandic,Individual,Living,íslenska,,Latn
it,ita,,ita,,Italian,Individual,Living,italiano; lingua italiana,,Latn
jv,jav,,jav,,Javanese,Individual,Living,ꦧꦱꦗꦮ / Basa Jawa,,Java Latn
,jbo,,jbo,,Lojban,Individual,Constructed,la .lojban.,,
ja,jpn,,jpn,,Japanese,Individual,Living,日本語 Nihongo,,Jpan
,jpr,,jpr,,Judeo-Persian,Individual,Living,Dzhidi,,Hebr
,jrb,,jrb,,Judeo-Arabic,Macrolanguage,Living,عربية يهودية / ערבית יהודית,,Hebr
,kaa,,kaa,,Kara-Kalpak,Individual,Living,Qaraqalpaq tili; Қарақалпақ тили,Karakalpak,Cyrl
,kab,,kab,,Kabyle,Individual,Living,Tamaziɣt Taqbaylit; Tazwawt,,Latn
,kac,,kac,,Kachin; Jingpho,Individual,Living,Jingpho,,Latn
kl,kal,,kal,,Kalaallisut; Greenlandic,Individual,Living,,,Latn
,kam,,kam,,Kamba,Individual,Living,,,Latn
kn,kan,,kan,,Kannada,Individual,Living,ಕನ್ನಡ Kannađa,,Knda
,kar,,,kar,Karen languages,Collective,,,Karenic languages,
ks,kas,,kas,,Kashmiri,Individual,Living,कॉशुर / كأشُر,,Arab Deva
ka,kat,geo,kat,,Georgian,Individual,Living,ქართული Kharthuli,,Geor
kr,kau,,kau,,Kanuri,Macrolanguage,Living,,,Latn
,kaw,,kaw,,Kawi,Individual,Ancient,ꦧꦱꦗꦮ,,
kk,kaz,,kaz,,Kazakh,Individual,Living,қазақ тілі qazaq tili; қазақша qazaqşa,,Arab Cyrl
,kbd,,kbd,,Kabardian,Individual,Living,Адыгэбзэ (Къэбэрдейбзэ) Adıgăbză (Qăbărdeĭbză),,Cyrl
,kha,,kha,,Khasi,Individual,Living,কা কতিয়েন খাশি,,Beng Latn
,khi,,,khi,Khoisan languages,Collective,,,,
km,khm,,khm,,Central Khmer,Individual,Living,ភាសាខ្មែរ Phiəsaakhmær,,Khmr
,kho,,kho,,Khotanese; Sakan,Individual,Ancient,,Saka,
ki,kik,,kik,,Kikuyu; Gikuyu,Individual,Living,Gĩkũyũ,,Latn
rw,kin,,kin,,Kinyarwanda,Individual,Living,Ikinyarwanda,,Latn
ky,kir,,kir,,Kirghiz; Kyrgyz,Individual,Living,кыргызча kırgızça; кыргыз тили kırgız tili,,Arab Cyrl Latn
,kmb,,kmb,,Kimbundu,Individual,Living,,,Latn
,kok,,kok,,Konkani,Macrolanguage,Living,कोंकणी,,Deva
kv,kom,,kom,,Komi,Macrolanguage,Living,Коми кыв,,Cyrl Perm
kg,kon,,kon,,Kongo,Macrolanguage,Living,,,Latn
ko,kor,,kor,,Korean,Individual,Living,한국어 Han'gug'ô,,Kore
,kos,,kos,,Kosraean,Individual,Living,,,Latn
,kpe,,kpe,,Kpelle,Macrolanguage,Living,Kpɛlɛwoo,,Latn
,krc,,krc,,Karachay-Balkar,Individual,Living,Къарачай-Малкъар тил; Таулу тил,,Cyrl
,krl,,krl,,Karelian,Individual,Living,karjal; kariela; karjala,,Latn
,kro,,,kro,Kru languages,Collective,,,,
,kru,,kru,,Kurukh,Individual,Living,कुड़ुख़,,Deva
kj,kua,,kua,,Kuanyama; Kwanyama,Individual,Living,,,Latn
,kum,,kum,,Kumyk,Individual,Living,къумукъ тил/qumuq til,,Cyrl
ku,kur,,kur,,Kurdish,Macrolanguage,Living,kurdî / کوردی,,Arab Cyrl Latn
,kut,,kut,,Kutenai,Individual,Living,,,Latn
,lad,,lad,,Ladino,Individual,Living,Judeo-español,Judaeo-Spanish,Hebr
,lah,,lah,,Lahnda,Macrolanguage,Living,بھارت کا,Western Punjabi,Arab
,lam,,lam,,Lamba,Individual,Living,,,Latn
lo,lao,,lao,,Lao,Individual,Living,ພາສາລາວ Phasalaw,,Laoo
la,lat,,lat,,Latin,Individual,Ancient,Lingua latīna,,Latn
lv,lav,,lav,,Latvian,Macrolanguage,Living,Latviešu valoda,,Latn
,lez,,lez,,Lezghian,Individual,Living,Лезги чӏал,Lezgian,Aghb Cyrl
li,lim,,lim,,Limburgan; Limburger; Limburgish,Individual,Living,Lèmburgs,,Latn
ln,lin,,lin,,Lingala,Individual,Living,,,Latn
lt,lit,,lit,,Lithuanian,Individual,Living,lietuvių kalba,,Latn
,lol,,lol,,Mongo,Individual,Living,Lomongo,,Latn
,loz,,loz,,Lozi,Individual,Living,,,Latn
lb,ltz,,ltz,,Luxembourgish; Letzeburgesch,Individual,Living,Lëtzebuergesch,,Latn
,lua,,lua,,Luba-Lulua,Individual,Living,Tshiluba,Luba-Kasai,Latn
lu,lub,,lub,,Luba-Katanga,Individual,Living,Kiluba,,Latn
lg,lug,,lug,,Ganda,Individual,Living,Luganda,Luganda,Latn
,lui,,lui,,Luiseno,Individual,Extinct,Cham'teela,,Latn
,lun,,lun,,Lunda,Individual,Living,Chilunda,,Latn
,luo,,luo,,Luo (Kenya and Tanzania),Individual,Living,Dholuo,,Latn
,lus,,lus,,Lushai,Individual,Living,Mizo ṭawng,Mizo,Beng
,mad,,mad,,Madurese,Individual,Living,Madhura,,Latn
,mag,,mag,,Magahi,Individual,Living,मगही,,Deva
mh,mah,,mah,,Marshallese,Individual,Living,Kajin M̧ajeļ,,Latn
,mai,,mai,,Maithili,Individual,Living,मैथिली; মৈথিলী,,Deva Tirh
,mak,,mak,,Makasar,Individual,Living,Basa Mangkasara' / ᨅᨔ ᨆᨀᨔᨑ,Makassarese,Bugi Latn
ml,mal,,mal,,Malayalam,Individual,Living,മലയാളം Malayāļã,,Mlym
,man,,man,,Mandingo,Macrolanguage,Living,Mandi'nka kango,Manding,Latn Nkoo
,map,,,map,Austronesian languages,Collective,,,,
mr,mar,,mar,,Marathi,Individual,Living,मराठी Marāţhī,,Deva Modi
,mas,,mas,,Masai,Individual,Living,ɔl,,Latn
,mdf,,mdf,,Moksha,Individual,Living,мокшень кяль,,Cyrl
,mdr,,mdr,,Mandar,Individual,Living,,,Bugi Latn
,men,,men,,Mende,Individual,Living,Mɛnde yia,,Latn Mend
,mga,,mga,,"Irish, Middle (900-1200)",Individual,Historical,Gaoidhealg,,
,mic,,mic,,Mi'kmaq; Micmac,Individual,Living,Míkmawísimk,,Latn
,min,,min,,Minangkabau,Individual,Living,Baso Minang,,Latn
,mis,,mis,,Uncoded languages,Special,,,,
mk,mkd,mac,mkd,,Macedonian,Individual,Living,македонски јазик makedonski jazik,,Cyrl
,mkh,,,mkh,Mon-Khmer languages,Collective,,,Austroasiatic languages,
mg,mlg,,mlg,,Malagasy,Macrolanguage,Living,,,Latn
mt,mlt,,mlt,,Maltese,Individual,Living,Malti,,Latn
,mnc,,mnc,,Manchu,Individual,Living,ᠮᠠᠨᠵᡠ ᡤᡳᠰᡠᠨ Manju gisun,,Mong
,mni,,mni,,Manipuri,Individual,Living,,Meitei,Beng Mtei
,mno,,,mno,Manobo languages,Collective,,,,
,moh,,moh,,Mohawk,Individual,Living,Kanien’kéha,,Latn
mn,mon,,mon,,Mongolian,Macrolanguage,Living,монгол хэл mongol xel; ᠮᠣᠩᠭᠣᠯ ᠬᠡᠯᠡ,,Cyrl Mong Phag
,mos,,mos,,Mossi,Individual,Living,Mooré,,Latn
mi,mri,mao,mri,,Maori,Individual,Living,Te Reo Māori,,Latn
ms,msa,may,msa,,Malay,Macrolanguage,Living,Bahasa Melayu,,Arab Latn
,mul,,mul,,Multiple languages,Special,,,,
,mun,,,mun,Munda languages,Collective,,,,
,mus,,mus,,Creek,Individual,Living,Mvskoke,Muscogee,Latn
,mwl,,mwl,,Mirandese,Individual,Living,mirandés; lhéngua mirandesa,,Latn
,mwr,,mwr,,Marwari,Macrolanguage,Living,मारवाड़ी,,Deva
my,mya,bur,mya,,Burmese,Individual,Living,မြန်မာစာ Mrãmācā; မြန်မာစကား Mrãmākā:,Myanmar,Mymr
,myn,,,myn,Mayan languages,Collective,,,,
,myv,,myv,,Erzya,Individual,Living,эрзянь кель,,Cyrl
,nah,,,nah,Nahuatl languages,Collective,,,Nahuan languages,
,nai,,,nai,North American Indian languages,Collective,,,,
,nap,,nap,,Neapolitan,Individual,Living,napulitano,,Latn
na,nau,,nau,,Nauru,Individual,Living,dorerin Naoero,Nauruan,Latn
nv,nav,,nav,,Navajo; Navaho,Individual,Living,Diné bizaad; Naabeehó bizaad,,Latn
nr,nbl,,nbl,,"Ndebele, South; South Ndebele",Individual,Living,isiNdebele seSewula,Southern Ndebele,Latn
nd,nde,,nde,,"Ndebele, North; North Ndebele",Individual,Living,siNdebele saseNyakatho,Northern Ndebele,Latn
ng,ndo,,ndo,,Ndonga,Individual,Living,ndonga,,Latn
,nds,,nds,,"Low German; Low Saxon; German, Low; Saxon, Low",Individual,Living,Plattdütsch; Plattdüütsch,,Latn
ne,nep,,nep,,Nepali,Macrolanguage,Living,नेपाली भाषा Nepālī bhāśā,,Deva
,new,,new,,Nepal Bhasa; Newari,Individual,Living,नेपाल भाषा; नेवाः भाय्,Newar,Deva
,nia,,nia,,Nias,Individual,Living,Li Niha,,Latn
,nic,,,nic,Niger-Kordofanian languages,Collective,,,Niger-Congo languages,
,niu,,niu,,Niuean,Individual,Living,ko e vagahau Niuē,,Latn
nl,nld,dut,nld,,Dutch; Flemish,Individual,Living,Nederlands; Vlaams,,Latn
nn,nno,,nno,,"Norwegian Nynorsk; Nynorsk, Norwegian",Individual,Living,norsk nynorsk,Nynorsk,Latn
nb,nob,,nob,,"Bokmål, Norwegian; Norwegian Bokmål",Individual,Living,norsk bokmål,Bokmål,Latn
,nog,,nog,,Nogai,Individual,Living,Ногай тили,,Cyrl
,non,,non,,"Norse, Old",Individual,Historical,Dǫnsk tunga; Norrœnt mál,,Runr
no,nor,,nor,,Norwegian,Macrolanguage,Living,norsk,,
,nqo,,nqo,,N'Ko,Individual,Living,,,Nkoo
,nso,,nso,,Pedi; Sepedi; Northern Sotho,Individual,Living,Sesotho sa Leboa,,Latn
,nub,,,nub,Nubian languages,Collective,,لغات نوبية,,
,nwc,,nwc,,Classical Newari; Old Newari; Classical Nepal Bhasa,Individual,Historical,पुलां भाय्; पुलाङु नेपाल भाय्,,
ny,nya,,nya,,Chichewa; Chewa; Nyanja,Individual,Living,Chichewa; Chinyanja,,Latn
,nym,,nym,,Nyamwezi,Individual,Living,,,Latn
,nyn,,nyn,,Nyankole,Individual,Living,,Nkore,Latn
,nyo,,nyo,,Nyoro,Individual,Living,Runyoro,,Latn
,nzi,,nzi,,Nzima,Individual,Living,,Nzema,Latn
oc,oci,,oci,,Occitan (post 1500),Individual,Living,occitan; lenga d'òc,,Latn
oj,oji,,oji,,Ojibwa,Macrolanguage,Living,,Ojibwe,Cans Latn
or,ori,,ori,,Oriya,Macrolanguage,Living,ଓଡ଼ିଆ,Odia,Orya
om,orm,,orm,,Oromo,Macrolanguage,Living,Afaan Oromoo,,Ethi Latn
,osa,,osa,,Osage,Individual,Living,Wazhazhe ie / 𐓏𐓘𐓻𐓘𐓻𐓟 𐒻𐓟,,Latn Osge
os,oss,,oss,,Ossetian; Ossetic,Individual,Living,Ирон æвзаг Iron ævzag,,Cyrl
