639-1,639-2,639-2/B,en,fr,de
,gez,,Geez,guèze,Altäthiopisch
,gil,,Gilbertese,kiribati,Gilbertesisch
gd,gla,,Gaelic; Scottish Gaelic,gaélique; gaélique écossais,Gälisch-Schottisch
ga,gle,,Irish,irlandais,Irisch
gl,glg,,Galician,galicien,Galicisch
gv,glv,,Manx,manx; mannois,Manx
,gmh,,"German, Middle High (ca.1050-1500)","allemand, moyen haut (ca. 1050-1500)",Mittelhochdeutsch
,goh,,"German, Old High (ca.750-1050)","allemand, vieux haut (ca. 750-1050)",Althochdeutsch
,gon,,Gondi,gond,Gondi-Sprache
,gor,,Gorontalo,gorontalo,Gorontalesisch
,got,,Gothic,gothique,Gotisch
,grb,,Grebo,grebo,Grebo-Sprache
,grc,,"Greek, Ancient (to 1453)",grec ancien (jusqu'à 1453),Griechisch
gn,grn,,Guarani,guarani,Guaraní-Sprache
,gsw,,Swiss German; Alemannic; Alsatian,suisse alémanique; alémanique; alsacien,Schweizerdeutsch
gu,guj,,Gujarati,goudjrati,Gujarati-Sprache
,gwi,,Gwich'in,gwich'in,Kutchin-Sprache
,hai,,Haida,haida,Haida-Sprache
ht,hat,,Haitian; Haitian Creole,haïtien; créole haïtien,Haïtien (Haiti-Kreolisch)
ha,hau,,Hausa,haoussa,Haussa-Sprache
,haw,,Hawaiian,hawaïen,Hawaiisch
he,heb,,Hebrew,hébreu,Hebräisch
hz,her,,Herero,herero,Herero-Sprache
,hil,,Hiligaynon,hiligaynon,Hiligaynon-Sprache
,him,,Himachali languages; Western Pahari languages,langues himachalis; langues paharis occidentales,Himachali
hi,hin,,Hindi,hindi,Hindi
,hit,,Hittite,hittite,Hethitisch
,hmn,,Hmong; Mong,hmong,Miao-Sprachen
ho,hmo,,Hiri Motu,hiri motu,Hiri-Motu
hr,hrv,,Croatian,croate,Kroatisch
,hsb,,Upper Sorbian,haut-sorabe,Obersorbisch
hu,hun,,Hungarian,hongrois,Ungarisch
,hup,,Hupa,hupa,Hupa-Sprache
,iba,,Iban,iban,Iban-Sprache
ig,ibo,,Igbo,igbo,Ibo-Sprache
is,isl,ice,Icelandic,islandais,Isländisch
io,ido,,Ido,ido,Ido
ii,iii,,Sichuan Yi; Nuosu,yi de Sichuan,Lalo-Sprache
,ijo,,Ijo languages,"ijo, langues",Ijo-Sprache
iu,iku,,Inuktitut,inuktitut,Inuktitut
ie,ile,,Interlingue; Occidental,interlingue,Interlingue
,ilo,,Iloko,ilocano,Ilokano-Sprache
ia,ina,,Interlingua (International Auxiliary Language Association),interlingua (langue auxiliaire internationale),Interlingua
,inc,,Indic languages,"indo-aryennes, langues",Indoarische Sprachen (Andere)
id,ind,,Indonesian,indonésien,Bahasa Indonesia
,ine,,Indo-European languages,"indo-européennes, langues",Indogermanische Sprachen (Andere)
,inh,,Ingush,ingouche,Inguschisch
ik,ipk,,Inupiaq,inupiaq,Inupik
,ira,,Iranian languages,"iraniennes, langues",Iranische Sprachen (Andere)
,iro,,Iroquoian languages,"iroquoises, langues",Irokesische Sprachen
it,ita,,Italian,italien,Italienisch
jv,jav,,Javanese,javanais,Javanisch
,jbo,,Lojban,lojban,Lojban
ja,jpn,,Japanese,japonais,Japanisch
,jpr,,Judeo-Persian,judéo-persan,Jüdisch-Persisch
,jrb,,Judeo-Arabic,judéo-arabe,Jüdisch-Arabisch
,kaa,,Kara-Kalpak,karakalpak,Karakalpakisch
,kab,,Kabyle,kabyle,Kabylisch
,kac,,Kachin; Jingpho,kachin; jingpho,Kachin-Sprache
kl,kal,,Kalaallisut; Greenlandic,groenlandais,Grönländisch
,kam,,Kamba,kamba,Kamba-Sprache
kn,kan,,Kannada,kannada,Kannada
,kar,,Karen languages,"karen, langues",Karenisch
ks,kas,,Kashmiri,kashmiri,Kaschmiri
kr,kau,,Kanuri,kanouri,Kanuri-Sprache
,kaw,,Kawi,kawi,Kawi
kk,kaz,,Kazakh,kazakh,Kasachisch
,kbd,,Kabardian,kabardien,Kabardinisch
,kha,,Khasi,khasi,Khasi-Sprache
,khi,,Khoisan languages,"khoïsan, langues",Khoisan-Sprachen (Andere)
km,khm,,Central Khmer,khmer central,Kambodschanisch
,kho,,Khotanese; Sakan,khotanais; sakan,Sakisch
ki,kik,,Kikuyu; Gikuyu,kikuyu,Kikuyu-Sprache
rw,kin,,Kinyarwanda,rwanda,Rwanda-Sprache
ky,kir,,Kirghiz; Kyrgyz,kirghiz,Kirgisisch
,kmb,,Kimbundu,kimbundu,Kimbundu-Sprache
,kok,,Konkani,konkani,Konkani
kv,kom,,Komi,kom,Komi-Sprache
kg,kon,,Kongo,kongo,Kongo-Sprache
ko,kor,,Korean,coréen,Koreanisch
,kos,,Kosraean,kosrae,Kosraeanisch
,kpe,,Kpelle,kpellé,Kpelle-Sprache
,krc,,Karachay-Balkar,karatchai balkar,Karatschaiisch-Balkarisch
,krl,,Karelian,carélien,Karelisch
,kro,,Kru languages,"krou, langues",Kru-Sprachen (Andere)
,kru,,Kurukh,kurukh,Oraon-Sprache
kj,kua,,Kuanyama; Kwanyama,kuanyama; kwanyama,Kwanyama-Sprache
,kum,,Kumyk,koumyk,Kumükisch
ku,kur,,Kurdish,kurde,Kurdisch
,kut,,Kutenai,kutenai,Kutenai-Sprache
,lad,,Ladino,judéo-espagnol,Judenspanisch
,lah,,Lahnda,lahnda,Lahnda
,lam,,Lamba,lamba,Lamba-Sprache (Bantusprache)
lo,lao,,Lao,lao,Laotisch
la,lat,,Latin,latin,Latein
lv,lav,,Latvian,letton,Lettisch
,lez,,Lezghian,lezghien,Lesgisch
li,lim,,Limburgan; Limburger; Limburgish,limbourgeois,Limburgisch
ln,lin,,Lingala,lingala,Lingala
lt,lit,,Lithuanian,lituanien,Litauisch
,lol,,Mongo,mongo,Mongo-Sprache
,loz,,Lozi,lozi,Rotse-Sprache
lb,ltz,,Luxembourgish; Letzeburgesch,luxembourgeois,Luxemburgisch
,lua,,Luba-Lulua,luba-lulua,Lulua-Sprache
lu,lub,,Luba-Katanga,luba-katanga,Luba-Katanga-Sprache
lg,lug,,Ganda,ganda,Ganda-Sprache
,lui,,Luiseno,luiseno,Luiseño-Sprache
,lun,,Lunda,lunda,Lunda-Sprache
,luo,,Luo (Kenya and Tanzania),luo (Kenya et Tanzanie),Luo-Sprache
,lus,,Lushai,lushai,Lushai-Sprache
mk,mkd,mac,Macedonian,macédonien,Makedonisch
,mad,,Madurese,madourais,Maduresisch
,mag,,Magahi,magahi,Khotta
mh,mah,,Marshallese,marshall,Marschallesisch
,mai,,Maithili,maithili,Maithili
,mak,,Makasar,makassar,Makassarisch
ml,mal,,Malayalam,malayalam,Malayalam
,man,,Mandingo,mandingue,Malinke-Sprache
mi,mri,mao,Maori,maori,Maori-Sprache
,map,,Austronesian languages,"austronésiennes, langues",Austronesische Sprachen (Andere)
mr,mar,,Marathi,marathe,Marathi
,mas,,Masai,massaï,Massai-Sprache
ms,msa,may,Malay,malais,Malaiisch
,mdf,,Moksha,moksa,Mokscha-Sprache
,mdr,,Mandar,mandar,Mandaresisch
,men,,Mende,mendé,Mende-Sprache
,mga,,"Irish, Middle (900-1200)",irlandais moyen (900-1200),Mittelirisch
,mic,,Mi'kmaq; Micmac,mi'kmaq; micmac,Micmac-Sprache
,min,,Minangkabau,minangkabau,Minangkabau-Sprache
,mis,,Uncoded languages,langues non codées,Einzelne andere Sprachen
,mkh,,Mon-Khmer languages,"môn-khmer, langues",Mon-Khmer-Sprachen (Andere)
mg,mlg,,Malagasy,malgache,Malagassi-Sprache
mt,mlt,,Maltese,maltais,Maltesisch
,mnc,,Manchu,mandchou,Mandschurisch
,mni,,Manipuri,manipuri,Meithei-Sprache
,mno,,Manobo languages,"manobo, langues",Manobo-Sprachen
,moh,,Mohawk,mohawk,Mohawk-Sprache
mn,mon,,Mongolian,mongol,Mongolisch
,mos,,Mossi,moré,Mossi-Sprache
,mul,,Multiple languages,multilingue,Mehrere Sprachen
,mun,,Munda languages,"mounda, langues",Mundasprachen (Andere)
,mus,,Creek,muskogee,Muskogisch
,mwl,,Mirandese,mirandais,Mirandesisch
,mwr,,Marwari,marvari,Marwari
,myn,,Mayan languages,"maya, langues",Maya-Sprachen
,myv,,Erzya,erza,Erza-Mordwinisch
,nah,,Nahuatl languages,"nahuatl, langues",Nahuatl
,nai,,North American Indian languages,"nord-amérindiennes, langues","Indianersprachen, Nordamerika (Andere)"
,nap,,Neapolitan,napolitain,Neapel / Mundart
na,nau,,Nauru,nauruan,Nauruanisch
nv,nav,,Navajo; Navaho,navaho,Navajo-Sprache
nr,nbl,,"Ndebele, South; South Ndebele",ndébélé du Sud,Ndebele-Sprache (Transvaal)
nd,nde,,"Ndebele, North; North Ndebele",ndébélé du Nord,Ndebele-Sprache (Simbabwe)
ng,ndo,,Ndonga,ndonga,Ndonga
,nds,,"Low German; Low Saxon; German, Low; Saxon, Low","bas allemand; bas saxon; allemand, bas; saxon, bas",Niederdeutsch
ne,nep,,Nepali,népalais,Nepali
,new,,Nepal Bhasa; Newari,nepal bhasa; newari,Newari
,nia,,Nias,nias,Nias-Sprache
,nic,,Niger-Kordofanian languages,"nigéro-kordofaniennes, langues",Nigerkordofanische Sprachen (Andere)
,niu,,Niuean,niué,Niue-Sprache
nn,nno,,"Norwegian Nynorsk; Nynorsk, Norwegian","norvégien nynorsk; nynorsk, norvégien",Nynorsk
nb,nob,,"Bokmål, Norwegian; Norwegian Bokmål",norvégien bokmål,Bokmål
,nog,,Nogai,nogaï; nogay,Nogaisch
,non,,"Norse, Old","norrois, vieux",Altnorwegisch
no,nor,,Norwegian,norvégien,Norwegisch
,nqo,,N'Ko,n'ko,N'Ko
,nso,,Pedi; Sepedi; Northern Sotho,pedi; sepedi; sotho du Nord,Pedi-Sprache
,nub,,Nubian languages,"nubiennes, langues",Nubische Sprachen
,nwc,,Classical Newari; Old Newari; Classical Nepal Bhasa,newari classique,Alt-Newari
ny,nya,,Chichewa; Chewa; Nyanja,chichewa; chewa; nyanja,Nyanja-Sprache
,nym,,Nyamwezi,nyamwezi,Nyamwezi-Sprache
,nyn,,Nyankole,nyankolé,Nkole-Sprache
,nyo,,Nyoro,nyoro,Nyoro-Sprache
,nzi,,Nzima,nzema,Nzima-Sprache
oc,oci,,Occitan (post 1500),occitan (après 1500),Okzitanisch
oj,oji,,Ojibwa,ojibwa,Ojibwa-Sprache
or,ori,,Oriya,oriya,Oriya-Sprache
om,orm,,Oromo,galla,Galla-Sprache
,osa,,Osage,osage,Osage-Sprache
os,oss,,Ossetian; Ossetic,ossète,Ossetisch
,ota,,"Turkish, Ottoman (1500-1928)",turc ottoman (1500-1928),Osmanisch
,oto,,Otomian languages,"otomi, langues",Otomangue-Sprachen
,paa,,Papuan languages,"papoues, langues",Papuasprachen (Andere)
,pag,,Pangasinan,pangasinan,Pangasinan-Sprache
,pal,,Pahlavi,pahlavi,Mittelpersisch
,pam,,Pampanga; Kapampangan,pampangan,Pampanggan-Sprache
pa,pan,,Panjabi; Punjabi,pendjabi,Pandschabi-Sprache
,pap,,Papiamento,papiamento,Papiamento
,pau,,Palauan,palau,Palau-Sprache
,peo,,"Persian, Old (ca.600-400 B.C.)","perse, vieux (ca. 600-400 av. J.-C.)",Altpersisch
,phi,,Philippine languages,"philippines, langues",Philippinisch-Austronesisch (Andere)
,phn,,Phoenician,phénicien,Phönikisch
pi,pli,,Pali,pali,Pali
pl,pol,,Polish,polonais,Polnisch
,pon,,Pohnpeian,pohnpei,Ponapeanisch
pt,por,,Portuguese,portugais,Portugiesisch
,pra,,Prakrit languages,"prâkrit, langues",Prakrit
,pro,,"Provençal, Old (to 1500); Occitan, Old (to 1500)",provençal ancien (jusqu'à 1500); occitan ancien (jusqu'à 1500),Altokzitanisch
ps,pus,,Pushto; Pashto,pachto,Paschtu
qu,que,,Quechua,quechua,Quechua-Sprache
,raj,,Rajasthani,rajasthani,Rajasthani
,rap,,Rapanui,rapanui,Osterinsel-Sprache
,rar,,Rarotongan; Cook Islands Maori,rarotonga; maori des îles Cook,Rarotonganisch
,roa,,Romance languages,"romanes, langues",Romanische Sprachen (Andere)
rm,roh,,Romansh,romanche,Rätoromanisch
,rom,,Romany,tsigane,Romani (Sprache)
ro,ron,rum,Romanian; Moldavian; Moldovan,roumain; moldave,Rumänisch
rn,run,,Rundi,rundi,Rundi-Sprache
,rup,,Aromanian; Arumanian; Macedo-Romanian,aroumain; macédo-roumain,Aromunisch
ru,rus,,Russian,russe,Russisch
,sad,,Sandawe,sandawe,Sandawe-Sprache
sg,sag,,Sango,sango,Sango-Sprache
,sah,,Yakut,iakoute,Jakutisch
,sai,,South American Indian languages,"sud-amérindiennes, langues","Indianersprachen, Südamerika (Andere)"
,sal,,Salishan languages,"salishennes, langues",Salish-Sprache
,sam,,Samaritan Aramaic,samaritain,Samaritanisch
sa,san,,Sanskrit,sanskrit,Sanskrit
,sas,,Sasak,sasak,Sasak
,sat,,Santali,santal,Santali
,scn,,Sicilian,sicilien,Sizilianisch
,sco,,Scots,écossais,Schottisch
,sel,,Selkup,selkoupe,Selkupisch
,sem,,Semitic languages,"sémitiques, langues",Semitische Sprachen (Andere)
,sga,,"Irish, Old (to 900)",irlandais ancien (jusqu'à 900),Altirisch
,sgn,,Sign Languages,langues des signes,Zeichensprachen
,shn,,Shan,chan,Schan-Sprache
,sid,,Sidamo,sidamo,Sidamo-Sprache
si,sin,,Sinhala; Sinhalese,singhalais,Singhalesisch
,sio,,Siouan languages,"sioux, langues",Sioux-Sprachen (Andere)
,sit,,Sino-Tibetan languages,"sino-tibétaines, langues",Sinotibetische Sprachen (Andere)
,sla,,Slavic languages,"slaves, langues",Slawische Sprachen (Andere)
sk,slk,slo,Slovak,slovaque,Slowakisch
sl,slv,,Slovenian,slovène,Slowenisch
,sma,,Southern Sami,sami du Sud,Südsaamisch
se,sme,,Northern Sami,sami du Nord,Nordsaamisch
,smi,,Sami languages,"sames, langues",Saamisch
,smj,,Lule Sami,sami de Lule,Lulesaamisch
,smn,,Inari Sami,sami d'Inari,Inarisaamisch
sm,smo,,Samoan,samoan,Samoanisch
,sms,,Skolt Sami,sami skolt,Skoltsaamisch
sn,sna,,Shona,shona,Schona-Sprache
sd,snd,,Sindhi,sindhi,Sindhi-Sprache
,snk,,Soninke,soninké,Soninke-Sprache
,sog,,Sogdian,sogdien,Sogdisch
so,som,,Somali,somali,Somali
,son,,Songhai languages,"songhai, langues",Songhai-Sprache
st,sot,,"Sotho, Southern",sotho du Sud,Süd-Sotho-Sprache
es,spa,,Spanish; Castilian,espagnol; castillan,Spanisch
sc,srd,,Sardinian,sarde,Sardisch
,srn,,Sranan Tongo,sranan tongo,Sranantongo
sr,srp,,Serbian,serbe,Serbisch
,srr,,Serer,sérère,Serer-Sprache
,ssa,,Nilo-Saharan languages,"nilo-sahariennes, langues",Nilosaharanische Sprachen (Andere)
ss,ssw,,Swati,swati,Swasi-Sprache
,suk,,Sukuma,sukuma,Sukuma-Sprache
su,sun,,Sundanese,soundanais,Sundanesisch
,sus,,Susu,soussou,Susu
,sux,,Sumerian,sumérien,Sumerisch
sw,swa,,Swahili,swahili,Swahili
sv,swe,,Swedish,suédois,Schwedisch
,syc,,Classical Syriac,syriaque classique,Syrisch
,syr,,Syriac,syriaque,Neuostaramäisch
ty,tah,,Tahitian,tahitien,Tahitisch
,tai,,Tai languages,"tai, langues",Thaisprachen (Andere)
ta,tam,,Tamil,tamoul,Tamil
tt,tat,,Tatar,tatar,Tatarisch
te,tel,,Telugu,télougou,Telugu-Sprache
,tem,,Timne,temne,Temne-Sprache
,ter,,Tereno,tereno,Tereno-Sprache
,tet,,Tetum,tetum,Tetum-Sprache
tg,tgk,,Tajik,tadjik,Tadschikisch
tl,tgl,,Tagalog,tagalog,Tagalog
th,tha,,Thai,thaï,Thailändisch
,tig,,Tigre,tigré,Tigre-Sprache
ti,tir,,Tigrinya,tigrigna,Tigrinja-Sprache
,tiv,,Tiv,tiv,Tiv-Sprache
,tkl,,Tokelau,tokelau,Tokelauanisch
,tlh,,Klingon; tlhIngan-Hol,klingon,Klingonisch
,tli,,Tlingit,tlingit,Tlingit-Sprache
,tmh,,Tamashek,tamacheq,Tamaeq
,tog,,Tonga (Nyasa),tonga (Nyasa),"Tonga (Bantusprache, Sambia)"
to,ton,,Tonga (Tonga Islands),tongan (Îles Tonga),Tongaisch
,tpi,,Tok Pisin,tok pisin,Neumelanesisch
,tsi,,Tsimshian,tsimshian,Tsimshian-Sprache
tn,tsn,,Tswana,tswana,Tswana-Sprache
ts,tso,,Tsonga,tsonga,Tsonga-Sprache
tk,tuk,,Turkmen,turkmène,Turkmenisch
,tum,,Tumbuka,tumbuka,Tumbuka-Sprache
,tup,,Tupi languages,"tupi, langues",Tupi-Sprache
tr,tur,,Turkish,turc,Türkisch
,tut,,Altaic languages,"altaïques, langues",Altaische Sprachen (Andere)
,tvl,,Tuvalu,tuvalu,Elliceanisch
tw,twi,,Twi,twi,Twi-Sprache
,tyv,,Tuvinian,touva,Tuwinisch
,udm,,Udmurt,oudmourte,Udmurtisch
,uga,,Ugaritic,ougaritique,Ugaritisch
ug,uig,,Uighur; Uyghur,ouïgour,Uigurisch
uk,ukr,,Ukrainian,ukrainien,Ukrainisch
,umb,,Umbundu,umbundu,Mbundu-Sprache
,und,,Undetermined,indéterminée,Nicht zu entscheiden
ur,urd,,Urdu,ourdou,Urdu
uz,uzb,,Uzbek,ouszbek,Usbekisch
,vai,,Vai,vaï,Vai-Sprache
ve,ven,,Venda,venda,Venda-Sprache
vi,vie,,Vietnamese,vietnamien,Vietnamesisch
vo,vol,,Volapük,volapük,Volapük
,vot,,Votic,vote,Wotisch
,wak,,Wakashan languages,"wakashanes, langues",Wakash-Sprachen
,wal,,Wolaitta; Wolaytta,wolaitta; wolaytta,Walamo-Sprache
,war,,Waray,waray,Waray
,was,,Washo,washo,Washo-Sprache
,wen,,Sorbian languages,"sorabes, langues",Sorbisch (Andere)
wa,wln,,Walloon,wallon,Wallonisch
wo,wol,,Wolof,wolof,Wolof-Sprache
,xal,,Kalmyk; Oirat,kalmouk; oïrat,Kalmückisch
xh,xho,,Xhosa,xhosa,Xhosa-Sprache
,yao,,Yao,yao,Yao-Sprache (Bantusprache)
,yap,,Yapese,yapois,Yapesisch
yi,yid,,Yiddish,yiddish,Jiddisch
yo,yor,,Yoruba,yoruba,Yoruba-Sprache
,ypk,,Yupik languages,"yupik, langues",Ypik-Sprachen
,zap,,Zapotec,zapotèque,Zapotekisch
,zbl,,Blissymbols; Blissymbolics; Bliss,symboles Bliss; Bliss,Bliss-Symbol
,zen,,Zenaga,zenaga,Zenaga
,zgh,,Standard Moroccan Tamazight,amazighe standard marocain,Standard-marokkanischen Tamazight
za,zha,,Zhuang; Chuang,zhuang; chuang,Zhuang
