639-1,639-2,639-2/B,639-3,639-5,Language name(s) from ISO 639-2,Scope,Type,Native name(s),Other name(s)
,awa,,awa,,Awadhi,Individual,Living,अवधी,
ay,aym,,aym,,Aymara,Macrolanguage,Living,Aymar aru,
az,aze,,aze,,Azerbaijani,Macrolanguage,Living,Azərbaycan dili; آذربایجان دیلی; Азәрбајҹан дили,
,bad,,,bad,Banda languages,Collective,,,
,bai,,,bai,Bamileke languages,Collective,,Bamiléké,
ba,bak,,bak,,Bashkir,Individual,Living,Башҡорт теле; Başqort tele,
,bal,,bal,,Baluchi,Macrolanguage,Living,بلوچی,Balochi
bm,bam,,bam,,Bambara,Individual,Living,ߓߊߡߊߣߊߣߞߊߣ,
,ban,,ban,,Balinese,Individual,Living,ᬪᬵᬱᬩᬮᬶ; ᬩᬲᬩᬮᬶ; Basa Bali,
,bas,,bas,,Basa,Individual,Living,Mbene; Ɓasaá,Basaa
,bat,,,bat,Baltic languages,Collective,,,
,bej,,bej,,Beja; Bedawiyet,Individual,Living,Bidhaawyeet,
be,bel,,bel,,Belarusian,Individual,Living,Беларуская мова Belaruskaâ mova,
,bem,,bem,,Bemba,Individual,Living,Chibemba,
bn,ben,,ben,,Bengali,Individual,Living,বাংলা Bāŋlā,
,ber,,,ber,Berber languages,Collective,,Tamaziɣt; Tamazight; ⵜⴰⵎⴰⵣⵉⵖⵜ; ⵝⴰⵎⴰⵣⵉⵗⵝ; ⵜⴰⵎⴰⵣⵉⵗⵜ,Amazigh languages
,bho,,bho,,Bhojpuri,Individual,Living,भोजपुरी,
bh,bih,,,bih,Bihari languages,Collective,,,
,bik,,bik,,Bikol,Macrolanguage,Living,,
,bin,,bin,,Bini; Edo,Individual,Living,Ẹ̀dó,
bi,bis,,bis,,Bislama,Individual,Living,,
,bla,,bla,,Siksika,Individual,Living,ᓱᖽᐧᖿ,Blackfoot
,bnt,,,bnt,Bantu languages,Collective,,,
bo,bod,tib,bod,,Tibetan,Individual,Living,བོད་སྐད་ Bodskad; ལྷ་སའི་སྐད་ Lhas'iskad,
bs,bos,,bos,,Bosnian,Individual,Living,bosanski,
,bra,,bra,,Braj,Individual,Living,,Braj Bhāshā
br,bre,,bre,,Breton,Individual,Living,Brezhoneg,
,btk,,,btk,Batak languages,Collective,,,
,bua,,bua,,Buriat,Macrolanguage,Living,буряад хэлэн,Buryat
,bug,,bug,,Buginese,Individual,Living,ᨅᨔ ᨕᨘᨁᨗ,
bg,bul,,bul,,Bulgarian,Individual,Living,български език bălgarski ezik,
,byn,,byn,,Blin; Bilin,Individual,Living,ብሊና; ብሊን,Bilen
,cad,,cad,,Caddo,Individual,Living,Hasí:nay,
,cai,,,cai,Central American Indian languages,Collective,,,
,car,,car,,Galibi Carib,Individual,Living,Kari'nja,Carib
ca,cat,,cat,,Catalan; Valencian,Individual,Living,català,
,cau,,,cau,Caucasian languages,Collective,,,
,ceb,,ceb,,Cebuano,Individual,Living,Sinugbuanong Binisayâ,
,cel,,,cel,Celtic languages,Collective,,,
cs,ces,cze,ces,,Czech,Individual,Living,čeština; český jazyk,
ch,cha,,cha,,Chamorro,Individual,Living,Finu' Chamoru,
,chb,,chb,,Chibcha,Individual,Extinct,Muysccubun,
ce,che,,che,,Chechen,Individual,Living,Нохчийн мотт; نَاخچیین موٓتت; ნახჩიე მუოთთ,
,chg,,chg,,Chagatai,Individual,Extinct,جغتای,
,chk,,chk,,Chuukese,Individual,Living,,
,chm,,chm,,Mari,Macrolanguage,Living,марий йылме,
,chn,,chn,,Chinook jargon,Individual,Living,chinuk wawa; wawa; chinook lelang; lelang,
,cho,,cho,,Choctaw,Individual,Living,Chahta',
,chp,,chp,,Chipewyan; Dene Suline,Individual,Living,ᑌᓀᓱᒼᕄᓀ (Dënesųłiné),
,chr,,chr,,Cherokee,Individual,Living,ᏣᎳᎩ ᎦᏬᏂᎯᏍᏗ Tsalagi gawonihisdi,
cu,chu,,chu,,Church Slavic; Old Slavonic; Church Slavonic; Old Bulgarian; Old Church Slavonic,Individual,Ancient,Славе́нскїй ѧ҆зы́къ,
cv,chv,,chv,,Chuvash,Individual,Living,Чӑвашла,
,chy,,chy,,Cheyenne,Individual,Living,Tsėhésenėstsestȯtse,
,cmc,,,cmc,Chamic languages,Collective,,,
,cnr,,cnr,,Montenegrin,Individual,Living,crnogorski / црногорски,
,cop,,cop,,Coptic,Individual,Extinct,ϯⲙⲉⲑⲣⲉⲙⲛ̀ⲭⲏⲙⲓ; ⲧⲙⲛ̄ⲧⲣⲙ̄ⲛ̄ⲕⲏⲙⲉ,
kw,cor,,cor,,Cornish,Individual,Living,Kernowek,
co,cos,,cos,,Corsican,Individual,Living,Corsu; Lingua corsa,
,cpe,,,cpe,"Creoles and pidgins, English based",Collective,,,
,cpf,,,cpf,"Creoles and pidgins, French-based",Collective,,,
,cpp,,,cpp,"Creoles and pidgins, Portuguese-based",Collective,,,
cr,cre,,cre,,Cree,Macrolanguage,Living,,
,crh,,crh,,Crimean Tatar; Crimean Turkish,Individual,Living,Къырымтатарджа; Къырымтатар тили; Ҡырымтатарҗа; Ҡырымтатар тили,
,crp,,,crp,Creoles and pidgins,Collective,,,
,csb,,csb,,Kashubian,Individual,Living,Kaszëbsczi jãzëk,Cassubian
,cus,,,cus,Cushitic languages,Collective,,,
cy,cym,wel,cym,,Welsh,Individual,Living,Cymraeg; y Gymraeg,
,dak,,dak,,Dakota,Individual,Living,Dakhótiyapi; Dakȟótiyapi,
da,dan,,dan,,Danish,Individual,Living,dansk,
,dar,,dar,,Dargwa,Individual,Living,дарган мез,
,day,,,day,Land Dayak languages,Collective,,,
,del,,del,,Delaware,Macrolanguage,Living,,
,den,,den,,Slave (Athapascan),Macrolanguage,Living,Dene K'e,Slavey
,dgr,,dgr,,Dogrib,Individual,Living,,
,din,,din,,Dinka,Macrolanguage,Living,Thuɔŋjäŋ,
dv,div,,div,,Divehi; Dhivehi; Maldivian,Individual,Living,ދިވެހި; ދިވެހިބަސް Divehi,
,doi,,doi,,Dogri,Macrolanguage,Living,𑠖𑠵𑠌𑠤𑠮; डोगरी; ڈوگرى,
,dra,,,dra,Dravidian languages,Collective,,,
,dsb,,dsb,,Lower Sorbian,Individual,Living,Dolnoserbski; Dolnoserbšćina,
,dua,,dua,,Duala,Individual,Living,,
,dum,,dum,,"Dutch, Middle (ca. 1050-1350)",Individual,Historical,,
,dyu,,dyu,,Dyula,Individual,Living,Julakan,Jula
dz,dzo,,dzo,,Dzongkha,Individual,Living,རྫོང་ཁ་ Ĵoŋkha,
,efi,,efi,,Efik,Individual,Living,,
,egy,,egy,,Egyptian (Ancient),Individual,Ancient,,
,eka,,eka,,Ekajuk,Individual,Living,,Kajuk
el,ell,gre,ell,,"Greek, Modern (1453-)",Individual,Living,Νέα Ελληνικά Néa Ellêniká,
,elx,,elx,,Elamite,Individual,Ancient,,
en,eng,,eng,,English,Individual,Living,English,
,enm,,enm,,"English, Middle (1100-1500)",Individual,Historical,,
eo,epo,,epo,,Esperanto,Individual,Constructed,Esperanto,
et,est,,est,,Estonian,Macrolanguage,Living,eesti keel,
eu,eus,baq,eus,,Basque,Individual,Living,euskara,
ee,ewe,,ewe,,Ewe,Individual,Living,Èʋegbe,
,ewo,,ewo,,Ewondo,Individual,Living,,Kolo
,fan,,fan,,Fang,Individual,Living,,
fo,fao,,fao,,Faroese,Individual,Living,føroyskt,
fa,fas,per,fas,,Persian,Macrolanguage,Living,فارسی Fārsiy,Farsi
,fat,,fat,,Fanti,Individual,Living,Mfantse; Fante; Fanti,Fante
fj,fij,,fij,,Fijian,Individual,Living,Na Vosa Vakaviti,
,fil,,fil,,Filipino; Pilipino,Individual,Living,Wikang Filipino,
fi,fin,,fin,,Finnish,Individual,Living,suomen kieli,
,fiu,,,fiu,Finno-Ugrian languages,Collective,,,Finno-Ugric languages
,fon,,fon,,Fon,Individual,Living,Fon gbè,
fr,fra,fre,fra,,French,Individual,Living,français,
,frm,,frm,,"French, Middle (ca. 1400-1600)",Individual,Historical,françois; franceis,
,fro,,fro,,"French, Old (842-ca. 1400)",Individual,Historical,Franceis; François; Romanz,
,frr,,frr,,Northern Frisian,Individual,Living,Frasch; Fresk; Freesk; Friisk,North Frisian
,frs,,frs,,Eastern Frisian,Individual,Living,Seeltersk,Saterland Frisian
fy,fry,,fry,,Western Frisian,Individual,Living,Frysk,West Frisian
ff,ful,,ful,,Fulah,Macrolanguage,Living,Fulfulde; Pulaar; Pular,Fula
,fur,,fur,,Friulian,Individual,Living,Furlan,
,gaa,,gaa,,Ga,Individual,Living,Gã,
,gay,,gay,,Gayo,Individual,Living,Basa Gayo,
,gba,,gba,,Gbaya,Macrolanguage,Living,,
,gem,,,gem,Germanic languages,Collective,,,
de,deu,ger,deu,,German,Individual,Living,Deutsch,
,gez,,gez,,Geez,Individual,Ancient,ግዕዝ,Ge'ez
,gil,,gil,,Gilbertese,Individual,Living,Taetae ni Kiribati,
gd,gla,,gla,,Gaelic; Scottish Gaelic,Individual,Living,Gàidhlig,
ga,gle,,gle,,Irish,Individual,Living,Gaeilge,
gl,glg,,glg,,Galician,Individual,Living,galego,
gv,glv,,glv,,Manx,Individual,Living,Gaelg; Gailck,
,gmh,,gmh,,"German, Middle High (ca. 1050-1500)",Individual,Historical,Diutsch,
,goh,,goh,,"German, Old High (ca. 750-1050)",Individual,Historical,Diutisk,
,gon,,gon,,Gondi,Macrolanguage,Living,,
,gor,,gor,,Gorontalo,Individual,Living,Bahasa Hulontalo,
,got,,got,,Gothic,Individual,Ancient,,
,grb,,grb,,Grebo,Macrolanguage,Living,,
,grc,,grc,,"Greek, Ancient (to 1453)",Individual,Historical,Ἑλληνική,
gn,grn,,grn,,Guarani,Macrolanguage,Living,Avañe'ẽ,
,gsw,,gsw,,Swiss German; Alemannic; Alsatian,Individual,Living,Schwiizerdütsch,
gu,guj,,guj,,Gujarati,Individual,Living,ગુજરાતી Gujarātī,
,gwi,,gwi,,Gwich'in,Individual,Living,Dinjii Zhu’ Ginjik,
,hai,,hai,,Haida,Macrolanguage,Living,X̱aat Kíl; X̱aadas Kíl; X̱aayda Kil; Xaad kil,
ht,hat,,hat,,Haitian; Haitian Creole,Individual,Living,kreyòl ayisyen,
ha,hau,,hau,,Hausa,Individual,Living,Harshen Hausa; هَرْشَن,
,haw,,haw,,Hawaiian,Individual,Living,ʻŌlelo Hawaiʻi,
he,heb,,heb,,Hebrew,Individual,Living,עברית 'Ivriyþ,
hz,her,,her,,Herero,Individual,Living,Otjiherero,
,hil,,hil,,Hiligaynon,Individual,Living,Ilonggo,
,him,,,,Himachali languages; Pahari languages,Collective,,,
hi,hin,,hin,,Hindi,Individual,Living,हिन्दी Hindī,
,hit,,hit,,Hittite,Individual,Ancient,𒉈𒅆𒇷,
,hmn,,hmn,,Hmong; Mong,Macrolanguage,Living,lus Hmoob; lug Moob; lol Hmongb,
ho,hmo,,hmo,,Hiri Motu,Individual,Living,,
hr,hrv,,hrv,,Croatian,Individual,Living,hrvatski,
,hsb,,hsb,,Upper Sorbian,Individual,Living,hornjoserbšćina,
hu,hun,,hun,,Hungarian,Individual,Living,magyar nyelv,
,hup,,hup,,Hupa,Individual,Living,Na:tinixwe Mixine:whe',
hy,hye,arm,hye,,Armenian,Individual,Living,Հայերէն Hayerèn; Հայերեն Hayeren,
,iba,,iba,,Iban,Individual,Living,Jaku Iban,
ig,ibo,,ibo,,Igbo,Individual,Living,Asụsụ Igbo,
io,ido,,ido,,Ido,Individual,Constructed,,
ii,iii,,iii,,Sichuan Yi; Nuosu,Individual,Living,ꆈꌠꉙ Nuosuhxop,
,ijo,,,ijo,Ijo languages,Collective,,Ịjọ,Ijaw languages
iu,iku,,iku,,Inuktitut,Macrolanguage,Living,ᐃᓄᒃᑎᑐᑦ Inuktitut,
ie,ile,,ile,,Interlingue; Occidental,Individual,Constructed,,
,ilo,,ilo,,Iloko,Individual,Living,Pagsasao nga Ilokano; Ilokano,Ilocano
ia,ina,,ina,,Interlingua (International Auxiliary Language Association),Individual,Constructed,,
,inc,,,inc,Indic languages,Collective,,,Indo-Aryan languages
id,ind,,ind,,Indonesian,Individual,Living,bahasa Indonesia,
,ine,,,ine,Indo-European languages,Collective,,,
,inh,,inh,,Ingush,Individual,Living,ГӀалгӀай мотт,
ik,ipk,,ipk,,Inupiaq,Macrolanguage,Living,Iñupiaq,
,ira,,,ira,Iranian languages,Collective,,,
,iro,,,iro,Iroquoian languages,Collective,,,
is,isl,ice,isl,,Icelandic,Individual,Living,íslenska,
it,ita,,ita,,Italian,Individual,Living,italiano; lingua italiana,
jv,jav,,jav,,Javanese,Individual,Living,ꦧꦱꦗꦮ / Basa Jawa,
,jbo,,jbo,,Lojban,Individual,Constructed,la .lojban.,
ja,jpn,,jpn,,Japanese,Individual,Living,日本語 Nihongo,
,jpr,,jpr,,Judeo-Persian,Individual,Living,Dzhidi,
,jrb,,jrb,,Judeo-Arabic,Macrolanguage,Living,عربية يهودية / ערבית יהודית,
,kaa,,kaa,,Kara-Kalpak,Individual,Living,Qaraqalpaq tili; Қарақалпақ тили,Karakalpak
,kab,,kab,,Kabyle,Individual,Living,Tamaziɣt Taqbaylit; Tazwawt,
,kac,,kac,,Kachin; Jingpho,Individual,Living,Jingpho,
kl,kal,,kal,,Kalaallisut; Greenlandic,Individual,Living,,
,kam,,kam,,Kamba,Individual,Living,,
kn,kan,,kan,,Kannada,Individual,Living,ಕನ್ನಡ Kannađa,
,kar,,,kar,Karen languages,Collective,,,Karenic languages
ks,kas,,kas,,Kashmiri,Individual,Living,कॉशुर / كأشُر,
ka,kat,geo,kat,,Georgian,Individual,Living,ქართული Kharthuli,
kr,kau,,kau,,Kanuri,Macrolanguage,Living,,
,kaw,,kaw,,Kawi,Individual,Ancient,ꦧꦱꦗꦮ,
kk,kaz,,kaz,,Kazakh,Individual,Living,қазақ тілі qazaq tili; қазақша qazaqşa,
,kbd,,kbd,,Kabardian,Individual,Living,Адыгэбзэ (Къэбэрдейбзэ) Adıgăbză (Qăbărdeĭbză),
,kha,,kha,,Khasi,Individual,Living,কা কতিয়েন খাশি,
,khi,,,khi,Khoisan languages,Collective,,,
km,khm,,khm,,Central Khmer,Individual,Living,ភាសាខ្មែរ Phiəsaakhmær,
,kho,,kho,,Khotanese; Sakan,Individual,Ancient,,Saka
ki,kik,,kik,,Kikuyu; Gikuyu,Individual,Living,Gĩkũyũ,
rw,kin,,kin,,Kinyarwanda,Individual,Living,Ikinyarwanda,
ky,kir,,kir,,Kirghiz; Kyrgyz,Individual,Living,кыргызча kırgızça; кыргыз тили kırgız tili,
,kmb,,kmb,,Kimbundu,Individual,Living,,
,kok,,kok,,Konkani,Macrolanguage,Living,कोंकणी,
kv,kom,,kom,,Komi,Macrolanguage,Living,Коми кыв,
kg,kon,,kon,,Kongo,Macrolanguage,Living,,
ko,kor,,kor,,Korean,Individual,Living,한국어 Han'gug'ô,
,kos,,kos,,Kosraean,Individual,Living,,
,kpe,,kpe,,Kpelle,Macrolanguage,Living,Kpɛlɛwoo,
,krc,,krc,,Karachay-Balkar,Individual,Living,Къарачай-Малкъар тил; Таулу тил,
,krl,,krl,,Karelian,Individual,Living,karjal; kariela; karjala,
,kro,,,kro,Kru languages,Collective,,,
,kru,,kru,,Kurukh,Individual,Living,कुड़ुख़,
kj,kua,,kua,,Kuanyama; Kwanyama,Individual,Living,,
,kum,,kum,,Kumyk,Individual,Living,къумукъ тил/qumuq til,
ku,kur,,kur,,Kurdish,Macrolanguage,Living,kurdî / کوردی,
,kut,,kut,,Kutenai,Individual,Living,,
,lad,,lad,,Ladino,Individual,Living,Judeo-español,Judaeo-Spanish
,lah,,lah,,Lahnda,Macrolanguage,Living,بھارت کا,Western Punjabi
,lam,,lam,,Lamba,Individual,Living,,
lo,lao,,lao,,Lao,Individual,Living,ພາສາລາວ Phasalaw,
la,lat,,lat,,Latin,Individual,Ancient,Lingua latīna,
lv,lav,,lav,,Latvian,Macrolanguage,Living,Latviešu valoda,
,lez,,lez,,Lezghian,Individual,Living,Лезги чӏал,Lezgian
li,lim,,lim,,Limburgan; Limburger; Limburgish,Individual,Living,Lèmburgs,
ln,lin,,lin,,Lingala,Individual,Living,,
lt,lit,,lit,,Lithuanian,Individual,Living,lietuvių kalba,
,lol,,lol,,Mongo,Individual,Living,Lomongo,
,loz,,loz,,Lozi,Individual,Living,,
lb,ltz,,ltz,,Luxembourgish; Letzeburgesch,Individual,Living,Lëtzebuergesch,
,lua,,lua,,Luba-Lulua,Individual,Living,Tshiluba,Luba-Kasai
lu,lub,,lub,,Luba-Katanga,Individual,Living,Kiluba,
lg,lug,,lug,,Ganda,Individual,Living,Luganda,Luganda
,lui,,lui,,Luiseno,Individual,Extinct,Cham'teela,
,lun,,lun,,Lunda,Individual,Living,Chilunda,
,luo,,luo,,Luo (Kenya and Tanzania),Individual,Living,Dholuo,
,lus,,lus,,Lushai,Individual,Living,Mizo ṭawng,Mizo
,mad,,mad,,Madurese,Individual,Living,Madhura,
,mag,,mag,,Magahi,Individual,Living,मगही,
mh,mah,,mah,,Marshallese,Individual,Living,Kajin M̧ajeļ,
,mai,,mai,,Maithili,Individual,Living,मैथिली; মৈথিলী,
,mak,,mak,,Makasar,Individual,Living,Basa Mangkasara' / ᨅᨔ ᨆᨀᨔᨑ,Makassarese
ml,mal,,mal,,Malayalam,Individual,Living,മലയാളം Malayāļã,
,man,,man,,Mandingo,Macrolanguage,Living,Mandi'nka kango,Manding
,map,,,map,Austronesian languages,Collective,,,
mr,mar,,mar,,Marathi,Individual,Living,मराठी Marāţhī,
,mas,,mas,,Masai,Individual,Living,ɔl,
,mdf,,mdf,,Moksha,Individual,Living,мокшень кяль,
,mdr,,mdr,,Mandar,Individual,Living,,
,men,,men,,Mende,Individual,Living,Mɛnde yia,
,mga,,mga,,"Irish, Middle (900-1200)",Individual,Historical,Gaoidhealg,
,mic,,mic,,Mi'kmaq; Micmac,Individual,Living,Míkmawísimk,
,min,,min,,Minangkabau,Individual,Living,Baso Minang,
,mis,,mis,,Uncoded languages,Special,,,
mk,mkd,mac,mkd,,Macedonian,Individual,Living,македонски јазик makedonski jazik,
,mkh,,,mkh,Mon-Khmer languages,Collective,,,Austroasiatic languages
mg,mlg,,mlg,,Malagasy,Macrolanguage,Living,,
mt,mlt,,mlt,,Maltese,Individual,Living,Malti,
,mnc,,mnc,,Manchu,Individual,Living,ᠮᠠᠨᠵᡠ ᡤᡳᠰᡠᠨ Manju gisun,
,mni,,mni,,Manipuri,Individual,Living,,Meitei
,mno,,,mno,Manobo languages,Collective,,,
,moh,,moh,,Mohawk,Individual,Living,Kanien’kéha,
mn,mon,,mon,,Mongolian,Macrolanguage,Living,монгол хэл mongol xel; ᠮᠣᠩᠭᠣᠯ ᠬᠡᠯᠡ,
,mos,,mos,,Mossi,Individual,Living,Mooré,
mi,mri,mao,mri,,Maori,Individual,Living,Te Reo Māori,
ms,msa,may,msa,,Malay,Macrolanguage,Living,Bahasa Melayu,
,mul,,mul,,Multiple languages,Special,,,
,mun,,,mun,Munda languages,Collective,,,
,mus,,mus,,Creek,Individual,Living,Mvskoke,Muscogee
,mwl,,mwl,,Mirandese,Individual,Living,mirandés; lhéngua mirandesa,
,mwr,,mwr,,Marwari,Macrolanguage,Living,मारवाड़ी,
my,mya,bur,mya,,Burmese,Individual,Living,မြန်မာစာ Mrãmācā; မြန်မာစကား Mrãmākā:,Myanmar
,myn,,,myn,Mayan languages,Collective,,,
,myv,,myv,,Erzya,Individual,Living,эрзянь кель,
,nah,,,nah,Nahuatl languages,Collective,,,Nahuan languages
,nai,,,nai,North American Indian languages,Collective,,,
,nap,,nap,,Neapolitan,Individual,Living,napulitano,
na,nau,,nau,,Nauru,Individual,Living,dorerin Naoero,Nauruan
nv,nav,,nav,,Navajo; Navaho,Individual,Living,Diné bizaad; Naabeehó bizaad,
nr,nbl,,nbl,,"Ndebele, South; South Ndebele",Individual,Living,isiNdebele seSewula,Southern Ndebele
nd,nde,,nde,,"Ndebele, North; North Ndebele",Individual,Living,siNdebele saseNyakatho,Northern Ndebele
ng,ndo,,ndo,,Ndonga,Individual,Living,ndonga,
,nds,,nds,,"Low German; Low Saxon; German, Low; Saxon, Low",Individual,Living,Plattdütsch; Plattdüütsch,
ne,nep,,nep,,Nepali,Macrolanguage,Living,नेपाली भाषा Nepālī bhāśā,
,new,,new,,Nepal Bhasa; Newari,Individual,Living,नेपाल भाषा; नेवाः भाय्,Newar
,nia,,nia,,Nias,Individual,Living,Li Niha,
,nic,,,nic,Niger-Kordofanian languages,Collective,,,Niger-Congo languages
,niu,,niu,,Niuean,Individual,Living,ko e vagahau Niuē,
nl,nld,dut,nld,,Dutch; Flemish,Individual,Living,Nederlands; Vlaams,
nn,nno,,nno,,"Norwegian Nynorsk; Nynorsk, Norwegian",Individual,Living,norsk nynorsk,Nynorsk
nb,nob,,nob,,"Bokmål, Norwegian; Norwegian Bokmål",Individual,Living,norsk bokmål,Bokmål
,nog,,nog,,Nogai,Individual,Living,Ногай тили,
,non,,non,,"Norse, Old",Individual,Historical,Dǫnsk tunga; Norrœnt mál,
no,nor,,nor,,Norwegian,Macrolanguage,Living,norsk,
,nqo,,nqo,,N'Ko,Individual,Living,,
,nso,,nso,,Pedi; Sepedi; Northern Sotho,Individual,Living,Sesotho sa Leboa,
,nub,,,nub,Nubian languages,Collective,,لغات نوبية,
,nwc,,nwc,,Classical Newari; Old Newari; Classical Nepal Bhasa,Individual,Historical,पुलां भाय्; पुलाङु नेपाल भाय्,
ny,nya,,nya,,Chichewa; Chewa; Nyanja,Individual,Living,Chichewa; Chinyanja,
,nym,,nym,,Nyamwezi,Individual,Living,,
,nyn,,nyn,,Nyankole,Individual,Living,,Nkore
,nyo,,nyo,,Nyoro,Individual,Living,Runyoro,
,nzi,,nzi,,Nzima,Individual,Living,,Nzema
oc,oci,,oci,,Occitan (post 1500),Individual,Living,occitan; lenga d'òc,
oj,oji,,oji,,Ojibwa,Macrolanguage,Living,,Ojibwe
or,ori,,ori,,Oriya,Macrolanguage,Living,ଓଡ଼ିଆ,Odia
om,orm,,orm,,Oromo,Macrolanguage,Living,Afaan Oromoo,
,osa,,osa,,Osage,Individual,Living,Wazhazhe ie / 𐓏𐓘𐓻𐓘𐓻𐓟 𐒻𐓟,
os,oss,,oss,,Ossetian; Ossetic,Individual,Living,Ирон æвзаг Iron ævzag,
,ota,,ota,,"Turkish, Ottoman (1500-1928)",Individual,Historical,لسان عثمانى / lisân-ı Osmânî,
,oto,,,oto,Otomian languages,Collective,,,Oto-Pamean languages
,paa,,,paa,Papuan languages,Collective,Individual,Living,a tekoi er a Belau
,pag,,pag,,Pangasinan,Individual,Living,Salitan Pangasinan,
,pal,,pal,,Pahlavi,Individual,Ancient,Pārsīk; Pārsīg,Middle Persian
,pam,,pam,,Pampanga; Kapampangan,Individual,Living,Amánung Kapampangan; Amánung Sísuan,
pa,pan,,pan,,Panjabi; Punjabi,Individual,Living,ਪੰਜਾਬੀ / پنجابی Pãjābī,
,pap,,pap,,Papiamento,Individual,Living,Papiamentu,
,pau,,pau,,Palauan,Individual,Living,a tekoi er a Belau,
,peo,,peo,,"Persian, Old (ca. 600-400 B.C.)",Individual,Historical,,
,phi,,,phi,Philippine languages,Collective,,,
,phn,,phn,,Phoenician,Individual,Ancient,𐤃𐤁𐤓𐤉𐤌 𐤊𐤍𐤏𐤍𐤉𐤌 Dabariym Kana'aniym,
pi,pli,,pli,,Pali,Individual,Ancient,Pāli,
pl,pol,,pol,,Polish,Individual,Living,Język polski,
,pon,,pon,,Pohnpeian,Individual,Living,,
pt,por,,por,,Portuguese,Individual,Living,português,
,pra,,,pra,Prakrit languages,Collective,,,
,pro,,pro,,"Provençal, Old (to 1500); Old Occitan (to 1500)",Individual,Historical,,
ps,pus,,pus,,Pushto; Pashto,Macrolanguage,Living,پښتو Pax̌tow,
qu,que,,que,,Quechua,Macrolanguage,Living,Runa simi; kichwa simi; Nuna shimi,
,raj,,raj,,Rajasthani,Macrolanguage,Living,राजस्थानी,
,rap,,rap,,Rapanui,Individual,Living,Vananga rapa nui,
,rar,,rar,,Rarotongan; Cook Islands Maori,Individual,Living,Māori Kūki 'Āirani,
,roa,,,roa,Romance languages,Collective,,,
rm,roh,,roh,,Romansh,Individual,Living,Rumantsch; Rumàntsch; Romauntsch; Romontsch,
,rom,,rom,,Romany,Macrolanguage,Living,romani čhib,Romani
ro,ron,rum,ron,,Romanian; Moldavian; Moldovan,Individual,Living,limba română,
rn,run,,run,,Rundi,Individual,Living,Ikirundi,Kirundi
,rup,,rup,,Aromanian; Arumanian; Macedo-Romanian,Individual,Living,armãneashce; armãneashti; rrãmãneshti,
ru,rus,,rus,,Russian,Individual,Living,русский язык russkiĭ âzık,
,sad,,sad,,Sandawe,Individual,Living,Sandaweeki,
sg,sag,,sag,,Sango,Individual,Living,yângâ tî sängö,
,sah,,sah,,Yakut,Individual,Living,Сахалыы,
,sai,,,sai,South American Indian languages,Collective,,,
,sal,,,sal,Salishan languages,Collective,,,
,sam,,sam,,Samaritan Aramaic,Individual,Extinct,ארמית,
sa,san,,san,,Sanskrit,Individual,Ancient,संस्कृतम् Sąskŕtam; 𑌸𑌂𑌸𑍍𑌕𑍃𑌤𑌮𑍍,
